step_id,group_id,is_compulsory,step_rn,step_name
qk01_00_02,qk01_00,1,1,关卡内对话
qk01_00_03,qk01_00,1,2,创建遥感引导
qk01_00_04,qk01_00,1,3,创建遥感文字
qk01_00_05,qk01_00,1,4,创建位置
qk01_00_05_1,qk01_00,1,5,创建位置
qk01_00_06,qk01_00,1,6,假断开等待玩家关闭弹窗
qk01_00_07,qk01_00,1,7,关闭引导提示
qk01_00_13,qk01_00,1,8,等待结算界面打开
qk01_01_01,qk01_01,1,9,重置镜头位置
qk01_01_02,qk01_01,1,10,移动动画
qk01_01_03,qk01_01,1,11,出战斗等待
qk01_01_04,qk01_01,1,12,看向第二个怪物
qk01_01_05,qk01_01,1,13,对话-攻击第二个敌人
qk01_01_06,qk01_01,1,14,点击怪物
qk01_01_battle_00_1,qk01_01_battle,1,15,关卡内对话
qk01_01_battle_00_2,qk01_01_battle,1,16,暂停A玩法
qk01_01_battle_01,qk01_01_battle,1,17,点击选择ALL
qk01_01_battle_02,qk01_01_battle,1,18,点击选择冲锋
qk01_01_battle_03,qk01_01_battle,1,19,解除暂停A玩法
qk01_02_01,qk01_02,1,20,出战斗等待
qk01_02_02,qk01_02,1,21,对话
qk01_02_03,qk01_02,1,22,测试用等待
qk01_02_04,qk01_02,1,23,创建投石机
qk01_02_05,qk01_02,1,24,观看动画
qk01_02_06,qk01_02,1,25,弓手加入
qk01_02_07,qk01_02,1,26,获得紫弓
qk01_02_07_1,qk01_02,1,27,保险等待界面打开
qk01_02_08,qk01_02,1,28,假断开等待玩家关闭弹窗
qk01_02_09,qk01_02,1,29,看向城墙
qk01_02_10,qk01_02,1,30,点击怪物
qk01_02_battle_00,qk01_02_battle,1,31,等待视频播放结束
qk01_02_battle_01,qk01_02_battle,1,32,等待1秒
qk01_02_battle_02,qk01_02_battle,1,33,关卡内对话
qk01_02_battle_03,qk01_02_battle,1,34,点击切换英雄
qk01_02_battle_04,qk01_02_battle,1,35,关卡内对话
qk01_02_battle_05,qk01_02_battle,1,36,点击选择ALL
qk01_02_battle_06,qk01_02_battle,1,37,点击选择跟随
qk01_02_battle_07,qk01_02_battle,1,38,创建遥感引导
qk01_02_battle_08,qk01_02_battle,1,39,创建遥感文字
qk01_02_battle_09,qk01_02_battle,1,40,假断开等待玩家关闭弹窗
qk01_02_battle_10,qk01_02_battle,1,41,关闭引导提示
qk01_02_battle_11,qk01_02_battle,1,42,等待2秒
qk01_02_battle_12,qk01_02_battle,1,43,创建遥感引导
qk01_02_battle_13,qk01_02_battle,1,44,创建遥感文字
qk01_02_battle_14,qk01_02_battle,1,45,暂停A玩法
qk01_02_battle_15,qk01_02_battle,1,46,假断开等待玩家关闭弹窗
qk01_02_battle_16,qk01_02_battle,1,47,解除暂停A玩法
qk01_02_battle_17,qk01_02_battle,1,48,关闭引导提示
city_unlock_00_00,city_unlock,1,49,出战斗等待
city_unlock_00_01,city_unlock,1,50,出战斗等待
city_unlock_00_02,city_unlock,1,51,关卡内对话
city_unlock_00_03,city_unlock,1,52,点击修复气泡
city_unlock_01,city_unlock,1,53,创建敌人动画
city_unlock_02,city_unlock,1,54,创建敌人动画
city_unlock_03,city_unlock,1,55,出等待解锁迷雾
city_unlock_04,city_unlock,1,56,镜头归位
city_unlock_05,city_unlock,1,57,玩家移动动画
city_unlock_07,city_unlock,1,58,看向主城
city_unlock_07_1,city_unlock,1,59,对话
city_unlock_08,city_unlock,1,60,点击主城
city_unlock_09,city_unlock,1,61,等待3秒
city_unlock_09_1,city_unlock,1,62,防断线
city_unlock_10,city_unlock,1,63,点击主城
city_unlock_10_1,city_unlock,1,64,保险等待界面打开
city_unlock_11,city_unlock,1,65,假断开等待玩家关闭弹窗
city_unlock_11_1,city_unlock,1,66,看向敌人抢掠的动画
city_unlock_11_2,city_unlock,1,67,看动画3秒
city_unlock_11_3,city_unlock,1,68,关卡内对话
city_unlock_12,city_unlock,1,69,看向关口
city_unlock_13,city_unlock,1,70,播放动画
city_unlock_14,city_unlock,1,71,看动画10秒
city_unlock_14_1,city_unlock,1,72,进入雅米拉群殴战斗
city_unlock_14_2,city_unlock,1,73,等待结算界面打开
city_unlock_14_3,city_unlock,1,74,假断开等待玩家关闭弹窗
city_unlock_14_4,city_unlock,1,75,确保玩家处于内城
city_unlock_15,city_unlock,1,76,过场界面1
