item_id,item_name,gold_value,system,sub_system,item_type
item_train_speedup_60min,,,,,
item_empire_infantry_twohanded_swordsman_03,,,,,
item_food_3000,,,,,
item_bandit_ranged_crossbowman_05,,,,,
item_gold_1500,,,,,
Joan_chip,,,,,
item_empire_cavalry_sword_cavalry_02,,,,,
item_hero_exp_2000,,,,,
item_iron_1,,,,,
item_iron_100000,,,,,
item_city_benefit_troop_defence_12h_25%,,,,,
item_iron_200,,,,,
item_march_speedup_25,,,,,
item_city_benefit_troop_capacity_2h_50%,,,,,
item_hero_William,,,,,
item_empire_infantry_spearman_06,,,,,
item_empire_cavalry_sword_cavalry_06,,,,,
item_anti_spy_8h,,,,,
item_city_benefit_troop_attack_2h_40%,,,,,
item_hero_Charlemagne,,,,,
item_empire_infantry_spearman_03,,,,,
item_bandit_cavalry_sword_cavalry_04,,,,,
item_7day_task,,,,,
item_food_5000,,,,,
item_wood_30000,,,,,
item_speedup_15h,,,,,
item_research_speedup_5min,,,,,
Richard_chip,,,,,
item_city_benefit_troop_capacity_12h_50%,,,,,
item_empire_cavalry_spear_cavalry_06,,,,,
item_bandit_infantry_shielder_02,,,,,
item_speedup_5min,,,,,
item_bandit_cavalry_sword_cavalry_05,,,,,
item_diamond_1000,,,,,
item_food_1000,,,,,
item_wood_5000,,,,,
item_wood_50000,,,,,
item_empire_infantry_shielder_02,,,,,
item_bandit_infantry_spearman_01,,,,,
item_bandit_infantry_twohanded_swordsman_06,,,,,
item_diamond_100,,,,,
item_wood_1500000,,,,,
player_spirit,,,,,
item_empire_infantry_spearman_01,,,,,
item_hero_exp_500,,,,,
item_speedup_8h,,,,,
item_build_speedup_1min,,,,,
item_city_shield_24h,,,,,
hero_exp,,,,,
item_food_1,,,,,
item_build_speedup_60min,,,,,
item_player_spirit_large,,,,,
item_city_benefit_gather_speed_8h_20%,,,,,
item_city_benefit_troop_attack_2h_25%,,,,,
item_empire_ranged_crossbowman_05,,,,,
item_diamond_1,,,,,
item_build_speedup_5min,,,,,
item_empire_ranged_crossbowman_02,,,,,
item_empire_cavalry_sword_cavalry_05,,,,,
item_bandit_infantry_twohanded_swordsman_05,,,,,
item_bandit_ranged_archer_02,,,,,
item_bandit_cavalry_spear_cavalry_04,,,,,
item_bandit_cavalry_archer_cavalry_04,,,,,
item_speedup_30min,,,,,
item_speedup_24h,,,,,
item_empire_infantry_twohanded_swordsman_04,,,,,
item_bandit_cavalry_spear_cavalry_01,,,,,
item_alliance_research_exp,,,,,
item_rescue_yamila,,,,,
item_city_benefit_troop_attack_12h_50%,,,,,
item_city_benefit_troop_capacity_2h_25%,,,,,
item_empire_cavalry_sword_cavalry_03,,,,,
item_bandit_infantry_shielder_06,,,,,
item_bandit_ranged_crossbowman_03,,,,,
item_heal_speedup_5min,,,,,
item_resource_box_2,,,,,
item_empire_infantry_shielder_03,,,,,
item_empire_infantry_shielder_04,,,,,
item_city_benefit_troop_defence_12h_20%,,,,,
item_empire_ranged_archer_04,,,,,
item_bandit_infantry_spearman_03,,,,,
item_food_150000,,,,,
item_iron_600,,,,,
Victoria_chip,,,,,
item_city_transport_advance,,,,,
item_city_transport_random,,,,,
item_empire_infantry_spearman_04,,,,,
item_bandit_ranged_crossbowman_06,,,,,
item_hero_Khan,,,,,
item_empire_cavalry_spear_cavalry_01,,,,,
item_bandit_infantry_twohanded_swordsman_01,,,,,
item_bandit_ranged_crossbowman_02,,,,,
item_food_1500000,,,,,
item_city_benefit_troop_defence_2h_25%,,,,,
item_hero_Arthur,,,,,
item_empire_ranged_archer_05,,,,,
item_bandit_cavalry_archer_cavalry_03,,,,,
item_gold_500,,,,,
item_gold_7500,,,,,
Charlemagne_chip,,,,,
Ogar_chip,,,,,
item_city_benefit_troop_attack_2h_10%,,,,,
item_city_benefit_troop_defence_12h_50%,,,,,
item_hero_general_chip_purple,,,,,
item_bandit_infantry_shielder_01,,,,,
item_bandit_ranged_archer_04,,,,,
item_gold_2500,,,,,
item_gold_25000,,,,,
item_chest_1,,,,,
item_bandit_infantry_shielder_04,,,,,
item_iron_2000,,,,,
item_iron_6000,,,,,
item_train_speedup_5min,,,,,
Thomas_chip,,,,,
item_city_benefit_gather_speed_24h_20%,,,,,
item_city_benefit_troop_defence_2h_20%,,,,,
item_bandit_cavalry_spear_cavalry_06,,,,,
item_city_benefit_troop_defence_2h_50%,,,,,
item_empire_infantry_shielder_06,,,,,
