reason,reason_cn
2,退款
70,终末购买攻击次数
45,激活皮肤
53,主线排行榜
19,建造公会
43,公会捐献
1,初始化获取
0,管理员操作
23,每日商店免费
32,活动兑换
8,pve 结束关卡
82,英雄升星
83,从银行提取
6,洗练宝石
39,物品删除
40,强化装备
41,装备生品
9,pve 每波的结算
36,使用
59,作战计划奖励
24,商城购买
71,皮肤满星后道具兑换
33,完成成就
78,大富翁偷取
13,广告
14,广告翻倍
80,英雄升级
68,公会boss挑战奖励
16,挂机奖励
31,任务宝箱
18,广告挂机
67,公会boss总伤
20,食堂
42,升级科技
73,主线任务
81,英雄合成
46,皮肤升星
58,作战计划补签
38,改名失败返还改名卡
61,战令
77,大富翁摇骰子
11,物品合成
65,好友赠送
62,钻石购买战令
66,公会boss个人奖励
35,售卖角色装备
72,下面的是没有使用到的
37,改名字
49,皮肤系统升星
74,排行榜点赞
85,通关勇者菇
29,自选宝箱
60,首充礼包
64,装备洗练
15,宠物分解
26,任务
28,打开礼包
56,深渊扫荡
76,英雄自动分解为碎片（已经有改英雄
34,随机宝箱
50,现金充值
79,音符兑换礼物
22,图鉴
55,深渊进度奖励
84,随机转盘活动
21,角色升级
7,首次通关
10,融合增加新宠物
3,机甲关卡掉落
52,购买体力
17,快速巡逻
47,皮肤技能升级
54,购买深渊攻击次数
4,邮件获取
69,终末boss挑战奖励
51,充值赠送
27,任务积分奖励
48,皮肤系统升级
12,宝石拆卸
25,商店刷新
30,任务清理时自动发奖
57,现金退款(只能用于退款操作）
75,赛季排行攻击
5,宝石合成
44,在线奖励
63,打开宝箱
