payment_itemid,payment_name,payment_cate,payment_act,payment_type_id
gift_hero_Richard_1,理查德专属礼包1,常规礼包,常规礼包,regular_gift
gift_hero_Richard_2,理查德专属礼包2,常规礼包,常规礼包,regular_gift
gift_hero_Richard_3,理查德专属礼包3,常规礼包,常规礼包,regular_gift
gift_hero_Richard_4,理查德专属礼包4,常规礼包,常规礼包,regular_gift
gift_hero_Richard_5,理查德专属礼包5,常规礼包,常规礼包,regular_gift
gift_hero_Victoria1,维多利亚专属礼包1,常规礼包,常规礼包,regular_gift
gift_hero_Victoria2,维多利亚专属礼包2,常规礼包,常规礼包,regular_gift
gift_hero_Victoria3,维多利亚专属礼包3,常规礼包,常规礼包,regular_gift
gift_hero_Victoria4,维多利亚专属礼包4,常规礼包,常规礼包,regular_gift
gift_hero_Victoria5,维多利亚专属礼包5,常规礼包,常规礼包,regular_gift
gift_buildings_1,快速发展礼包1,常规礼包,常规礼包,regular_gift
gift_buildings_2,快速发展礼包2,常规礼包,常规礼包,regular_gift
gift_buildings_3,快速发展礼包3,常规礼包,常规礼包,regular_gift
gift_buildings_4,快速发展礼包4,常规礼包,常规礼包,regular_gift
gift_buildings_5,快速发展礼包5,常规礼包,常规礼包,regular_gift
gift_hero_1,英雄成长礼包1,常规礼包,常规礼包,regular_gift
gift_hero_2,英雄成长礼包2,常规礼包,常规礼包,regular_gift
gift_hero_3,英雄成长礼包3,常规礼包,常规礼包,regular_gift
gift_hero_4,英雄成长礼包4,常规礼包,常规礼包,regular_gift
gift_hero_5,英雄成长礼包5,常规礼包,常规礼包,regular_gift
gift_research_1,研究礼包1,常规礼包,常规礼包,regular_gift
gift_research_2,研究礼包2,常规礼包,常规礼包,regular_gift
gift_research_3,研究礼包3,常规礼包,常规礼包,regular_gift
gift_research_4,研究礼包4,常规礼包,常规礼包,regular_gift
gift_research_5,研究礼包5,常规礼包,常规礼包,regular_gift
gift_train_1,训练礼包1,常规礼包,常规礼包,regular_gift
gift_train_2,训练礼包2,常规礼包,常规礼包,regular_gift
gift_train_3,训练礼包3,常规礼包,常规礼包,regular_gift
gift_train_4,训练礼包4,常规礼包,常规礼包,regular_gift
gift_train_5,训练礼包5,常规礼包,常规礼包,regular_gift
gift_hero_pool_card_1,招募礼包1,常规礼包,常规礼包,regular_gift
gift_hero_pool_card_2,招募礼包2,常规礼包,常规礼包,regular_gift
gift_hero_pool_card_3,招募礼包3,常规礼包,常规礼包,regular_gift
gift_hero_pool_card_4,招募礼包4,常规礼包,常规礼包,regular_gift
