map_id,map_type,map_cn
33001,普通关卡,普通第 1 关
33002,普通关卡,普通第 2 关
33003,普通关卡,普通第 3 关
33038,普通关卡,普通第 4 关
33004,普通关卡,普通第 5 关
33005,普通关卡,普通第 6 关
33006,普通关卡,普通第 7 关
33007,普通关卡,普通第 8 关
33008,普通关卡,普通第 9 关
33009,普通关卡,普通第 10 关
33010,普通关卡,普通第 11 关
33011,普通关卡,普通第 12 关
33012,普通关卡,普通第 13 关
33013,普通关卡,普通第 14 关
33014,普通关卡,普通第 15 关
33015,普通关卡,普通第 16 关
33016,普通关卡,普通第 17 关
33017,普通关卡,普通第 18 关
33018,普通关卡,普通第 19 关
33019,普通关卡,普通第 20 关
33020,普通关卡,普通第 21 关
33021,普通关卡,普通第 22 关
33022,普通关卡,普通第 23 关
33023,普通关卡,普通第 24 关
33024,普通关卡,普通第 25 关
33025,普通关卡,普通第 26 关
33026,普通关卡,普通第 27 关
33027,普通关卡,普通第 28 关
33028,普通关卡,普通第 29 关
33029,普通关卡,普通第 30 关
33030,普通关卡,普通第 31 关
33031,普通关卡,普通第 32 关
33032,普通关卡,普通第 33 关
33033,普通关卡,普通第 34 关
33034,普通关卡,普通第 35 关
33035,普通关卡,普通第 36 关
33036,普通关卡,普通第 37 关
33037,普通关卡,普通第 38 关
,,
qk_monster_village_1,匪巢,匪巢1-1级
qk_monster_village_2,匪巢,匪巢1-2级
qk_monster_village_3,匪巢,匪巢1-3级
qk_monster_village_4,匪巢,匪巢1-4级
qk_monster_village_5,匪巢,匪巢1-5级
qk_monster_village_6,匪巢,匪巢1-6级
qk_monster_siege_1,匪巢,匪巢2-1级
qk_monster_siege_2,匪巢,匪巢2-2级
qk_monster_siege_3,匪巢,匪巢2-3级
qk_monster_siege_4,匪巢,匪巢2-4级
qk_monster_siege_5,匪巢,匪巢2-5级
qk_monster_siege_6,匪巢,匪巢2-6级
qk_monster_bridge_1,匪巢,匪巢3-1级
qk_monster_bridge_2,匪巢,匪巢3-2级
qk_monster_bridge_3,匪巢,匪巢3-3级
qk_monster_bridge_4,匪巢,匪巢3-4级
qk_monster_bridge_5,匪巢,匪巢3-5级
qk_monster_bridge_6,匪巢,匪巢3-6级
qk_monster_canyon_1,匪巢,匪巢4-1级
qk_monster_canyon_2,匪巢,匪巢4-2级
qk_monster_canyon_3,匪巢,匪巢4-3级
qk_monster_canyon_4,匪巢,匪巢4-4级
qk_monster_canyon_5,匪巢,匪巢4-5级
qk_monster_canyon_6,匪巢,匪巢4-6级
qk_monster_swamp_1,匪巢,匪巢5-1级
qk_monster_swamp_2,匪巢,匪巢5-2级
qk_monster_swamp_3,匪巢,匪巢5-3级
qk_monster_swamp_4,匪巢,匪巢5-4级
qk_monster_swamp_5,匪巢,匪巢5-5级
qk_monster_swamp_6,匪巢,匪巢5-6级
qk_monster_grass_1,匪巢,匪巢6-1级
qk_monster_grass_2,匪巢,匪巢6-2级
qk_monster_grass_3,匪巢,匪巢6-3级
qk_monster_grass_4,匪巢,匪巢6-4级
qk_monster_grass_5,匪巢,匪巢6-5级
qk_monster_grass_6,匪巢,匪巢6-6级
qk_monster_snow_1,匪巢,匪巢7-1级
qk_monster_snow_2,匪巢,匪巢7-2级
qk_monster_snow_3,匪巢,匪巢7-3级
qk_monster_snow_4,匪巢,匪巢7-4级
qk_monster_snow_5,匪巢,匪巢7-5级
qk_monster_snow_6,匪巢,匪巢7-6级
,,
36001,雷达,雷达第1关
36002,雷达,雷达第2关
36003,雷达,雷达第3关
36004,雷达,雷达第4关
36005,雷达,雷达第5关
36006,雷达,雷达第6关
36007,雷达,雷达第7关
36008,雷达,雷达第8关
36009,雷达,雷达第9关
36010,雷达,雷达第10关
36011,雷达,雷达第11关
36012,雷达,雷达第12关
36013,雷达,雷达第13关
36014,雷达,雷达第14关
36015,雷达,雷达第15关
36016,雷达,雷达第16关
36017,雷达,雷达第17关
36018,雷达,雷达第18关
36019,雷达,雷达第19关
36020,雷达,雷达第20关
36021,雷达,雷达第21关
36022,雷达,雷达第22关
36023,雷达,雷达第23关
36024,雷达,雷达第24关
36025,雷达,雷达第25关
36026,雷达,雷达第26关
36027,雷达,雷达第27关
36028,雷达,雷达第28关
36029,雷达,雷达第29关
36030,雷达,雷达第30关
36031,雷达,雷达第31关
36032,雷达,雷达第32关
36033,雷达,雷达第33关
36034,雷达,雷达第34关
36035,雷达,雷达第35关
36036,雷达,雷达第36关
36037,雷达,雷达第37关
36038,雷达,雷达第38关
36039,雷达,雷达第39关
36040,雷达,雷达第40关
36041,雷达,雷达第41关
36042,雷达,雷达第42关
36043,雷达,雷达第43关
36044,雷达,雷达第44关
36045,雷达,雷达第45关
36046,雷达,雷达第46关
36047,雷达,雷达第47关
36048,雷达,雷达第48关
36049,雷达,雷达第49关
36050,雷达,雷达第50关
36051,雷达,雷达第51关
36052,雷达,雷达第52关
