month,channel,item_id,item_name,item_add,core_cost,item_cost,item_price
2024-06-01,10101,10672,新-SSR碎片任选包（惊喜礼包）,720,16273.949999999999,680,446.4285714285714
2024-06-01,10101,31426,神威14绿色部位6,64,420.19000000000005,59,178.57142857142856
2024-06-01,10101,34,家族币,1364945,0.0,1134600,0.017857142857142856
2024-06-01,10101,30621,神威6绿色部位1,61,588.2199999999999,55,178.57142857142856
2024-06-01,10101,94471,橙色阵石472,1,28.99,1,2857.142857142857
2024-06-01,10101,12076,浅井长政SR(召唤卡),8,744.72,8,2678.5714285714284
2024-06-01,10101,70011,鱼鳞阵-蓝,81,2577.4,69,714.2857142857142
2024-06-01,10101,10608,极武魂,1065,0.0,1065,89.28571428571428
2024-06-01,10101,82008,攻击类—谋术率增加比例— 绿,33,177.53000000000003,32,89.28571428571428
2024-06-01,10101,40550,勇气·10级·太政,8,0.0,,1285.7142857142856
2024-06-01,10101,10195,金色神威4任选宝箱,2,1058.99,2,3571.428571428571
2024-06-01,10101,30145,神威1紫色部位5,11,19.66,2,892.8571428571428
2024-06-01,10101,91452,绿色阵石453,1,0.0,1,357.1428571428571
2024-06-01,10101,50017,金蝇取-UR,1,87.86,,35714.28571428571
2024-06-01,10101,91191,绿色阵石192,1,0.3,1,357.1428571428571
2024-06-01,10101,13087,光·北条氏康UR(碎片),2,1643.3,1,2678.5714285714284
2024-06-01,10101,31241,神威12紫色部位1,6,7.94,1,892.8571428571428
2024-06-01,10101,91038,绿色阵石39,1,31.71,,357.1428571428571
2024-06-01,10101,91370,绿色阵石371,1,0.0,,357.1428571428571
2024-06-01,10101,31822,神威18绿色部位2,45,556.44,42,178.57142857142856
2024-06-01,10101,20011,火铳-2品0强,1945,25099.530000000002,1290,178.57142857142856
2024-06-01,10101,13057,光·德川家康UR(碎片),13,86.91,2,2678.5714285714284
2024-06-01,10101,40549,勇气·9级·太政,1,0.0,,1285.7142857142856
2024-06-01,10101,320048,4周年招募令,5,0.0,,535.7142857142857
2024-06-01,10101,10067,改名卡,2,0.0,2,1785.7142857142856
2024-06-01,10101,82020,防御类—绝对防御—绿,43,337.54,43,89.28571428571428
2024-06-01,10101,94449,橙色阵石450,1,0.0,1,2857.142857142857
2024-06-01,10101,30346,神威3紫色部位6,7,415.78000000000003,2,892.8571428571428
2024-06-01,10101,93392,紫色阵石393,1,0.0,1,1428.5714285714284
2024-06-01,10101,81019,防御类—抗暴伤提升—白,115,788.7499999999999,93,89.28571428571428
2024-06-01,10101,31232,神威12蓝色部位2,10,197.21999999999997,13,357.1428571428571
2024-06-01,10101,90060,白色阵石10,2,0.0,2,178.57142857142856
2024-06-01,10101,81001,攻击类—智力— 白,143,1314.2899999999997,110,89.28571428571428
2024-06-01,10101,60307,紫八尺琼勾玉,21,667.0300000000001,15,892.8571428571428
2024-06-01,10101,82007,攻击类—命中率增加比例— 绿,50,246.85,36,89.28571428571428
2024-06-01,10101,30842,神威8紫色部位2,6,147.36,3,892.8571428571428
2024-06-01,10101,10044,紫色装备包,126,11703.310000000001,69,892.8571428571428
2024-06-01,10101,10192,金色神威1任选宝箱,1,565.82,1,3571.428571428571
2024-06-01,10101,12269,S22小松姬UR(召唤卡),1,0.0,1,107142.85714285713
2024-06-01,10101,14604,珠宝-紫,1056,16231.520000000002,1111,178.57142857142856
2024-06-01,10101,329940,SSR+武将碎片自选 S3-S5,5,0.0,,892.8571428571428
2024-06-01,10101,11504,蓝色刻刀（浮世绘刻印道具蓝）,100,29.299999999999997,,35.71428571428571
2024-06-01,10101,329966,3v3竞技场SSR+碎片随机,2,0.0,2,892.8571428571428
2024-06-01,10101,13034,岛左近SR(碎片),728,4079.07,494,178.57142857142856
2024-06-01,10101,31041,神威10紫色部位1,12,533.91,7,892.8571428571428
2024-06-01,10101,13083,暗·茶茶UR(碎片),8,45.41,,2678.5714285714284
2024-06-01,10101,14807,香木-橙,563,6230.929999999999,357,357.1428571428571
2024-06-01,10101,350022,S31赛季SSR+碎片随机,2,2138.34,2,892.8571428571428
2024-06-01,10101,83004,攻击类—攻击增加百分比— 蓝,10,64.13999999999999,1,89.28571428571428
2024-06-01,10101,30353,神威3橙色部位3,1,0.0,1,1785.7142857142856
2024-06-01,10101,30645,神威6紫色部位5,7,11.180000000000001,4,892.8571428571428
2024-06-01,10101,50014,三好旗-SSR+,2,71.86,,17857.142857142855
2024-06-01,10101,10611,SSR+武将碎片自选,441,62156.78000000001,468,892.8571428571428
2024-06-01,10101,11000,寻宝令,603,0.0,596,178.57142857142856
2024-06-01,10101,30155,神威1橙色部位5,1,0.03,1,1785.7142857142856
2024-06-01,10101,10795,战旗兑换卷,90,0.0,120,357.1428571428571
2024-06-01,10101,30126,神威1绿色部位6,62,947.8599999999998,51,178.57142857142856
2024-06-01,10101,10120,硬币,3690,0.0,3603,8.928571428571427
2024-06-01,10101,13037,本愿寺显如R(碎片),4256,42742.67,2851,124.99999999999999
2024-06-01,10101,93138,紫色阵石139,1,0.0,,1428.5714285714284
2024-06-01,10101,10002,财源滚滚(被gameconstantset引用),6724,23377.98999999999,4680,17.857142857142854
2024-06-01,10101,13051,光·本多忠胜UR(碎片),5,6.7,,2678.5714285714284
2024-06-01,10101,31532,神威15蓝色部位2,17,728.75,18,357.1428571428571
2024-06-01,10101,91261,绿色阵石262,1,102.09,,357.1428571428571
2024-06-01,10101,31045,神威10紫色部位5,12,785.17,2,892.8571428571428
2024-06-01,10101,92099,蓝色阵石100,1,0.0,,714.2857142857142
2024-06-01,10101,10459,战旗经验书-绿,5065,13414.36,5170,35.71428571428571
2024-06-01,10101,12010,宫本武藏SSR(召唤卡),1,3330.64,1,17857.142857142855
2024-06-01,10101,10011,招募令(被gameconstantset引用),3192,12759.9,2966,53.57142857142857
2024-06-01,10101,31354,神威13橙色部位4,1,0.0,,1785.7142857142856
2024-06-01,10101,30841,神威8紫色部位1,12,137.01,5,892.8571428571428
2024-06-01,10101,31955,神威19橙色部位5,2,0.75,1,1785.7142857142856
