month,channel,money,core_gain,core_cost,corecost_once,corecost_forever,corecost_play
2024-06-01,10101,13657000,8452810,8525028,7627883.03,249248.53999999998,647898
2024-06-01,10102,50111000,29643514,29701201,27269231.079999994,1004360.0900000001,1427611
2024-05-01,10101,13091000,8287619,8236496,7406326.389999997,193273.11000000002,636896
2024-05-01,10102,60934000,36463190,36017479,33641689.77,744996.2200000001,1630794
2024-04-01,10101,16806000,10606153,10475344,9382403.31,399167.87999999995,693774
2024-04-01,10102,75684000,45268644,44102120,40176620.67,2089935.93,1835565
2024-03-01,10101,22851000,13702939,13651717,11106334.530000001,1717696.8199999996,827687
2024-03-01,10102,97268000,56628272,56034717,50945832.48000001,3372198.0200000014,1716687
2024-02-01,10101,8984000,5814063,5629328,5067072.930000001,184840.45,377413
2024-02-01,10102,71039000,42744253,41499736,37735454.949999996,2163138.26,1600941
2024-01-01,10101,20654000,12502760,12515530,10711013.560000002,1016418.6699999999,788099
2024-01-01,10102,92871000,54206087,53821393,48264019.97,3517124.1200000015,2040248
