month,channel,reason,core_cost
2024-06-01,10101,325,1600.0
2024-06-01,10101,638,109720.0
2024-06-01,10101,371,200.0
2024-06-01,10101,675,1000.0
2024-06-01,10101,352,271.0
2024-06-01,10101,365,120.0
2024-06-01,10101,350,1838.0
2024-06-01,10101,618,11700.0
2024-06-01,10101,316,213500.0
2024-06-01,10101,412,1497.0
2024-06-01,10101,654,200.0
2024-06-01,10101,324,5000.0
2024-06-01,10101,394,4600.0
2024-06-01,10101,657,66128.0
2024-06-01,10101,375,136000.0
2024-06-01,10101,627,400.0
2024-06-01,10101,925,1800.0
2024-06-01,10101,224,965.0
2024-06-01,10101,200,200.0
2024-06-01,10101,676,200.0
2024-06-01,10101,636,520.0
2024-06-01,10101,372,6617.0
2024-06-01,10101,338,1000.0
2024-06-01,10101,926,3500.0
2024-06-01,10101,16,11882.0
2024-06-01,10101,389,16550.0
2024-06-01,10101,141,1368.0
2024-06-01,10101,621,20700.0
2024-06-01,10101,420,9052.0
2024-06-01,10101,936,5090.0
2024-06-01,10101,653,180.0
2024-06-01,10101,388,14500.0
2024-06-01,10102,200,2450.0
2024-06-01,10102,372,3440.0
2024-06-01,10102,352,184.0
2024-06-01,10102,657,118158.0
2024-06-01,10102,141,70.0
2024-06-01,10102,936,4730.0
2024-06-01,10102,350,9468.0
2024-06-01,10102,16,1234.0
2024-06-01,10102,926,2500.0
2024-06-01,10102,301,200.0
2024-06-01,10102,338,15800.0
2024-06-01,10102,621,28600.0
2024-06-01,10102,389,58800.0
2024-06-01,10102,324,7800.0
2024-06-01,10102,388,26000.0
2024-06-01,10102,636,2290.0
2024-06-01,10102,375,109000.0
2024-06-01,10102,638,349600.0
2024-06-01,10102,675,6700.0
2024-06-01,10102,676,250.0
2024-06-01,10102,360,100.0
2024-06-01,10102,316,647000.0
2024-06-01,10102,157,11000.0
2024-06-01,10102,325,1400.0
2024-06-01,10102,925,1600.0
2024-06-01,10102,365,1265.0
2024-06-01,10102,627,300.0
2024-06-01,10102,412,767.0
2024-06-01,10102,243,1932.0
2024-06-01,10102,394,11600.0
2024-06-01,10102,420,366.0
2024-06-01,10102,654,600.0
2024-06-01,10102,618,2100.0
2024-06-01,10102,371,200.0
2024-06-01,10102,224,7.0
2024-06-01,10102,358,100.0
2024-05-01,10101,352,214.0
2024-05-01,10101,230,190.0
2024-05-01,10101,375,25000.0
2024-05-01,10101,141,145.0
2024-05-01,10101,324,6800.0
2024-05-01,10101,618,6900.0
2024-05-01,10101,365,248.0
2024-05-01,10101,412,742.0
2024-05-01,10101,636,920.0
2024-05-01,10101,420,4785.0
2024-05-01,10101,16,10779.0
2024-05-01,10101,452,3000.0
2024-05-01,10101,627,200.0
2024-05-01,10101,325,200.0
2024-05-01,10101,388,15000.0
2024-05-01,10101,657,67052.0
2024-05-01,10101,394,3200.0
2024-05-01,10101,638,108800.0
2024-05-01,10101,138,1000.0
2024-05-01,10101,675,2700.0
2024-05-01,10101,371,4800.0
2024-05-01,10101,653,240.0
2024-05-01,10101,926,6300.0
2024-05-01,10101,350,3785.0
2024-05-01,10101,338,7500.0
2024-05-01,10101,389,20100.0
2024-05-01,10101,316,316500.0
2024-05-01,10101,243,986.0
2024-05-01,10101,200,200.0
2024-05-01,10101,224,186.0
2024-05-01,10101,925,3600.0
2024-05-01,10101,372,5624.0
2024-05-01,10101,621,9200.0
2024-05-01,10102,657,121832.0
2024-05-01,10102,412,827.0
2024-05-01,10102,352,2062.0
2024-05-01,10102,365,5747.0
2024-05-01,10102,360,100.0
2024-05-01,10102,338,10600.0
2024-05-01,10102,420,4863.0
2024-05-01,10102,325,5600.0
2024-05-01,10102,301,200.0
2024-05-01,10102,157,8000.0
2024-05-01,10102,618,1500.0
2024-05-01,10102,676,100.0
2024-05-01,10102,654,200.0
2024-05-01,10102,627,100.0
2024-05-01,10102,636,2810.0
2024-05-01,10102,621,10700.0
2024-05-01,10102,200,3090.0
2024-05-01,10102,675,1400.0
2024-05-01,10102,452,5000.0
