month,channel,item_id,item_name,item_add,core_cost,item_cost,item_price
2024-03-01,800001,1-1148,星霜结晶,552307262,0.0,214052250,0.0
2024-03-01,800001,1-530505,突如其来的学妹,13,4623.74,32,12800.0
2024-03-01,800001,1-1111,潜力水晶,2890031760,15126890.929999994,2571839540,0.8
2024-03-01,800001,1-1510,使魔零食,719991480,1307710.6,434768218,0.3
2024-03-01,800001,1-12042,冰海领主龙,14,40653.01,13,160000.0
2024-03-01,800001,1-9171,自选礼包,5,267.63,5,7680.0
2024-03-01,800001,1-1552,银钥匙,5340,31083.579999999987,5103,800.0
2024-03-01,800001,1-1551,金钥匙,659,9272.89,634,3000.0
2024-03-01,800001,1-2533,六元素巨龙自选包,163,331211.11,147,160000.0
2024-03-01,800001,1-1548,英雄挑战券,2652,34918.159999999996,1866,520.8333333
2024-03-01,800001,1-1147,限定招募券,410,3294.14,405,300.0
2024-03-01,800001,1-1512,锦标赛挑战券,4102,1776.8,3615,86.0
2024-03-01,800001,1-2538,光暗羽毛自选包2,25600,80203.51999999999,15380,200.0
2024-03-01,800001,1-1547,普通挑战券,18347,16624.949999999997,6098,104.1666667
2024-03-01,800001,1-2201,红色徽章自选包,49,8112.460000000002,28,25000.0
2024-03-01,800001,1-1584,王者之锤,80415,70755.87000000001,68154,150.0
2024-03-01,800001,1-1518,大地之羽,478756,149698.98,247770,40.0
2024-03-01,800001,1-1573,元素魔方,24,146.74,21,450.0
2024-03-01,800001,1-1558,圣石,10722,19251.619999999995,9905,300.0
2024-03-01,800001,1-9122,航海补给包I,444,1834.9299999999998,444,500.0
2024-03-01,800001,1-2555,水系自选红装备（智力）,1,6.62,,25000.0
2024-03-01,800001,1-2101,红色武器自选包,213,28856.630000000005,134,25000.0
2024-03-01,800001,1-9132,连连看补给包III,119,5283.07,119,1780.0
2024-03-01,800001,1-1587,2023樱花券,1,0.0,1,200.0
2024-03-01,800001,1-2574,六元素领主龙自选包,7,22488.62,7,320000.0
2024-03-01,800001,1-1516,天命宝珠,315727956,2255436.0500000003,296020840,1.0
2024-03-01,800001,1-2501,元素宝石自选包,1704551,1896215.8000000003,1606454,100.0
2024-03-01,800001,1-1116,高级精钢,828353,984617.27,783633,150.0
2024-03-01,800001,1-1119,概率UP招募券,85098,256710.97,98775,300.0
2024-03-01,800001,1-1132,初级挑战券,56574,40291.69,10573,100.0
2024-03-01,800001,1-1203,6小时塔拉币,117244,26721.67,100845,30.0
2024-03-01,800001,1-9162,王者争夺战礼包I,1189,2589.3899999999994,1189,300.0
2024-03-01,800001,1-2532,四元素巨龙自选包,523,478631.7100000001,454,80000.0
2024-03-01,800001,1-1114,元素招募券,26562,113571.37999999999,17545,540.0
2024-03-01,800001,1-8005,随机巨龙宝箱I,1114,51683.92,1111,10000.0
2024-03-01,800001,1-1574,龙血精华,590,3568.160000000001,578,450.0
2024-03-01,800001,1-4000,誓约之戒,1,261.04,1,12800.0
2024-03-01,800001,1-1139,占卜卡,57391,180646.30000000002,52022,500.0
2024-03-01,800001,1-421411,伊织萌抹油皮肤,4,498.48,5,12800.0
2024-03-01,800001,1-1620,情人节鲜花,15550,16375.869999999997,79445,100.0
2024-03-01,800001,1-12012,双足飞龙-水,1363,17466.0,1194,2000.0
2024-03-01,800001,1-1126,地元素宝石,133330,85657.74999999999,124200,100.0
2024-03-01,800001,1-2507,资源自选包,18987,66496.28000000003,18854,550.0
2024-03-01,800001,1-2530,资源自选包6,107166,417729.0400000001,83435,500.0
2024-03-01,800001,1-2520,暗系自选红装备（敏捷）,20,12381.779999999999,20,25000.0
2024-03-01,800001,1-2104,红色鞋子自选包,223,27888.12,161,25000.0
2024-03-01,800001,1-1559,龙的心脏,15299,112840.73,8480,1000.0
2024-03-01,800001,1-11063,炎之种,6560,8668.0,6440,200.0
2024-03-01,800001,1-2557,风系自选红装备（智力）,1,36.99,1,25000.0
2024-03-01,800001,1-2506,资源自选包4,5283,19362.780000000006,4291,500.0
2024-03-01,800001,1-12046,九头领主龙,4,7838.110000000001,3,320000.0
2024-03-01,800001,1-1204,24小时塔拉币,407705,501575.34999999974,326905,120.0
2024-03-01,800001,1-1601,忘我之书,53003,34075.74,31214,100.0
2024-03-01,800001,1-8006,随机巨龙宝箱II,10,5164.94,6,80000.0
2024-03-01,800001,1-9129,娃娃机补给包IV,17,1556.6299999999999,17,3280.0
2024-03-01,800001,1-2504,资源自选包2,19899,57057.04999999999,13310,500.0
2024-03-01,800001,1-2502,猎人养成自选包,13743,15968.260000000002,10356,200.0
2024-03-01,800001,1-9121,射箭补给包IV,7,978.1100000000001,7,3280.0
2024-03-01,800001,1-1501,光暗特邀券,4828,53595.03000000001,16501,500.0
2024-03-01,800001,1-1613,跳跳大闯关入场券,7,254.82,1,800.0
2024-03-01,800001,1-1527,光暗招募应援券,48177,826134.39,9449,2500.0
2024-03-01,800001,1-9130,连连看补给包I,764,3835.51,764,500.0
2024-03-01,800001,1-1545,绯红精铁,8649069,2315207.5700000003,5675300,50.0
2024-03-01,800001,1-1504,圣能结晶,3110185922,24077617.249999996,1977052320,1.0
2024-03-01,800001,1-2001,四种族SSR猎人自选包,41,8184.009999999998,37,10000.0
2024-03-01,800001,1-12035,光耀龙,70,119785.99,69,160000.0
2024-03-01,800001,1-9168,王者决胜战礼包III,177,8133.079999999998,177,3000.0
2024-03-01,800001,1-11061,岩之种,13720,13015.810000000001,10200,200.0
2024-03-01,800001,1-1402,2小时潜力水晶,192101,83212.33,216396,60.0
2024-03-01,800001,1-1598,放大镜,7,21.45,,200.0
2024-03-01,800001,1-11071,育成心得,413890091,2427158.65,347050100,1.0
2024-03-01,800001,1-9139,守护活力包|||,362,3994.66,362,1000.0
2024-03-01,800001,1-1603,极意竞技入场卷,48417,32681.79000000002,10456,100.0
2024-03-01,800001,1-9124,航海补给包III,18,508.5199999999999,18,1780.0
2024-03-01,800001,1-2569,高级笔记自选包2,8991,186129.19,8782,1200.0
2024-03-01,800001,1-2002,光暗SSR猎人自选包,30,13927.17,25,20000.0
2024-03-01,800001,1-1125,高级强化石,1635057,1054488.37,1457969,60.0
2024-03-01,800001,1-2563,巨龙养成自选包,11675,31011.34,10538,500.0
2024-03-01,800001,1-1618,温泉游戏币,32,49.379999999999995,17,100.0
2024-03-01,800001,1-1122,猎龙精魄,11886508,185441.96000000008,11506060,2.4
2024-03-01,800001,1-1304,24小时历练值,2853,11731.099999999997,2798,480.0
2024-03-01,800001,1-11065,圣之种,1280,4683.74,760,400.0
2024-03-01,800001,1-1123,猎龙精魂,12389740,229393.06000000038,12242780,2.8
2024-03-01,800001,1-1524,晶矿入场券,93,58.339999999999996,92,100.0
2024-03-01,800001,1-2535,装备材料自选包,47774,173087.88,23908,500.0
2024-03-01,800001,1-1401,1小时潜力水晶,13248,2212.1,13502,30.0
2024-03-01,800001,1-1610,魔力碎片,3622426,231471.15999999997,3161000,10.0
2024-03-01,800001,1-9140,守护活力包|V,231,6114.67,231,2000.0
2024-03-01,800001,1-2572,招募自选箱,71290,182537.50000000012,39075,300.0
2024-03-01,800001,1-1533,娃娃机游戏币,70026,90512.29000000001,69956,140.201
2024-03-01,800001,1-2577,六元素羽毛自选包,1400,151.95,2175,80.0
2024-03-01,800001,1-9120,射箭补给包III,42,1539.2900000000002,42,1780.0
2024-03-01,800001,1-1120,高级才能符文,1440604,608234.9300000003,1069747,40.0
2024-03-01,800001,1-1590,跳一跳入场券,4,36.77,,800.0
2024-03-01,800001,1-1599,静心之书,587016,69913.13999999996,383844,20.0
2024-03-01,800001,1-1575,还魂人偶,1883,5459.479999999999,549,300.0
2024-03-01,800001,1-2582,原火自选包B,32570,104765.15,23799,200.0
2024-03-01,800001,1-1621,白色情人节游戏券,61514,48049.98000000002,60280,100.0
2024-03-01,800001,1-1608,万圣节南瓜,10,44.3,4,800.0
2024-03-01,800001,1-430904,无垢的花嫁,187,21504.45,173,12800.0
2024-03-01,800001,1-2503,资源自选包1,24428,72269.56999999998,16351,500.0
2024-03-01,800001,1-1557,圣露,10150,18861.559999999998,9533,300.0
2024-03-01,800001,1-9123,航海补给包II,18,570.9399999999999,18,1460.0
2024-03-01,800001,1-12034,凤羽龙,138,79710.49,139,80000.0
2024-03-01,800001,1-2579,火三角碎片自选,68200,144477.45999999996,56842,200.0
2024-03-01,800001,1-2558,自选红装备（力量）,1,64.6,3,25000.0
2024-03-01,800001,1-2573,四元素领主龙自选包,53,127025.81999999999,47,160000.0
2024-03-01,800001,1-2536,资源自选包7,76471,537561.15,63635,500.0
2024-03-01,800001,1-1577,夺命飞弹,417,28931.150000000005,416,3000.0
2024-03-01,800001,1-12021,地龙,2198,96795.18999999999,2074,10000.0
2024-03-01,800001,1-421104,全力应援的啦啦队少女,1,360.83,,12800.0
2024-03-01,800001,1-12026,暗龙,53,4714.240000000001,51,10000.0
2024-03-01,800001,1-1137,初级才能符文,2194705,531702.63,634089,20.0
2024-03-01,800001,1-1561,闪亮之星祈愿券,380254,1086578.4499999997,365828,300.0
2024-03-01,800001,1-1115,普通精钢,25408457,516644.9700000002,18019049,3.0
2024-03-01,800001,1-12041,古岩领主龙,21,42117.96000000001,20,160000.0
2024-03-01,800001,1-1121,中级才能符文,1547420,785994.3499999997,939316,40.0
2024-03-01,800001,1-12043,火蜥领主龙,19,35847.13000000001,18,160000.0
2024-03-01,800001,1-1130,光元素宝石,97929,126436.05999999998,95970,100.0
2024-03-01,800001,1-2548,火系自选红装备（力量）,2,116.52,1,25000.0
2024-03-01,800001,1-2566,月光自选包2,5089,20084.64,4077,500.0
2024-03-01,800001,1-2546,地系自选红装备（力量）,1,36.2,,25000.0
2024-03-01,800001,1-2545,相遇养成自选包,3747,14045.359999999997,2857,450.0
2024-03-01,800001,1-1124,普通强化石,2938704,704346.9799999999,2193820,20.0
2024-03-01,800001,1-9159,自选礼包,644,5409.6900000000005,643,1020.0
2024-03-01,800001,1-1404,24小时潜力水晶,36637,240028.21999999997,29694,720.0
2024-03-01,800001,1-1616,2023圣诞节游戏币,27,265.46999999999997,49,800.0
2024-03-01,800001,1-1117,扭蛋币,453971,923192.2599999998,380765,300.0
2024-03-01,800001,1-2518,光系自选红装备（智力）,60,25844.93,60,25000.0
2024-03-01,800001,1-1127,水元素宝石,160884,115513.18000000002,153895,100.0
2024-03-01,800001,1-2102,红色衣服自选包,111,14170.89,67,25000.0
2024-03-01,800001,1-1133,高级挑战券,4855,4665.830000000001,1784,100.0
2024-03-01,800001,1-9131,连连看补给包II,138,5479.790000000001,138,1460.0
2024-03-01,800001,1-1520,火焰之羽,547616,189717.52000000002,543490,40.0
2024-03-01,800001,1-12044,羽蛇领主龙,8,12397.14,8,160000.0
2024-03-01,800001,1-11064,岚之种,3880,4559.750000000001,3920,200.0
2024-03-01,800001,1-2517,光系自选红装备（敏捷）,13,6144.98,11,25000.0
2024-03-01,800001,1-9137,守护活力包|,4230,0.0,4230,0.0
