month,channel,item_id,item_name,item_add,core_cost
2024-02-01,800001,2-2020403,灵动外套,8508,13919.01
2024-02-01,800001,2-1010404,金刚战锤,8471,14243.630000000001
2024-02-01,800001,5-603,疾风徽章,849,121561.12000000001
2024-02-01,800001,2-20103,理性匕首,91893,92514.40000000002
2024-02-01,800001,2-10302,忍耐护腕,74070,38561.46
2024-02-01,800001,3-14108,阿瑞斯天命碎片,111666,194328.4300000001
2024-02-01,800001,2-1020601,白银铠甲,1695,7400.99
2024-02-01,800001,3-2101,洛必达碎片,5499900,87101.25
2024-02-01,800001,2-1030804,白金护腕,85,766.2599999999999
2024-02-01,800001,2-2040700,黄金皮靴,2152,15273.980000000001
2024-02-01,800001,3-15301,卡门碎片,14466,27076.800000000007
2024-02-01,800001,3-14405,黄忠天命碎片,95805,137862.89
2024-02-01,800001,2-1030805,白金护腕,110,870.4899999999999
2024-02-01,800001,3-14607,德古拉天命碎片,6250,29053.39
2024-02-01,800001,2-2010900,秘银匕首,169,28027.78
2024-02-01,800001,2-2040606,白银皮靴,1783,6489.480000000001
2024-02-01,800001,5-505,刚体徽章,1125,12433.560000000003
2024-02-01,800001,5-405,刚体徽章,7151,41861.150000000016
2024-02-01,800001,2-1040903,秘银战靴,84,30789.070000000003
2024-02-01,800001,3-2201,长宗我部盛亲碎片,5491000,85892.95
2024-02-01,800001,2-1010904,秘银战锤,105,37411.11000000001
2024-02-01,800001,2-1010603,白银战斧,1741,7414.879999999999
2024-02-01,800001,2-3030802,白金项链,100,968.5599999999998
2024-02-01,800001,2-2020605,白银外套,1888,7169.7
2024-02-01,800001,3-4304,出云阿国碎片,99700,104181.29000000001
2024-02-01,800001,2-1020404,金刚铠甲,8447,14477.390000000001
2024-02-01,800001,2-9031000,振金饰品,306,111230.31000000001
2024-02-01,800001,2-8031000,瑟银饰品,847,145413.61000000004
2024-02-01,800001,5-606,生命徽章,397,72383.34
2024-02-01,800001,2-2030802,白金指环,77,785.69
2024-02-01,800001,2-1020904,秘银铠甲,86,38967.23999999998
2024-02-01,800001,2-2040405,灵动皮靴,8361,14129.809999999998
2024-02-01,800001,2-3040505,寒铁布靴,4031,9737.839999999998
2024-02-01,800001,2-2040500,寒铁长靴,16315,40228.529999999984
2024-02-01,800001,2-2020903,秘银外套,57,16853.329999999998
2024-02-01,800001,2-3030502,寒铁项链,4119,10462.25
2024-02-01,800001,2-2040701,黄金皮靴,572,3504.27
2024-02-01,800001,2-1020402,金刚铠甲,8357,14503.83
2024-02-01,800001,2-3030400,精力项链,33500,55475.560000000005
2024-02-01,800001,3-4108,阿瑞斯碎片,85700,66397.10000000002
2024-02-01,800001,2-2020505,寒铁外套,4001,9893.899999999998
2024-02-01,800001,2-2020702,黄金外套,607,3844.920000000001
2024-02-01,800001,2-30403,思惑布靴,91684,91439.10000000002
2024-02-01,800001,2-3040706,黄金长靴,525,3168.5899999999997
2024-02-01,800001,2-3040800,白金长靴,368,3695.7599999999998
2024-02-01,800001,2-1040505,寒铁皮靴,4032,9591.93
2024-02-01,800001,2-10301,新兵护腕,79713,13984.520000000002
2024-02-01,800001,2-1030701,黄金护腕,515,2920.7699999999995
2024-02-01,800001,3-4306,瓦特碎片,92900,60734.14
2024-02-01,800001,2-3030903,秘银项链,56,17937.469999999998
2024-02-01,800001,3-14502,大乔&小乔天命碎片,38913,423917.0
2024-02-01,800001,2-3010706,黄金法杖,541,3872.34
2024-02-01,800001,2-1040805,白金战靴,102,1035.73
2024-02-01,800001,2-3030804,白金项链,98,1362.97
2024-02-01,800001,2-30202,元素长袍,73565,37902.579999999994
