month,channel,reason,core_cost
2024-06-01,800001,224,279566.0
2024-06-01,800001,79,2301580.0
2024-06-01,800001,272,103100.0
2024-06-01,800001,269,393800.0
2024-06-01,800001,74,9300.0
2024-06-01,800001,67,5700.0
2024-06-01,800001,122,535340.0
2024-06-01,800001,203,1560.0
2024-06-01,800001,64,6600.0
2024-06-01,800001,202,263653.0
2024-06-01,800001,109,108800.0
2024-06-01,800001,199,55900.0
2024-06-01,800001,221,1533600.0
2024-06-01,800001,154,120430.0
2024-06-01,800001,63,275400.0
2024-06-01,800001,144,205300.0
2024-06-01,800001,190,91800.0
2024-06-01,800001,161,700.0
2024-06-01,800001,107,55200.0
2024-06-01,800001,20,2400.0
2024-06-01,800001,44,2936500.0
2024-06-01,800001,216,153150.0
2024-06-01,800001,261,55100.0
2024-06-01,800001,186,6820.0
2024-06-01,800001,26,16000.0
2024-06-01,800001,187,576600.0
2024-06-01,800001,223,200297.0
2024-06-01,800002,199,56300.0
2024-06-01,800002,64,19900.0
2024-06-01,800002,221,2886300.0
2024-06-01,800002,107,297300.0
2024-06-01,800002,223,17210.0
2024-06-01,800002,63,378500.0
2024-06-01,800002,26,15800.0
2024-06-01,800002,161,2800.0
2024-06-01,800002,122,958780.0
2024-06-01,800002,269,1085800.0
2024-06-01,800002,187,883600.0
2024-06-01,800002,202,392417.0
2024-06-01,800002,190,183650.0
2024-06-01,800002,79,3691580.0
2024-06-01,800002,144,295200.0
2024-06-01,800002,186,17220.0
2024-06-01,800002,20,2100.0
2024-06-01,800002,261,112500.0
2024-06-01,800002,216,226800.0
2024-06-01,800002,272,284800.0
2024-06-01,800002,67,4500.0
2024-06-01,800002,224,431386.0
2024-06-01,800002,22,600.0
2024-06-01,800002,44,3857700.0
2024-06-01,800002,203,8780.0
2024-06-01,800002,74,30700.0
2024-06-01,800002,154,206160.0
2024-06-01,800002,109,153300.0
2024-06-01,800003,216,2750.0
2024-06-01,800003,63,12000.0
2024-06-01,800003,261,900.0
2024-06-01,800003,67,3300.0
2024-06-01,800003,122,16740.0
2024-06-01,800003,272,1200.0
2024-06-01,800003,202,23099.0
2024-06-01,800003,74,2600.0
2024-06-01,800003,44,16200.0
2024-06-01,800003,20,1200.0
2024-06-01,800003,186,260.0
2024-06-01,800003,269,200.0
2024-06-01,800003,187,65000.0
2024-06-01,800003,190,13850.0
2024-06-01,800003,144,5000.0
2024-06-01,800003,221,185400.0
2024-06-01,800003,223,24601.0
2024-06-01,800003,109,1700.0
2024-06-01,800003,79,169070.0
2024-06-01,800003,154,7420.0
2024-06-01,800003,26,400.0
2024-06-01,800003,64,3700.0
2024-06-01,800003,224,2220.0
2024-05-01,800001,67,5400.0
2024-05-01,800001,122,702820.0
2024-05-01,800001,74,20200.0
2024-05-01,800001,44,6787400.0
2024-05-01,800001,26,15000.0
2024-05-01,800001,109,115800.0
2024-05-01,800001,216,219400.0
2024-05-01,800001,190,92400.0
2024-05-01,800001,154,134070.0
2024-05-01,800001,144,317000.0
2024-05-01,800001,64,10400.0
2024-05-01,800001,20,3000.0
2024-05-01,800001,186,5760.0
2024-05-01,800001,269,914400.0
2024-05-01,800001,107,210600.0
2024-05-01,800001,224,286706.0
2024-05-01,800001,22,500.0
2024-05-01,800001,79,2426510.0
2024-05-01,800001,187,629600.0
2024-05-01,800001,223,120313.0
2024-05-01,800001,161,800.0
2024-05-01,800001,63,529700.0
2024-05-01,800001,199,186800.0
2024-05-01,800001,325,73300.0
2024-05-01,800001,202,276415.0
2024-05-01,800001,221,1948800.0
2024-05-01,800002,20,3000.0
2024-05-01,800002,67,9000.0
2024-05-01,800002,74,50300.0
2024-05-01,800002,269,1563000.0
2024-05-01,800002,64,20300.0
2024-05-01,800002,63,585100.0
2024-05-01,800002,154,194750.0
2024-05-01,800002,26,16000.0
2024-05-01,800002,190,201500.0
2024-05-01,800002,161,2400.0
2024-05-01,800002,199,83300.0
2024-05-01,800002,187,942400.0
2024-05-01,800002,144,651300.0
2024-05-01,800002,221,4057800.0
2024-05-01,800002,22,600.0
2024-05-01,800002,223,19962.0
2024-05-01,800002,325,245200.0
2024-05-01,800002,109,156200.0
2024-05-01,800002,186,15420.0
2024-05-01,800002,122,1215880.0
2024-05-01,800002,107,173400.0
2024-05-01,800002,216,241450.0
2024-05-01,800002,44,8050250.0
2024-05-01,800002,224,439454.0
2024-05-01,800002,202,324095.0
2024-05-01,800002,79,3801360.0
2024-05-01,800003,79,32030.0
2024-05-01,800003,223,19390.0
2024-05-01,800003,26,200.0
2024-05-01,800003,67,1500.0
2024-05-01,800003,224,634.0
2024-05-01,800003,64,8700.0
2024-05-01,800003,109,500.0
2024-05-01,800003,221,48300.0
2024-05-01,800003,74,9500.0
2024-05-01,800003,187,4400.0
2024-05-01,800003,186,160.0
2024-05-01,800003,107,3000.0
2024-05-01,800003,44,5800.0
2024-05-01,800003,190,11450.0
2024-05-01,800003,325,300.0
2024-05-01,800003,63,4400.0
2024-05-01,800003,202,1093.0
2024-05-01,800003,20,1200.0
2024-05-01,800003,122,7290.0
2024-04-01,800001,79,2391210.0
2024-04-01,800001,44,3021500.0
2024-04-01,800001,202,245648.0
2024-04-01,800001,187,591800.0
2024-04-01,800001,22,100.0
2024-04-01,800001,64,5500.0
2024-04-01,800001,63,234400.0
2024-04-01,800001,67,900.0
2024-04-01,800001,109,103100.0
2024-04-01,800001,269,778200.0
2024-04-01,800001,190,96700.0
2024-04-01,800001,26,14400.0
2024-04-01,800001,74,20500.0
2024-04-01,800001,223,87213.0
2024-04-01,800001,186,5800.0
2024-04-01,800001,144,224500.0
2024-04-01,800001,161,900.0
2024-04-01,800001,199,82700.0
2024-04-01,800001,221,1286100.0
2024-04-01,800001,154,116900.0
2024-04-01,800001,107,96600.0
2024-04-01,800001,216,175500.0
2024-04-01,800001,122,508190.0
2024-04-01,800001,20,1200.0
2024-04-01,800001,224,291336.0
2024-04-01,800002,186,16040.0
2024-04-01,800002,216,269200.0
2024-04-01,800002,224,413882.0
2024-04-01,800002,154,204570.0
2024-04-01,800002,187,902000.0
2024-04-01,800002,109,168800.0
2024-04-01,800002,190,210250.0
2024-04-01,800002,63,349800.0
2024-04-01,800002,64,17900.0
2024-04-01,800002,20,4800.0
2024-04-01,800002,199,88000.0
2024-04-01,800002,161,4800.0
2024-04-01,800002,74,47200.0
2024-04-01,800002,26,22200.0
2024-04-01,800002,67,4200.0
2024-04-01,800002,202,325147.0
2024-04-01,800002,221,2796000.0
2024-04-01,800002,122,943260.0
2024-04-01,800002,223,18746.0
2024-04-01,800002,107,276900.0
2024-04-01,800002,44,3827350.0
2024-04-01,800002,269,1111000.0
2024-04-01,800002,144,578800.0
2024-04-01,800002,22,1000.0
2024-04-01,800002,79,3766030.0
2024-03-01,800001,154,130400.0
2024-03-01,800001,122,558520.0
2024-03-01,800001,79,2582350.0
2024-03-01,800001,203,300.0
2024-03-01,800001,216,277250.0
2024-03-01,800001,224,300829.0
2024-03-01,800001,109,104800.0
2024-03-01,800001,64,4200.0
2024-03-01,800001,187,664600.0
2024-03-01,800001,223,100949.0
2024-03-01,800001,144,183800.0
2024-03-01,800001,186,6080.0
2024-03-01,800001,199,72100.0
2024-03-01,800001,269,662400.0
2024-03-01,800001,251,4833400.0
2024-03-01,800001,26,23200.0
2024-03-01,800001,22,500.0
2024-03-01,800001,202,251673.0
2024-03-01,800001,107,130500.0
2024-03-01,800001,63,282400.0
2024-03-01,800001,161,2400.0
2024-03-01,800001,190,106800.0
2024-03-01,800001,20,1200.0
2024-03-01,800001,44,3143650.0
2024-03-01,800001,67,2700.0
2024-03-01,800001,74,12800.0
2024-03-01,800001,221,1287000.0
2024-03-01,800002,107,115500.0
2024-03-01,800002,216,371600.0
2024-03-01,800002,64,19000.0
2024-03-01,800002,74,41200.0
2024-03-01,800002,79,4015570.0
2024-03-01,800002,221,2439600.0
2024-03-01,800002,67,4200.0
2024-03-01,800002,190,224350.0
2024-03-01,800002,187,994000.0
2024-03-01,800002,22,500.0
2024-03-01,800002,161,4200.0
2024-03-01,800002,63,370700.0
2024-03-01,800002,251,8240900.0
2024-03-01,800002,44,4008500.0
2024-03-01,800002,203,4380.0
2024-03-01,800002,269,1078000.0
2024-03-01,800002,199,67700.0
2024-03-01,800002,154,204490.0
2024-03-01,800002,26,24400.0
2024-03-01,800002,223,28892.0
2024-03-01,800002,144,420200.0
2024-03-01,800002,224,448212.0
2024-03-01,800002,122,992970.0
2024-03-01,800002,186,17940.0
2024-03-01,800002,109,181300.0
2024-03-01,800002,20,3300.0
2024-03-01,800002,202,348080.0
2024-02-01,800001,224,325267.0
2024-02-01,800001,79,2374720.0
2024-02-01,800001,161,2900.0
2024-02-01,800001,74,32000.0
2024-02-01,800001,22,600.0
2024-02-01,800001,63,280700.0
2024-02-01,800001,26,21400.0
2024-02-01,800001,272,250500.0
2024-02-01,800001,261,700.0
2024-02-01,800001,109,111900.0
2024-02-01,800001,202,229769.0
2024-02-01,800001,199,54500.0
2024-02-01,800001,187,655800.0
2024-02-01,800001,122,552800.0
2024-02-01,800001,107,139200.0
2024-02-01,800001,20,900.0
2024-02-01,800001,67,3600.0
2024-02-01,800001,269,679800.0
2024-02-01,800001,221,1756500.0
2024-02-01,800001,223,125707.0
2024-02-01,800001,186,6320.0
2024-02-01,800001,144,229400.0
2024-02-01,800001,216,254300.0
2024-02-01,800001,154,150690.0
2024-02-01,800001,190,110150.0
2024-02-01,800001,64,9600.0
2024-02-01,800001,203,810.0
2024-02-01,800001,44,3056750.0
2024-02-01,800002,269,920200.0
2024-02-01,800002,221,2498100.0
2024-02-01,800002,186,18720.0
2024-02-01,800002,22,900.0
2024-02-01,800002,26,30000.0
2024-02-01,800002,64,19500.0
2024-02-01,800002,161,5300.0
2024-02-01,800002,202,323025.0
2024-02-01,800002,224,437672.0
2024-02-01,800002,261,900.0
2024-02-01,800002,107,140400.0
2024-02-01,800002,122,997500.0
2024-02-01,800002,44,3839600.0
2024-02-01,800002,223,24573.0
2024-02-01,800002,216,366800.0
2024-02-01,800002,144,487600.0
2024-02-01,800002,63,406600.0
2024-02-01,800002,190,235900.0
2024-02-01,800002,20,3300.0
2024-02-01,800002,199,103900.0
2024-02-01,800002,272,560700.0
2024-02-01,800002,187,930400.0
2024-02-01,800002,67,9300.0
2024-02-01,800002,79,3776960.0
2024-02-01,800002,74,59600.0
2024-02-01,800002,109,179000.0
2024-02-01,800002,154,225370.0
2024-02-01,800002,203,1750.0
2024-01-01,800001,79,2599270.0
2024-01-01,800001,74,19400.0
2024-01-01,800001,199,67700.0
2024-01-01,800001,26,14400.0
2024-01-01,800001,154,166750.0
2024-01-01,800001,224,402358.0
2024-01-01,800001,216,294850.0
2024-01-01,800001,221,2128200.0
2024-01-01,800001,67,3300.0
2024-01-01,800001,144,409100.0
2024-01-01,800001,122,579030.0
2024-01-01,800001,63,338400.0
2024-01-01,800001,190,145150.0
2024-01-01,800001,202,296538.0
2024-01-01,800001,64,15000.0
2024-01-01,800001,20,3300.0
2024-01-01,800001,109,120200.0
2024-01-01,800001,44,3291500.0
2024-01-01,800001,203,1230.0
2024-01-01,800001,107,176400.0
2024-01-01,800001,186,6940.0
2024-01-01,800001,261,69000.0
2024-01-01,800001,161,5400.0
2024-01-01,800001,22,700.0
2024-01-01,800001,187,700400.0
2024-01-01,800001,223,104608.0
2024-01-01,800001,269,759000.0
2024-01-01,800001,265,104800.0
2024-01-01,800002,221,4571400.0
2024-01-01,800002,202,418183.0
2024-01-01,800002,186,18220.0
2024-01-01,800002,187,1065400.0
2024-01-01,800002,144,470100.0
2024-01-01,800002,74,62700.0
2024-01-01,800002,22,700.0
2024-01-01,800002,269,1232600.0
2024-01-01,800002,67,8700.0
2024-01-01,800002,223,13892.0
2024-01-01,800002,26,27800.0
2024-01-01,800002,109,196900.0
2024-01-01,800002,190,288550.0
2024-01-01,800002,64,43200.0
2024-01-01,800002,261,156600.0
2024-01-01,800002,154,249940.0
2024-01-01,800002,20,3900.0
2024-01-01,800002,216,353700.0
2024-01-01,800002,122,1089130.0
2024-01-01,800002,265,179200.0
2024-01-01,800002,79,3963380.0
2024-01-01,800002,161,5400.0
2024-01-01,800002,203,3420.0
2024-01-01,800002,107,236700.0
2024-01-01,800002,63,506900.0
2024-01-01,800002,199,55400.0
2024-01-01,800002,224,514237.0
2024-01-01,800002,44,4142900.0
