month,channel,item_id,item_name,item_add,core_cost,item_cost,item_price
2024-06-01,800100,1-9130,连连看补给包I,196,727.13,196,10000.0
2024-06-01,800100,1-9125,航海补给包IV,2,137.27,2,65600.0
2024-06-01,800100,1-2102,红色衣服自选包,27,1294.1200000000001,22,500000.0
2024-06-01,800100,1-9173,自选礼包,1,834.16,1,1429600.0
2024-06-01,800100,1-8006,随机巨龙宝箱II,4,1410.56,4,1600000.0
2024-06-01,800100,1-1526,契约卡片,48366,222288.98,43660,5000.0
2024-06-01,800100,1-1543,天命乐章,362907809,1324918.1400000004,407435800,10.0
2024-06-01,800100,1-12045,白银领主龙,4,35659.81,4,6400000.0
2024-06-01,800100,1-1115,普通精钢,10010962,199725.53,8012832,60.0
2024-06-01,800100,1-2532,四元素巨龙自选包,262,310929.82999999996,216,1600000.0
2024-06-01,800100,1-1516,天命宝珠,128596632,1062406.21,181670450,20.0
2024-06-01,800100,1-2563,巨龙养成自选包,12335,37753.07,12640,10000.0
2024-06-01,800100,1-1120,高级才能符文,770115,362044.3499999999,579033,800.0
2024-06-01,800100,1-1556,美味便当,1942,10653.620000000003,1275,11200.0
2024-06-01,800100,1-1528,战宠卡池券,47218,178789.44,47948,6000.0
2024-06-01,800100,1-2525,资源自选包5,100099,384988.70999999996,69240,10000.0
2024-06-01,800100,1-1116,高级精钢,623879,772178.64,588258,3000.0
2024-06-01,800100,1-1123,猎龙精魂,5701345,100042.38999999998,5602820,55.99999999999999
2024-06-01,800100,1-1148,星霜结晶,239723504,0.0,90892390,0.0
2024-06-01,800100,1-1121,中级才能符文,569167,332689.8499999999,406915,800.0
2024-06-01,800100,1-1301,1小时历练值,16106,5609.2699999999995,14512,400.0
2024-06-01,800100,1-1136,精星沙,33799,57535.670000000006,24811,3000.0
2024-06-01,800100,1-2504,资源自选包2,8687,20713.370000000003,7444,10000.0
2024-06-01,800100,1-1401,1小时潜力水晶,4803,914.0899999999999,5051,600.0
2024-06-01,800100,1-9139,守护活力包|||,80,1187.75,80,20000.0
2024-06-01,800100,1-1304,24小时历练值,881,3377.8700000000003,1543,9600.0
2024-06-01,800100,1-2518,光系自选红装备（智力）,16,1544.15,16,500000.0
2024-06-01,800100,1-2569,高级笔记自选包2,4758,72627.69000000002,3423,24000.0
2024-06-01,800100,1-12014,双足飞龙-风,518,5816.739999999998,508,40000.0
2024-06-01,800100,1-1999,转服道具,2,37.45,2,65600.0
2024-06-01,800100,1-1574,龙血精华,282,4251.799999999998,390,9000.0
2024-06-01,800100,1-1138,私人信件,12048133,822082.1799999999,11005894,200.0
2024-06-01,800100,1-1572,大地之核,24142,11176.180000000006,21688,600.0
2024-06-01,800100,1-1603,极意竞技入场卷,17563,12236.889999999996,5377,2000.0
2024-06-01,800100,1-2304,自选装备（紫+）,27,1036.48,19,15000.0
2024-06-01,800100,1-2579,火三角碎片自选,29470,67541.64,20807,4000.0
2024-06-01,800100,1-12031,地岩龙,45,43938.12000000001,47,1600000.0
2024-06-01,800100,1-1610,魔力碎片,2214341,180658.05999999997,2079000,200.0
2024-06-01,800100,1-11065,圣之种,1040,6587.79,880,8000.0
2024-06-01,800100,1-9137,守护活力包|,976,0.0,976,0.0
2024-06-01,800100,1-2002,光暗SSR猎人自选包,16,8066.740000000001,13,400000.0
2024-06-01,800100,1-1137,初级才能符文,675650,188435.84000000005,234632,400.0
2024-06-01,800100,1-12025,光龙,32,1919.4499999999998,30,200000.0
2024-06-01,800100,1-12013,双足飞龙-火,512,6305.5,375,40000.0
2024-06-01,800100,1-2570,调和圣殿养成自选包,9788,69593.9,11926,10000.0
2024-06-01,800100,1-2001,四种族SSR猎人自选包,15,3885.07,13,200000.0
2024-06-01,800100,1-1560,心愿祈愿券,135796,389271.8499999999,144424,6000.0
2024-06-01,800100,1-1501,光暗特邀券,1669,17229.61,8674,10000.0
2024-06-01,800100,1-1619,情人节游戏币,199,1880.17,842,16000.0
2024-06-01,800100,1-9128,娃娃机补给包III,20,876.0200000000001,20,35600.0
2024-06-01,800100,1-1522,光明之羽,9443,12751.849999999999,4606,1600.0
2024-06-01,800100,1-2542,初级手册自选包,43,3489.229999999999,39,200000.0
2024-06-01,800100,1-2535,装备材料自选包,30294,72142.12999999999,25464,10000.0
2024-06-01,800100,1-9138,守护活力包||,221,796.1599999999999,221,7000.0
2024-06-01,800100,1-12043,火蜥领主龙,20,44084.67,23,3200000.0
2024-06-01,800100,1-12026,暗龙,22,1640.11,22,200000.0
2024-06-01,800100,1-2505,资源自选包3,106532,240549.8500000001,55298,10000.0
2024-06-01,800100,1-1118,星芒结晶,2386,51104.09999999999,2031,40000.0
2024-06-01,800100,1-1559,龙的心脏,18865,254864.96999999997,15245,20000.0
2024-06-01,800100,1-1552,银钥匙,2501,13786.919999999998,2359,16000.0
2024-06-01,800100,1-1600,无念之书,103418,35926.75,54495,1000.0
2024-06-01,800100,1-2530,资源自选包6,54485,186038.26,39686,10000.0
2024-06-01,800100,1-12032,冰霜龙,118,103964.87999999996,130,1600000.0
2024-06-01,800100,1-9140,守护活力包|V,44,1538.38,44,40000.0
2024-06-01,800100,1-11071,育成心得,214272383,1293917.9000000001,188145620,20.0
2024-06-01,800100,1-1571,海洋之泪,22177,11836.64000000001,20557,600.0
2024-06-01,800100,1-1525,招募应援券,26080,307962.3400000001,5632,30000.0
2024-06-01,800100,1-2101,红色武器自选包,70,10512.77,66,500000.0
2024-06-01,800100,1-1302,2小时历练值,44156,17099.32,85283,800.0
2024-06-01,800100,1-1125,高级强化石,659026,444194.64,601275,1200.0
2024-06-01,800100,1-1128,火元素宝石,379482,1250304.0600000003,385215,2000.0
2024-06-01,800100,1-1620,情人节鲜花,22525,29430.62,278086,2000.0
2024-06-01,800100,1-1510,使魔零食,306594314,653627.71,295136190,5.999999999999999
2024-06-01,800100,1-1585,春日券,11,6.949999999999999,14,4000.0
2024-06-01,800100,1-1551,金钥匙,203,2892.3700000000013,210,60000.0
2024-06-01,800100,1-1561,闪亮之星祈愿券,142608,488069.75000000006,152164,6000.0
2024-06-01,800100,1-1404,24小时潜力水晶,15954,102218.36000000002,17405,14400.0
2024-06-01,800100,1-8001,四元素羽毛宝箱,815205,235795.12000000002,731752,800.0
