month,channel,item_id,item_name,item_add,core_cost
2024-06-01,800100,3-15406,孔明碎片,71973,263209.8300000001
2024-06-01,800100,2-1030805,白金护腕,37,351.74999999999994
2024-06-01,800100,3-4601,司马懿碎片,11500,19060.459999999995
2024-06-01,800100,5-409,集中徽章,3303,23278.509999999995
2024-06-01,800100,2-1030706,黄金护腕,230,2285.7000000000003
2024-06-01,800100,2-3010900,秘银法杖,58,7710.000000000002
2024-06-01,800100,2-2030904,秘银指环,38,14293.42
2024-06-01,800100,2-2010400,灵动匕首,13273,24959.249999999993
2024-06-01,800100,2-2040802,白金皮靴,27,627.5
2024-06-01,800100,2-3010601,白银法杖,704,3290.91
2024-06-01,800100,2-3030704,黄金项链,208,1751.9499999999996
2024-06-01,800100,2-3010400,精力法杖,13494,24488.08
2024-06-01,800100,2-3020506,寒铁长袍,1653,4720.41
2024-06-01,800100,2-1030604,白银护腕,734,3383.1800000000003
2024-06-01,800100,2-3010701,黄金法杖,208,1522.8100000000002
2024-06-01,800100,2-2040801,白金皮靴,42,646.66
2024-06-01,800100,3-4103,德川家康碎片,59400,51364.990000000005
2024-06-01,800100,2-2020802,白金外套,49,698.6199999999999
2024-06-01,800100,2-2030701,黄金指环,234,1873.3299999999997
2024-06-01,800100,2-2030806,白金指环,41,394.27
2024-06-01,800100,2-1020401,金刚铠甲,3445,6744.989999999999
2024-06-01,800100,2-1040900,秘银战靴,62,15322.15
2024-06-01,800100,3-14110,汉尼拔天命碎片,41507,66323.45999999999
2024-06-01,800100,3-14601,司马懿天命碎片,32,88.46
2024-06-01,800100,2-3010405,精力法杖,3377,6498.420000000001
2024-06-01,800100,5-609,集中徽章,175,40377.25
2024-06-01,800100,2-2040706,黄金皮靴,201,1377.37
2024-06-01,800100,2-9041000,振金鞋子,144,60903.77
2024-06-01,800100,3-15407,凯撒碎片,11292,26078.500000000004
2024-06-01,800100,2-1020701,黄金铠甲,209,1636.5299999999997
2024-06-01,800100,5-606,生命徽章,207,47747.13999999999
2024-06-01,800100,2-2030703,黄金指环,232,1884.57
2024-06-01,800100,2-1020702,黄金铠甲,231,1728.91
2024-06-01,800100,2-2010601,白银匕首,685,3233.01
2024-06-01,800100,3-15101,克利奥帕特拉碎片,4181,6140.680000000001
2024-06-01,800100,2-2010604,白银匕首,725,3040.1300000000006
2024-06-01,800100,2-2020600,白银外套,2918,13730.369999999999
2024-06-01,800100,2-2040605,白银皮靴,714,2904.48
2024-06-01,800100,2-1010604,白银战斧,701,3472.03
2024-06-01,800100,2-3010801,白金法杖,37,398.79
2024-06-01,800100,2-2030600,白银指环,2946,13634.900000000005
2024-06-01,800100,3-14309,本多忠胜天命碎片,16793,28165.52
2024-06-01,800100,2-3030602,白银项链,700,3590.25
2024-06-01,800100,3-15204,柏拉图碎片,778,857.42
2024-06-01,800100,2-1030406,金刚护腕,3331,6119.320000000001
2024-06-01,800100,2-1010701,黄金战锤,229,1810.8899999999999
2024-06-01,800100,2-3030603,白银项链,739,3428.6
2024-06-01,800100,2-3010906,秘银法杖,32,10171.500000000002
2024-06-01,800100,5-406,生命徽章,3373,25739.389999999992
2024-06-01,800100,5-604,勇气徽章,353,59856.74
2024-06-01,800100,2-3030404,精力项链,3324,5953.35
2024-06-01,800100,2-1020801,白金铠甲,41,462.74999999999994
2024-06-01,800100,2-2020401,灵动外套,3389,6482.199999999999
2024-06-01,800100,2-3020504,寒铁长袍,1632,4364.9400000000005
2024-06-01,800100,2-2040405,灵动皮靴,3298,6475.530000000001
2024-06-01,800100,2-2030901,秘银指环,26,11329.609999999999
2024-06-01,800100,3-14405,黄忠天命碎片,45719,92903.14
2024-06-01,800100,2-2010504,寒铁匕首,1608,4405.18
2024-06-01,800100,2-3030703,黄金项链,218,1579.31
2024-06-01,800100,2-3030903,秘银项链,30,6827.47
2024-06-01,800100,3-3402,安徒生碎片,1105900,212755.33
2024-06-01,800100,2-2030402,灵动指环,3373,6363.9800000000005
2024-06-01,800100,2-1040603,白银战靴,685,3993.0099999999993
2024-06-01,800100,2-3020701,黄金长袍,232,2083.75
2024-06-01,800100,2-2040500,寒铁长靴,6397,17454.04
2024-06-01,800100,3-15202,丹羽长秀碎片,37379,64468.590000000004
2024-06-01,800100,2-3030606,白银项链,779,3181.689999999999
2024-06-01,800100,2-2010602,白银匕首,724,3396.2200000000007
2024-06-01,800100,3-15311,今川义元碎片,87592,516268.2300000001
2024-06-01,800100,2-2040504,寒铁长靴,1662,4833.560000000001
2024-06-01,800100,2-1040404,金刚皮靴,3411,5964.3
2024-06-01,800100,2-3040601,白银长靴,710,3079.3700000000003
2024-06-01,800100,2-2020402,灵动外套,3333,6776.399999999999
2024-06-01,800100,5-306,生命徽章,38487,164316.95999999996
2024-06-01,800100,2-1040606,白银战靴,675,2698.57
2024-06-01,800100,2-3040402,精力布靴,3294,6390.089999999999
2024-06-01,800100,2-3020903,秘银长袍,27,4935.500000000001
2024-06-01,800100,2-3020405,精力长袍,3304,6152.84
2024-06-01,800100,2-2010406,灵动匕首,3385,6419.99
2024-06-01,800100,2-2040602,白银皮靴,738,3187.04
2024-06-01,800100,2-3030904,秘银项链,23,2481.0000000000005
2024-06-01,800100,2-1040501,寒铁皮靴,1630,4640.410000000001
2024-06-01,800100,2-3010500,寒铁法杖,6415,17394.629999999997
2024-06-01,800100,3-4301,源义经碎片,38400,25457.53
2024-06-01,800100,2-2020803,白金外套,30,549.9900000000001
2024-06-01,800100,2-30402,元素布靴,27576,15831.450000000006
2024-06-01,800100,2-3030600,白银项链,2840,13470.589999999997
2024-06-01,800100,5-410,灵动徽章,3215,22318.36
2024-06-01,800100,2-2020601,白银外套,673,3295.580000000001
2024-06-01,800100,3-4404,华佗碎片,63200,98245.18
2024-06-01,800100,2-2030706,黄金指环,233,2181.28
2024-06-01,800100,2-2040402,灵动皮靴,3414,6000.220000000001
2024-06-01,800100,2-2010706,黄金匕首,234,1560.88
2024-06-01,800100,3-3301,孙尚香碎片,1133400,221036.14
2024-06-01,800100,2-2020605,白银外套,714,3162.0599999999995
2024-06-01,800100,3-4102,雨果碎片,51200,59571.99000000002
2024-06-01,800100,5-506,生命徽章,496,5393.870000000001
2024-06-01,800100,3-4407,武藏坊弁庆碎片,40900,32205.110000000004
2024-06-01,800100,3-4504,瑞吉蕾芙碎片,13600,177041.49999999997
2024-06-01,800100,2-2030506,寒铁指环,1583,3985.9700000000003
2024-06-01,800100,3-14507,[圣诞]伊织萌天命碎片,19324,251215.34999999992
2024-06-01,800100,5-610,灵动徽章,165,39570.7
2024-06-01,800100,2-2010501,寒铁匕首,1592,4793.25
2024-06-01,800100,2-1030500,寒铁护腕,6507,17864.52
2024-06-01,800100,2-2030602,白银指环,734,3312.25
2024-06-01,800100,2-3030505,寒铁项链,1604,4625.12
2024-06-01,800100,2-1040802,白金战靴,41,499.30999999999995
2024-06-01,800100,2-3010506,寒铁法杖,1633,4843.7
2024-06-01,800100,2-1010603,白银战斧,751,3390.79
2024-06-01,800100,3-15205,美狄亚碎片,24175,49104.88
