month,channel,item_id,item_name,item_add,core_cost,item_cost,item_price
2024-05-01,800301,1-12032,冰霜龙,1,20.37,1,80000.0
2024-05-01,800301,1-2504,资源自选包2,197,681.18,135,500.0
2024-05-01,800301,1-1304,24小时历练值,58,127.3,42,480.0
2024-05-01,800301,1-11061,岩之种,120,53.89,160,200.0
2024-05-01,800301,1-1129,风元素宝石,4034,2269.34,4120,100.0
2024-05-01,800301,1-1571,海洋之泪,216,79.39,466,30.0
2024-05-01,800301,1-9130,连连看补给包I,10,32.69,10,500.0
2024-05-01,800301,1-1128,火元素宝石,4265,3057.2400000000002,4135,100.0
2024-05-01,800301,1-1403,6小时潜力水晶,3164,3336.77,3438,180.0
2024-05-01,800301,1-12023,火龙,21,922.16,19,10000.0
2024-05-01,800301,1-1511,龙眼石,625576,4703.100000000001,685000,1.0
2024-05-01,800301,1-1203,6小时塔拉币,1397,355.11000000000007,903,30.0
2024-05-01,800301,1-1520,火焰之羽,620,281.16999999999996,95,40.0
2024-05-01,800301,1-8001,四元素羽毛宝箱,2900,946.1099999999998,2420,40.0
2024-05-01,800301,1-1135,星沙,120603,3666.0299999999997,65934,3.0
2024-05-01,800301,1-12024,风龙,14,1133.6799999999998,18,10000.0
2024-05-01,800301,1-1404,24小时潜力水晶,448,2589.37,407,720.0
2024-05-01,800301,1-2510,专属装备养成自选包,58,349.98,44,500.0
2024-05-01,800301,1-2567,相遇招募自选包2,37,377.67,38,1000.0
2024-05-01,800301,1-9139,守护活力包|||,6,107.24,6,1000.0
2024-05-01,800301,1-12033,红炎龙,5,5168.24,6,80000.0
2024-05-01,800301,1-12013,双足飞龙-火,10,122.17,10,2000.0
2024-05-01,800301,1-2104,红色鞋子自选包,2,520.5999999999999,1,25000.0
2024-05-01,800301,1-1515,天命圣水,11528115,15412.289999999997,6868560,0.3
2024-05-01,800301,1-1116,高级精钢,9637,9964.73,9867,150.0
2024-05-01,800301,1-1575,还魂人偶,17,35.57,2,300.0
2024-05-01,800301,1-1137,初级才能符文,32382,7595.890000000002,5957,20.0
2024-05-01,800301,1-12034,凤羽龙,2,86.12,3,80000.0
