month,channel,item_id,item_name,item_add,core_cost
2024-06-01,800301,2-2010801,白金匕首,1,1.31
2024-06-01,800301,5-506,生命徽章,13,214.41
2024-06-01,800301,5-409,集中徽章,60,818.6300000000001
2024-06-01,800301,2-2010605,白银匕首,14,197.44
2024-06-01,800301,5-407,狂气徽章,66,559.46
2024-06-01,800301,2-3010502,寒铁法杖,32,46.019999999999996
2024-06-01,800301,2-30402,元素布靴,619,474.9
2024-06-01,800301,2-3020503,寒铁长袍,25,81.35000000000001
2024-06-01,800301,2-3010703,黄金法杖,6,61.86
2024-06-01,800301,2-1040705,黄金战靴,5,79.10000000000001
2024-06-01,800301,2-3030401,精力项链,68,195.22
2024-06-01,800301,3-5102,海格力斯SSR碎片,3100,5672.45
2024-06-01,800301,3-9998,四元素万能碎片,4200,5359.380000000001
2024-06-01,800301,2-1040504,寒铁皮靴,31,126.96
2024-06-01,800301,2-1030503,寒铁护腕,37,62.51999999999998
2024-06-01,800301,3-4213,叶卡捷琳娜碎片,2500,3244.1800000000003
2024-06-01,800301,2-2010704,黄金匕首,5,148.09
2024-06-01,800301,2-3030501,寒铁项链,26,106.24000000000001
2024-06-01,800301,3-1550101,亚瑟元素体碎片,100,69.87
2024-06-01,800301,2-3030803,白金项链,1,5.58
2024-06-01,800301,2-2010404,灵动匕首,71,168.13000000000002
2024-06-01,800301,3-4201,柳生十兵卫碎片,1400,1962.0699999999997
2024-06-01,800301,2-3020505,寒铁长袍,33,72.99000000000002
2024-06-01,800301,2-2030600,白银指环,71,455.79
2024-06-01,800301,2-1040403,金刚皮靴,65,247.81
2024-06-01,800301,2-3040706,黄金长靴,5,55.0
2024-06-01,800301,5-306,生命徽章,861,4738.01
2024-06-01,800301,2-2010700,黄金匕首,18,226.26999999999998
2024-06-01,800301,2-2030400,灵动指环,258,635.77
2024-06-01,800301,2-2030501,寒铁指环,28,38.019999999999996
2024-06-01,800301,2-2020501,寒铁外套,29,49.040000000000006
2024-06-01,800301,2-3040605,白银长靴,15,199.40000000000003
2024-06-01,800301,3-4307,米开朗基罗碎片,2800,3345.390000000001
2024-06-01,800301,3-15404,查理曼碎片,1,0.74
2024-06-01,800301,2-1010606,白银战斧,20,139.82
2024-06-01,800301,2-2010904,秘银匕首,2,3991.46
2024-06-01,800301,2-1010403,金刚战锤,77,137.47000000000003
2024-06-01,800301,2-1040400,金刚皮靴,251,621.9799999999999
2024-06-01,800301,3-3301,孙尚香碎片,43900,13614.000000000002
