month,channel,reason,core_cost
2024-06-01,800301,251,54600.0
2024-06-01,800301,190,1750.0
2024-06-01,800301,79,32720.0
2024-06-01,800301,216,3900.0
2024-06-01,800301,224,800.0
2024-06-01,800301,44,2800.0
2024-06-01,800301,187,1800.0
2024-06-01,800301,64,400.0
2024-06-01,800301,144,900.0
2024-06-01,800301,154,930.0
2024-06-01,800301,186,60.0
2024-06-01,800301,221,1200.0
2024-06-01,800301,63,1900.0
2024-06-01,800301,202,7659.0
2024-06-01,800301,122,740.0
2024-06-01,800303,44,99450.0
2024-06-01,800303,79,74290.0
2024-06-01,800303,144,3600.0
2024-06-01,800303,122,11220.0
2024-06-01,800303,251,141900.0
2024-06-01,800303,161,100.0
2024-06-01,800303,64,200.0
2024-06-01,800303,216,8400.0
2024-06-01,800303,67,900.0
2024-06-01,800303,22,100.0
2024-06-01,800303,63,11000.0
2024-06-01,800303,154,3370.0
2024-06-01,800303,186,520.0
2024-06-01,800303,74,400.0
2024-06-01,800303,107,3000.0
2024-06-01,800303,190,7350.0
2024-06-01,800303,187,25400.0
2024-06-01,800303,202,16064.0
2024-06-01,800303,109,15700.0
2024-06-01,800303,221,58500.0
2024-06-01,800304,20,1500.0
2024-06-01,800304,224,106490.0
2024-06-01,800304,251,2520300.0
2024-06-01,800304,186,6840.0
2024-06-01,800304,202,270833.0
2024-06-01,800304,107,164100.0
2024-06-01,800304,199,5300.0
2024-06-01,800304,144,345800.0
2024-06-01,800304,63,225200.0
2024-06-01,800304,223,14247.0
2024-06-01,800304,109,65400.0
2024-06-01,800304,26,3200.0
2024-06-01,800304,44,760000.0
2024-06-01,800304,67,17100.0
2024-06-01,800304,190,162500.0
2024-06-01,800304,161,800.0
2024-06-01,800304,22,300.0
2024-06-01,800304,221,474600.0
2024-06-01,800304,187,640600.0
2024-06-01,800304,64,21100.0
2024-06-01,800304,79,1786170.0
2024-06-01,800304,122,435570.0
2024-06-01,800304,216,198950.0
2024-06-01,800304,74,21800.0
2024-06-01,800304,154,71960.0
2024-06-01,800306,223,44774.0
