month,channel,item_id,item_name,item_add,core_cost,item_cost,item_price
2024-06-01,800200,1-1552,银钥匙,1643,6530.01,1683,400.0
2024-06-01,800200,1-12014,双足飞龙-风,602,6695.899999999999,570,1000.0
2024-06-01,800200,1-2572,招募自选箱,28300,57209.86999999996,16175,150.0
2024-06-01,800200,1-1515,天命圣水,755853900,2070395.959999999,795324670,0.15
2024-06-01,800200,1-11051,龙颈之玉,188945,98830.18000000002,181594,50.0
2024-06-01,800200,1-1527,光暗招募应援券,21039,321695.0500000001,3453,1250.0
2024-06-01,800200,1-2574,六元素领主龙自选包,11,36582.979999999996,7,160000.0
2024-06-01,800200,1-1119,概率UP招募券,25538,71345.05999999998,23278,150.0
2024-06-01,800200,1-1523,黑暗之羽,3300,418.02,4060,40.0
2024-06-01,800200,1-1121,中级才能符文,836570,497567.0000000002,648796,20.0
2024-06-01,800200,1-9168,王者决胜战礼包III,160,6425.26,160,1500.0
2024-06-01,800200,1-2567,相遇招募自选包2,2553,24054.88,3851,500.0
2024-06-01,800200,1-9167,王者决胜战礼包II,10,462.24,10,1250.0
2024-06-01,800200,1-1115,普通精钢,15601049,269785.30999999994,12871485,1.5
2024-06-01,800200,1-16023,情人节纪念（孔明）,570,67041.17999999998,,3200.0
2024-06-01,800200,1-12033,红炎龙,156,135428.91999999998,155,40000.0
2024-06-01,800200,1-1520,火焰之羽,518336,343538.8399999999,661485,20.0
2024-06-01,800200,1-16014,情人节纪念（荆轲）,149,19537.570000000003,,3200.0
2024-06-01,800200,1-11071,育成心得,282405743,1453649.8599999999,236905060,0.5
2024-06-01,800200,1-1599,静心之书,343371,36866.40999999999,273456,10.0
2024-06-01,800200,1-1594,2023防晒乳,1250,0.0,,4.0
2024-06-01,800200,1-9163,王者争夺战礼包II,8,170.85999999999999,8,500.0
2024-06-01,800200,1-12024,风龙,1565,69754.35,1423,5000.0
2024-06-01,800200,1-1127,水元素宝石,100404,39011.59,99845,50.0
2024-06-01,800200,1-12012,双足飞龙-水,588,6697.37,536,1000.0
2024-06-01,800200,1-16004,情人节纪念（美杜莎）,71,11566.73,,3200.0
2024-06-01,800200,1-1613,跳跳大闯关入场券,8,62.93,3,400.0
2024-06-01,800200,1-12034,凤羽龙,217,95042.36,208,40000.0
2024-06-01,800200,1-1114,元素招募券,12218,59159.67,8212,270.0
2024-06-01,800200,1-2518,光系自选红装备（智力）,23,6381.860000000001,17,12500.0
2024-06-01,800200,1-2001,四种族SSR猎人自选包,23,6531.009999999999,17,5000.0
2024-06-01,800200,1-2507,资源自选包,15502,48100.65000000001,15974,275.0
2024-06-01,800200,1-2520,暗系自选红装备（敏捷）,4,224.54,7,12500.0
2024-06-01,800200,1-2546,地系自选红装备（力量）,2,31.220000000000002,1,12500.0
2024-06-01,800200,1-9165,王者争夺战礼包IV,70,6989.289999999999,70,2250.0
2024-06-01,800200,1-9133,连连看补给包IV,2,348.89,2,1640.0
2024-06-01,800200,1-1616,2023圣诞节游戏币,59,1036.1999999999998,325,400.0
2024-06-01,800200,1-1147,限定招募券,160,1221.69,160,150.0
2024-06-01,800200,1-2104,红色鞋子自选包,85,8995.81,60,12500.0
2024-06-01,800200,1-16002,情人节纪念（克里奥佩特拉）,1,10.18,,3200.0
2024-06-01,800200,1-2525,资源自选包5,140216,360777.51,96889,250.0
2024-06-01,800200,1-2517,光系自选红装备（敏捷）,4,2144.14,4,12500.0
2024-06-01,800200,1-1204,24小时塔拉币,247760,250939.55999999994,205153,60.0
2024-06-01,800200,1-2533,六元素巨龙自选包,113,259169.08,93,80000.0
