month,channel,money,core_gain,core_cost,corecost_once,corecost_forever,corecost_play
2024-06-01,800200,1936126,87782076,101282748,67639710.76,27108335.269999996,6534223
2024-06-01,800205,1026018,56521272,64980942,43017083.46,17744455.000000007,4219401
2024-05-01,800200,1601364,95563087,74597960,43428739.05000001,24581482.330000002,6587600
2024-05-01,800205,940052,59241288,46064200,26508304.01000001,15025897.56,4527992
2024-04-01,800200,1870082,88435430,85719854,49194721.290000014,29292150.809999995,7223928
2024-04-01,800205,1157628,54553319,53833829,30604580.880000003,18504600.720000003,4723335
2024-03-01,800200,2357080,102051050,136272420,85343944.57,42617224.19000001,8308031
2024-03-01,800205,1470314,65033678,83897067,52116351.66,26531345.519999996,5245851
2024-02-01,800200,2012511,132533117,105193408,48449024.359999985,39749565.74,16992863
2024-02-01,800205,1187977,82072468,67540011,32576354.550000004,26136998.230000008,8826534
2024-01-01,800200,1865721,112315674,89137688,47830519.48999999,32612062.159999996,8694128
2024-01-01,800205,1088112,71989610,57727528,30678794.920000006,21459633.959999997,5589092
