month,channel,item_id,item_name,item_add,core_cost
2024-06-01,800200,2-3040803,白金长靴,46,905.39
2024-06-01,800200,2-2020700,黄金外套,1107,8027.649999999999
2024-06-01,800200,2-3040704,黄金长靴,307,2107.6799999999994
2024-06-01,800200,5-510,灵动徽章,719,7613.41
2024-06-01,800200,2-2040804,白金皮靴,51,637.41
2024-06-01,800200,2-1010905,秘银战锤,94,25391.899999999998
2024-06-01,800200,2-1030706,黄金护腕,283,1561.7
2024-06-01,800200,2-2040803,白金皮靴,51,376.3999999999999
2024-06-01,800200,2-1020902,秘银铠甲,52,15616.360000000002
2024-06-01,800200,2-2030505,寒铁指环,1944,5334.53
2024-06-01,800200,2-1020503,寒铁铠甲,2004,4945.4800000000005
2024-06-01,800200,2-8011000,瑟银武器,497,116701.37999999999
2024-06-01,800200,3-14410,竹中半兵卫天命碎片,1377,3235.0499999999997
2024-06-01,800200,2-2010706,黄金匕首,287,1789.74
2024-06-01,800200,2-1030606,白银护腕,938,3820.0099999999998
2024-06-01,800200,2-3040905,秘银长靴,39,8444.699999999999
2024-06-01,800200,2-2030805,白金指环,52,483.28000000000003
2024-06-01,800200,2-3010503,寒铁法杖,2047,4510.17
2024-06-01,800200,2-3010402,精力法杖,4136,6638.24
2024-06-01,800200,2-3010902,秘银法杖,25,9754.96
2024-06-01,800200,2-2030803,白金指环,54,880.4200000000001
2024-06-01,800200,2-3010803,白金法杖,51,605.32
2024-06-01,800200,2-1020901,秘银铠甲,46,15472.929999999997
2024-06-01,800200,2-2010904,秘银匕首,30,14897.130000000003
2024-06-01,800200,2-2010705,黄金匕首,283,2007.9099999999999
2024-06-01,800200,2-1020705,黄金铠甲,293,2312.0199999999995
2024-06-01,800200,2-3040406,精力布靴,4082,7281.2
2024-06-01,800200,2-1020704,黄金铠甲,290,1836.2799999999997
2024-06-01,800200,2-3020505,寒铁长袍,2093,5642.41
2024-06-01,800200,2-1010505,寒铁战斧,2052,5074.76
2024-06-01,800200,3-15208,伊西丝碎片,29875,49569.56000000001
2024-06-01,800200,2-2020502,寒铁外套,2049,5240.25
2024-06-01,800200,2-3040602,白银长靴,963,3881.47
2024-06-01,800200,2-1020406,金刚铠甲,4145,7037.800000000001
2024-06-01,800200,3-14304,出云阿国天命碎片,147966,386489.91999999987
2024-06-01,800200,2-2010806,白金匕首,62,831.3700000000001
2024-06-01,800200,3-4404,华佗碎片,66600,80065.59999999999
2024-06-01,800200,2-20201,初心者外套,35589,5978.370000000001
2024-06-01,800200,2-2020405,灵动外套,4287,7528.389999999998
2024-06-01,800200,3-4503,索尔碎片,34400,51527.28999999999
2024-06-01,800200,2-1020603,白银铠甲,886,3153.66
2024-06-01,800200,2-1040706,黄金战靴,253,1673.6000000000004
2024-06-01,800200,2-3010600,白银法杖,3738,16720.54
2024-06-01,800200,2-3030806,白金项链,53,772.42
2024-06-01,800200,2-1010502,寒铁战斧,2041,5326.280000000001
2024-06-01,800200,2-2030801,白金指环,47,265.61
2024-06-01,800200,2-3020903,秘银长袍,32,6353.530000000001
