month,channel,reason,core_cost
2024-06-01,800200,107,69300.0
2024-06-01,800200,269,314000.0
2024-06-01,800200,221,583800.0
2024-06-01,800200,154,82970.0
2024-06-01,800200,144,52800.0
2024-06-01,800200,64,4900.0
2024-06-01,800200,109,75100.0
2024-06-01,800200,187,163000.0
2024-06-01,800200,186,8800.0
2024-06-01,800200,224,81514.0
2024-06-01,800200,223,13306.0
2024-06-01,800200,122,215490.0
2024-06-01,800200,22,100.0
2024-06-01,800200,26,2000.0
2024-06-01,800200,216,182200.0
2024-06-01,800200,272,271500.0
2024-06-01,800200,67,3300.0
2024-06-01,800200,161,800.0
2024-06-01,800200,74,3300.0
2024-06-01,800200,203,3120.0
2024-06-01,800200,79,949980.0
2024-06-01,800200,190,49750.0
2024-06-01,800200,202,91993.0
2024-06-01,800200,44,3151900.0
2024-06-01,800200,63,142200.0
2024-06-01,800200,199,17100.0
2024-06-01,800205,64,700.0
2024-06-01,800205,190,29050.0
2024-06-01,800205,122,137140.0
2024-06-01,800205,67,1500.0
2024-06-01,800205,154,38910.0
2024-06-01,800205,44,1946400.0
2024-06-01,800205,202,82709.0
2024-06-01,800205,199,2100.0
2024-06-01,800205,269,61800.0
2024-06-01,800205,223,3100.0
2024-06-01,800205,144,30400.0
2024-06-01,800205,203,30.0
2024-06-01,800205,26,400.0
2024-06-01,800205,186,3360.0
2024-06-01,800205,224,56242.0
2024-06-01,800205,161,1200.0
2024-06-01,800205,20,300.0
2024-06-01,800205,74,5200.0
2024-06-01,800205,216,106800.0
2024-06-01,800205,107,72000.0
2024-06-01,800205,272,85300.0
2024-06-01,800205,221,605700.0
2024-06-01,800205,109,40000.0
2024-06-01,800205,63,138000.0
2024-06-01,800205,79,666460.0
2024-06-01,800205,187,104600.0
2024-05-01,800200,64,6600.0
2024-05-01,800200,223,14458.0
2024-05-01,800200,269,196000.0
2024-05-01,800200,216,176600.0
2024-05-01,800200,221,634800.0
2024-05-01,800200,202,100388.0
2024-05-01,800200,161,500.0
2024-05-01,800200,79,1030900.0
2024-05-01,800200,186,9140.0
2024-05-01,800200,22,100.0
2024-05-01,800200,63,175400.0
2024-05-01,800200,224,94864.0
