"part_date","date","month","payment_itemid","payment_cate","payment_name","dau","pay_dau","pay_user","pay_count","pay_user_first","dau_cate","pay_dau_cate","pay_user_cate","pay_count_cate","pay_user_first_cate"
"2024-12-13",2024-12-13,2024-12-01,gold_378,神魔之乱,神魔-绘马礼包3,2338,126,5,13,3,2338,126,20,119,13
"2024-12-01",2024-12-01,2024-12-01,gold_50005,周期-日礼包,每日礼包-new-金币5,2393,148,1,1,0,2393,148,3,3,1
"2024-12-01",2024-12-01,2024-12-01,gold_50001,周期-日礼包,每日礼包-new-金币1,2393,148,1,1,1,,,,,
"2024-10-20",2024-10-20,2024-10-01,gold_230,幸运屋,S32金森长近SSR+,2470,146,2,2,0,2470,146,13,13,4
"2024-10-20",2024-10-20,2024-10-01,gold_189,幸运屋,新-前田利家SSR+（力）,2470,146,1,1,0,,,,,
"2025-03-15",2025-03-15,2025-03-01,gold_80001,battlepass,段位battlepass,2323,110,1,1,0,2323,110,2,2,1
"2024-10-20",2024-10-20,2024-10-01,gold_231,幸运屋,S33前田美津SSR+,2470,146,2,2,0,,,,,
"2024-10-20",2024-10-20,2024-10-01,gold_229,幸运屋,S31三之丸殿SSR+,2470,146,1,1,0,,,,,
"2024-11-09",2024-11-09,2024-11-01,gold_50047,周期-周礼包,周礼包-23,2459,162,2,5,1,2459,162,9,19,5
"2024-11-09",2024-11-09,2024-11-01,gold_50034,周期-周礼包,周礼包-10,2459,162,2,3,1,,,,,
"2025-03-08",2025-03-08,2025-03-01,gold_7,金币,"4.99-300金币",2300,121,4,5,2,2300,121,12,21,8
"2024-10-20",2024-10-20,2024-10-01,gold_215,幸运屋,S18山中鹿介SSR+,2470,146,3,3,1,,,,,
"2024-12-13",2024-12-13,2024-12-01,gold_376,神魔之乱,神魔-绘马礼包1,2338,126,17,79,10,,,,,
"2024-10-20",2024-10-20,2024-10-01,gold_208,幸运屋,S11锅岛直茂SSR+,2470,146,1,1,1,,,,,
"2025-03-15",2025-03-15,2025-03-01,gold_401,battlepass,晋级征途,2323,110,1,1,1,,,,,
"2025-03-08",2025-03-08,2025-03-01,gold_8,金币,"0.99-30金币",2300,121,6,13,5,,,,,
"2024-11-09",2024-11-09,2024-11-01,gold_50046,周期-周礼包,周礼包-22,2459,162,5,11,3,,,,,
"2025-03-08",2025-03-08,2025-03-01,gold_2,金币,"9.99-600金币",2300,121,2,2,0,,,,,
"2024-09-10",2024-09-10,2024-09-01,gold_90003,月度活动,月度活跃-battlepass高级,2449,142,5,5,2,2449,142,8,9,6
"2024-10-20",2024-10-20,2024-10-01,gold_176,幸运屋,新-柴田胜家SSR,2470,146,1,1,1,,,,,
"2025-01-03",2025-01-03,2025-01-01,gold_411,赛季UR养成通行证,赛季UR养成星级battlepass99.99-6600金币,2360,181,1,1,1,2360,181,1,1,1
"2024-10-20",2024-10-20,2024-10-01,gold_217,幸运屋,S20朝日姬SSR+,2470,146,2,2,1,,,,,
"2024-12-01",2024-12-01,2024-12-01,gold_50004,周期-日礼包,每日礼包-new-金币4,2393,148,1,1,0,,,,,
"2025-03-05",2025-03-05,2025-03-01,gold_50001,周期-日礼包,每日礼包-new-金币1,2236,132,1,1,0,2236,132,1,1,0
"2024-09-10",2024-09-10,2024-09-01,gold_90002,月度活动,月度活跃-battlepass中级,2449,142,4,4,4,,,,,
"2024-12-13",2024-12-13,2024-12-01,gold_377,神魔之乱,神魔-绘马礼包2,2338,126,8,27,0,,,,,
"2025-03-08",2025-03-08,2025-03-01,gold_3,金币,"19.99-1200金币",2300,121,1,1,1,,,,,
"2025-04-22",2025-04-22,2025-04-01,gold_80006,月卡,"9.99-2025资源月卡",2184,93,5,5,2,2184,93,23,30,20
"2024-08-10",2024-08-10,2024-08-01,gold_448,赛季征战活动,赛季整合礼包19.99-1200金币-2,2564,170,1,1,0,2564,170,1,1,0
"2025-03-23",2025-03-23,2025-03-01,gold_40002,每日一键,一键购买日礼包-2,2262,110,4,4,2,2262,110,35,36,26
"2025-04-22",2025-04-22,2025-04-01,gold_80004,月卡,"19.99-2025尊贵月卡",2184,93,15,15,9,,,,,
"2025-03-23",2025-03-23,2025-03-01,gold_40004,每日一键,一键购买,2262,110,26,26,20,,,,,
"2024-08-29",2024-08-29,2024-08-01,gold_50004,周期-日礼包,每日礼包-new-金币4,2451,140,2,2,1,2451,140,6,6,3
"2024-08-29",2024-08-29,2024-08-01,gold_50003,周期-日礼包,每日礼包-new-金币3,2451,140,1,1,1,,,,,
"2024-10-21",2024-10-21,2024-10-01,gold_402,battlepass-周年庆,四周年通行证,2442,152,3,3,1,2442,152,3,3,1
"2024-08-29",2024-08-29,2024-08-01,gold_50009,周期-日礼包,每日礼包-神器4,2451,140,1,1,0,,,,,
"2025-03-23",2025-03-23,2025-03-01,gold_40003,每日一键,一键购买日礼包-3,2262,110,1,1,0,,,,,
"2025-03-23",2025-03-23,2025-03-01,gold_40001,每日一键,一键购买日礼包-1,2262,110,5,5,4,,,,,
"2025-04-22",2025-04-22,2025-04-01,gold_80005,月卡,"4.99-2025月卡",2184,93,10,10,9,,,,,
"2024-08-29",2024-08-29,2024-08-01,gold_50001,周期-日礼包,每日礼包-new-金币1,2451,140,2,2,1,,,,,
"2024-08-29",2024-08-29,2024-08-01,gold_21001,团购礼包,团购礼包-1200日元,2451,140,12,15,8,2451,140,14,21,8
"2024-08-22",2024-08-22,2024-08-01,gold_66,荣耀特典,"128231",2466,154,1,1,0,2466,154,1,1,0
"2024-08-29",2024-08-29,2024-08-01,gold_21002,团购礼包,团购礼包-2400日元,2451,140,4,6,0,,,,,
"2024-06-19",2024-06-19,2024-06-01,gold_223,幸运屋,S26畠山高政SSR+,2507,128,2,2,1,2507,128,8,10,3
"2024-07-04",2024-07-04,2024-07-01,gold_189,幸运屋,新-前田利家SSR+（力）,2525,155,1,1,1,2525,155,9,17,6
"2024-12-01",2024-12-01,2024-12-01,gold_413,情人节活动,"2024情人节稀有礼包4.99-300金币",2393,148,27,27,19,2393,148,65,257,51
"2024-12-01",2024-12-01,2024-12-01,gold_60001,情人节活动,"2024情人节信物礼包1",2393,148,33,112,16,,,,,
"2025-03-08",2025-03-08,2025-03-01,gold_320,"4周年庆典自选礼包","4周年庆典自选礼包3",2300,121,5,5,4,2300,121,27,31,22
"2024-12-01",2024-12-01,2024-12-01,gold_60005,情人节活动,"2024情人节信物礼包5",2393,148,1,1,0,,,,,
"2025-01-19",2025-01-19,2025-01-01,gold_90002,月度活动,月度活跃-battlepass中级,2370,136,4,4,3,2370,136,5,6,4
