"role_id","hero_id","upgrade_count","target_level","upgrade_rank","pay_tag","hero_cn"
"17231408899198",1133,1,2,1,非R,勇·真田幸村SSR+
"17231408899198",1038,1,5,1,非R,本多忠胜SSR+
"17231408899198",1072,1,3,1,非R,梵天丸SR
"17231408899198",1146,1,2,1,非R,谋·今川义元SSR
"17231408899198",1150,1,4,1,非R,勇·望月千代女SSR
"17231408899198",1137,1,5,1,非R,谋·石田三成SSR
"17231408899198",1149,1,3,1,非R,勇·森兰丸SSR
"17231408899198",1119,1,4,1,非R,援·宁宁SSR
"17231408899198",1070,1,2,1,非R,明智光秀SR
"17231408899198",1148,1,4,1,非R,坚·立花宗茂SSR
"17231408899198",1126,1,3,1,非R,谋·浓姬SSR
"17231408899198",1136,1,5,1,非R,援·毛利元就SSR
"17231408899198",1029,1,3,1,非R,茶茶SR
"17231408899198",1145,1,4,1,非R,勇·足利义辉SSR
"17231408899198",1124,2,4,15,非R,勇·伊达政宗SSR
"17231408899198",1121,2,3,15,非R,谋·织田信长SSR+
"17231408899198",1147,2,3,15,非R,谋·茶茶SSR
"17231408899198",1118,2,4,15,非R,援·阿松SSR
"17231408899198",1163,2,1,15,非R,柔·宁宁UR
"17231408899198",1125,2,5,15,非R,勇·佐佐木小次郎SSR
"17471927104791",1044,1,5,1,非R,黑田官兵卫SR
"17471927104791",1061,1,1,1,非R,茶茶SSR
"17471927104791",1152,1,0,1,非R,刚·德川家康UR
"17471927104791",1113,1,0,1,非R,S4服部半藏UR
"17471927104791",1011,1,5,1,非R,望月千代女SR
"17471927104791",1029,1,5,1,非R,茶茶SR
"17471927104791",1167,1,0,1,非R,刚·岛津义久UR
"17471927104791",1028,1,5,1,非R,真田信幸SR
"17471927104791",1078,1,5,1,非R,柴田胜家SR
"17471927104791",1074,1,5,1,非R,毛利元就SR
"17471927104791",1046,1,3,1,非R,今川义元SSR
"17471927104791",1146,2,3,12,非R,谋·今川义元SSR
"17471927104791",1126,2,3,12,非R,谋·浓姬SSR
"17587891688607",1144,1,3,1,非R,援·阿国SSR+
"17587891688607",1008,1,2,1,非R,织田信长SSR+
"17587891688607",1038,1,7,1,非R,本多忠胜SSR+
"17587891688607",1287,1,3,1,非R,S28柿崎景家UR
"17587891688607",1285,2,0,5,非R,S27村上义清UR
"17587891688607",1283,2,5,5,非R,S26畠山高政SSR+
"17587891688607",1169,2,3,5,非R,勇·前田利家SSR+
"17587891688607",1132,2,5,5,非R,援·阿市SSR+
"17587891688607",1015,4,2,9,非R,德川家康SSR+
"13194140146767",1145,1,5,1,非R,勇·足利义辉SSR
"13194140146767",1136,1,2,1,非R,援·毛利元就SSR
"13194140146767",1124,1,5,1,非R,勇·伊达政宗SSR
"13194140146767",1139,1,1,1,非R,勇·浅井长政SSR
"13194140146767",1168,1,0,1,非R,勇·阿江SSR
"13194140146767",1011,2,2,6,非R,望月千代女SR
"13194140146767",1017,2,3,6,非R,真田昌幸SR
"13194140146767",1127,3,1,8,非R,谋·上杉谦信SSR+
"13194140146767",1016,4,3,9,非R,真田幸村SSR+
"15745350387713",1122,1,5,1,非R,援·丰臣秀吉SSR+
"15745350387713",1169,2,0,2,非R,勇·前田利家SSR+
"15745350387713",1141,2,1,2,非R,柔·望月千代女UR
"15745350387713",1020,2,4,2,非R,浓姬SSR
"15745350387713",1127,3,3,5,非R,谋·上杉谦信SSR+
"15745350387713",1180,3,1,5,非R,S6阿江SSR+
"15745350387713",1064,3,4,5,非R,望月千代女SSR
"15745350387713",1152,3,4,5,非R,刚·德川家康UR
"15964393712875",1061,1,4,1,微R,茶茶SSR
"15964393712875",1311,1,0,1,微R,S35山本勘助UR
"15964393712875",1039,1,4,1,微R,柴田胜家SSR
"15964393712875",1015,2,7,4,微R,德川家康SSR+
"15964393712875",1152,2,6,4,微R,刚·德川家康UR
"15964393712875",1062,3,3,6,微R,立花宗茂SSR
"17033840705461",1093,1,5,1,小R,光·井伊直虎UR
"17033840705461",1022,1,5,1,小R,武田信玄SSR
"17033840705461",1170,1,3,1,小R,谋·竹中半兵卫SSR+
"17033840705461",1008,1,5,1,小R,织田信长SSR+
"17033840705461",1064,1,5,1,小R,望月千代女SSR
"17033840705461",1312,1,2,1,小R,S35真田幸隆SSR+
"17033840705461",1039,1,3,1,小R,柴田胜家SSR
"17033840705461",1122,2,7,8,小R,援·丰臣秀吉SSR+
"17033840705461",1143,2,5,8,小R,勇·本多忠胜SSR+
"17033840705461",1065,2,5,8,小R,小早川隆景SSR
"17033840705461",1046,2,4,8,小R,今川义元SSR
"17033840705461",1128,3,2,12,小R,刚·北条氏康UR
"17033840705461",1152,3,3,12,小R,刚·德川家康UR
"17033840705461",1166,4,1,14,小R,柔·阿松UR
"17033840705461",1104,5,2,15,小R,TW鹤姬UR
"13572097322638",1312,1,2,1,中R,S35真田幸隆SSR+
