"first_of_month","pay_tag","system","sub_system","hero_id","hero_name","revenue","pearl_revenue","paymentdetail_last_pearl","total_revenue"
2024-07-01,中R,珍珠,珍珠,,,,540.034077829,,540.034077829
2024-09-01,非R,珍珠,珍珠,,,,2009.2123280814,,2009.2123280814
2024-08-01,,珍珠,珍珠,,,,1.0334275394,,1.0334275394
2025-02-01,,珍珠,珍珠,,,,20.6787002576,,20.6787002576
2024-08-01,微R,珍珠,珍珠,,,,194.3202027424,,194.3202027424
2025-04-01,大R,珍珠,珍珠,,,,8276.3833493172,,8276.3833493172
2025-02-01,非R,珍珠,珍珠,,,,3048.9771952576,,3048.9771952576
2024-09-01,微R,珍珠,珍珠,,,,260.4232293292,,260.4232293292
2024-11-01,大R,珍珠,珍珠,,,,11884.6825587652,,11884.6825587652
2025-01-01,大R,珍珠,珍珠,,,,14252.1838505636,,14252.1838505636
2025-02-01,小R,珍珠,珍珠,,,,2260.71020867,,2260.71020867
2024-09-01,超R,珍珠,珍珠,,,,4780.6008680836,,4780.6008680836
2024-08-01,小R,珍珠,珍珠,,,,999.3331733154,,999.3331733154
2024-10-01,超R,珍珠,珍珠,,,,5064.9174337582,,5064.9174337582
2024-10-01,非R,珍珠,珍珠,,,,7232.6293498232,,7232.6293498232
2024-06-01,中R,珍珠,珍珠,,,,802.8918095796,,802.8918095796
2024-07-01,大R,珍珠,珍珠,,,,382.2432385616,,382.2432385616
2024-09-01,,珍珠,珍珠,,,,40.9128037288,,40.9128037288
2025-02-01,微R,珍珠,珍珠,,,,227.3406580336,,227.3406580336
2025-03-01,小R,珍珠,珍珠,,,,2204.6806348652,,2204.6806348652
2025-01-01,,珍珠,珍珠,,,,174.3219441844,,174.3219441844
2025-04-01,,珍珠,珍珠,,,,,,
2025-02-01,中R,珍珠,珍珠,,,,9011.922387687,,9011.922387687
2024-11-01,非R,珍珠,珍珠,,,,431.0175411338,,431.0175411338
2025-04-01,微R,珍珠,珍珠,,,,263.2793567652,,263.2793567652
2024-06-01,非R,珍珠,珍珠,,,,214.5244934492,,214.5244934492
2024-10-01,大R,珍珠,珍珠,,,,1032.7733883696,,1032.7733883696
2025-03-01,中R,珍珠,珍珠,,,,15600.1398109378,,15600.1398109378
2024-10-01,中R,珍珠,珍珠,,,,7826.5712360804,,7826.5712360804
2024-05-01,非R,珍珠,珍珠,,,,74.8316954876,,74.8316954876
2025-01-01,微R,珍珠,珍珠,,,,524.1596873608,,524.1596873608
2025-01-01,非R,珍珠,珍珠,,,,11418.5801091636,,11418.5801091636
2024-05-01,小R,珍珠,珍珠,,,,223.8904010712,,223.8904010712
2024-12-01,小R,珍珠,珍珠,,,,7000.9478866024,,7000.9478866024
2024-05-01,,珍珠,珍珠,,,,37.643695,,37.643695
2024-07-01,超R,珍珠,珍珠,,,,3390.578497968,,3390.578497968
2024-12-01,中R,珍珠,珍珠,,,,18423.3260335784,,18423.3260335784
2024-06-01,超R,珍珠,珍珠,,,,192.106456495,,192.106456495
2024-11-01,微R,珍珠,珍珠,,,,531.7560443364,,531.7560443364
2025-01-01,超R,珍珠,珍珠,,,,14994.8472851522,,14994.8472851522
2024-09-01,大R,珍珠,珍珠,,,,6926.8446291768,,6926.8446291768
2024-05-01,微R,珍珠,珍珠,,,,151.1920740756,,151.1920740756
2024-07-01,,珍珠,珍珠,,,,69.7236101974,,69.7236101974
2024-12-01,微R,珍珠,珍珠,,,,1520.434520168,,1520.434520168
2024-11-01,,珍珠,珍珠,,,,322.0534867832,,322.0534867832
2025-02-01,大R,珍珠,珍珠,,,,10161.5078608836,,10161.5078608836
2024-05-01,大R,珍珠,珍珠,,,,492.1060367816,,492.1060367816
2024-11-01,小R,珍珠,珍珠,,,,2018.8092663918,,2018.8092663918
2025-02-01,超R,珍珠,珍珠,,,,11315.1283213682,,11315.1283213682
2024-07-01,非R,珍珠,珍珠,,,,932.1873199884,,932.1873199884
2024-11-01,中R,珍珠,珍珠,,,,7123.1859779134,,7123.1859779134
2024-06-01,大R,珍珠,珍珠,,,,438.9586362026,,438.9586362026
2024-10-01,,珍珠,珍珠,,,,2.5019588808,,2.5019588808
2024-07-01,小R,珍珠,珍珠,,,,208.7026993324,,208.7026993324
2024-11-01,超R,珍珠,珍珠,,,,3181.4015141296,,3181.4015141296
2024-10-01,小R,珍珠,珍珠,,,,1345.7222799016,,1345.7222799016
2024-06-01,小R,珍珠,珍珠,,,,440.4352277234,,440.4352277234
2025-03-01,微R,珍珠,珍珠,,,,348.1731832702,,348.1731832702
2024-06-01,,珍珠,珍珠,,,,123.1044485772,,123.1044485772
2024-10-01,微R,珍珠,珍珠,,,,141.5561478386,,141.5561478386
2024-12-01,超R,珍珠,珍珠,,,,2327.8340436918,,2327.8340436918
2024-12-01,,珍珠,珍珠,,,,78.7365059286,,78.7365059286
2025-04-01,小R,珍珠,珍珠,,,,4529.7115596958,,4529.7115596958
2025-04-01,超R,珍珠,珍珠,,,,3952.4575689042,,3952.4575689042
