act_tag,pay_tag,type,dis_type,users,target_sum,target_count
20250303-20250306-4,小R,4_转盘心愿,玉钢,159,27258000.0,4543
20250303-20250306-4,中R,4_转盘心愿,神砂,100,356000.0,1780
20241215-20241218-4,大R,3_转盘心愿,武将经验 +100000,34,6715.0,1343
20250219-20250222-4,非R,3_转盘心愿,阵石招募令,397,11532.0,3844
20250219-20250222-4,非R,3_转盘心愿,橙经验国宝,171,5555.0,1111
20250522-20250525-4,中R,4_转盘心愿,计策锦囊(被gameconstantset引用),138,55260.0,2763
20250401-20250404-4,微R,2_转盘心愿,S30明智光秀UR（碎片）,63,1200.0,240
20250108-20250111-4,小R,3_转盘心愿,家宝箱子道具自选包,31,350.0,350
20250506-20250509-4,非R,2_转盘心愿,SSR+折扇,1330,11771.0,11771
20250506-20250509-4,大R,2_转盘心愿,S30丹羽长秀SSR+（碎片）,9,1180.0,236
20250506-20250509-4,超R,2_转盘心愿,神武武器-雍刀,17,345.0,345
20250506-20250509-4,中R,2_转盘心愿,S18山中幸盛SSR+(碎片),34,1950.0,390
20250219-20250222-4,小R,1_转盘心愿,UR采配,156,2869.0,2869
20250219-20250222-4,中R,1_转盘心愿,S35山本勘助UR,91,2217.0,2217
20250117-20250120-4,大R,2_转盘心愿,织田信长SSR+,16,339.0,339
20250506-20250509-4,小R,3_转盘心愿,火砂（神武升级道具）,156,1287000.0,2574
20250207-20250210-4,中R,2_转盘心愿,S35真田幸隆SSR+（碎片）,82,5016.0,2508
20250219-20250222-4,中R,3_转盘心愿,铁锭（装备饰品和改造道具）,144,1732000.0,3464
20241227-20241230-4,非R,4_转盘心愿,计策锦囊(被gameconstantset引用),844,202880.0,10144
20250108-20250111-4,中R,2_转盘心愿,S31京极龙子UR（碎片）,64,2440.0,488
20250412-20250415-4,大R,1_转盘心愿,神武武器-6周年庆,34,1125.0,1125
20250424-20250427-4,中R,3_转盘心愿,阵石招募令,63,3696.0,1232
20250424-20250427-4,非R,2_转盘心愿,SSR+神武武器-禅杖,1353,10683.0,10683
20250424-20250427-4,微R,2_转盘心愿,援·丰臣秀吉SSR+,52,500.0,500
20250424-20250427-4,超R,4_转盘心愿,计策锦囊(被gameconstantset引用),17,22180.0,1109
20250321-20250324-4,微R,4_转盘心愿,紫经验国宝,270,283.0,283
20250412-20250415-4,中R,1_转盘心愿,S36SSR+-诸角虎定,97,672.0,672
20250522-20250525-4,中R,2_转盘心愿,火精（神武升星突破道具）,146,29520.0,2952
20250412-20250415-4,中R,2_转盘心愿,援·丰臣秀吉SSR+,24,360.0,360
20250321-20250324-4,中R,1_转盘心愿,神武武器-朱枪,141,1110.0,1110
20250321-20250324-4,微R,1_转盘心愿,神武武器-瓮通枪,252,1353.0,1353
20250321-20250324-4,大R,1_转盘心愿,S35真田幸隆SSR+,19,127.0,127
20250522-20250525-4,中R,1_转盘心愿,神武武器-瓮通枪,146,2952.0,2952
20241215-20241218-4,小R,2_转盘心愿,勇·前田利家SSR+,38,614.0,614
20250321-20250324-4,非R,2_转盘心愿,火精（神武升星突破道具）,1163,42050.0,4205
20250117-20250120-4,小R,4_转盘心愿,神砂,122,405200.0,2026
20250117-20250120-4,大R,4_转盘心愿,银币,32,127300000.0,1273
20250321-20250324-4,非R,4_转盘心愿,铁锭（装备饰品和改造道具）,1163,841000.0,4205
20250321-20250324-4,超R,2_转盘心愿,S33前田庆次UR（碎片）,12,1525.0,305
20250303-20250306-4,非R,2_转盘心愿,S28柿崎景家UR（碎片）,337,5810.0,1162
20250108-20250111-4,非R,4_转盘心愿,银币,802,881000000.0,8810
20250522-20250525-4,超R,2_转盘心愿,丰臣秀吉SSR+,2,150.0,150
20250412-20250415-4,中R,3_转盘心愿,UR招募令,80,5844.0,1948
20250303-20250306-4,未活跃,2_转盘心愿,神武武器-武士刀,33,195.0,195
20250125-20250128-4,未活跃,2_转盘心愿,援·阿国SSR+,16,88.0,88
20250506-20250509-4,大R,1_转盘心愿,S20朝日姬SSR+,2,41.0,41
20250117-20250120-4,小R,1_转盘心愿,S31三之丸殿SSR+,83,485.0,485
20250125-20250128-4,超R,4_转盘心愿,铁锭（装备饰品和改造道具）,17,115000.0,575
20250117-20250120-4,未活跃,2_转盘心愿,S12本愿寺显如SSR+(碎片),18,295.0,59
20250117-20250120-4,小R,3_转盘心愿,UR招募令,67,2805.0,935
20250522-20250525-4,小R,2_转盘心愿,丰臣秀吉SSR+,15,175.0,175
20250401-20250404-4,中R,1_转盘心愿,S31京极龙子UR,78,620.0,620
20250401-20250404-4,超R,1_转盘心愿,S29佐久间盛政UR,4,51.0,51
20250219-20250222-4,超R,2_转盘心愿,S33前田庆次UR（碎片）,12,1680.0,336
20250219-20250222-4,超R,2_转盘心愿,援·阿国SSR+,2,35.0,35
20250219-20250222-4,未活跃,2_转盘心愿,S31京极龙子UR（碎片）,13,220.0,44
20250125-20250128-4,非R,1_转盘心愿,神武武器-瓮通枪,1444,16553.0,16553
20250125-20250128-4,小R,1_转盘心愿,UR神武武器-国光,156,3726.0,3726
20241227-20241230-4,中R,2_转盘心愿,S26畠山高政SSR+(碎片),86,3385.0,677
20241227-20241230-4,微R,1_转盘心愿,S34蒲生氏乡UR,159,1925.0,1925
20241227-20241230-4,大R,直购礼包上月标签,大R,17,32033.82809999999,168
20250321-20250324-4,未活跃,2_转盘心愿,S31京极龙子UR（碎片）,6,70.0,14
20250321-20250324-4,中R,直购礼包,赛季UR转盘礼包3,2,1274.8036,2
20241207-20241210-4,超R,直购礼包,赛季UR转盘礼包2,7,9610.0896,80
20250117-20250120-4,中R,直购礼包,赛季UR转盘礼包4,1,660.0,1
20250412-20250415-4,大R,直购礼包,赛季UR转盘礼包4,1,660.0,1
20241207-20241210-4,非R,4_转盘心愿,神砂,882,287800.0,1439
20241227-20241230-4,微R,3_转盘心愿,研习金色道具,79,3935.0,787
20241227-20241230-4,非R,3_转盘心愿,S34招募令,740,22785.0,7595
20241227-20241230-4,中R,3_转盘心愿,家宝箱子道具自选包,28,569.0,569
20250321-20250324-4,小R,3_转盘心愿,初级升阶道具,133,1420.0,142
20250321-20250324-4,小R,3_转盘心愿,铭刻道具,70,3700.0,74
20241215-20241218-4,未活跃,道具获得,4,69,542.0,337
20250219-20250222-4,未活跃,道具获得,4,41,306.0,195
20250219-20250222-4,非R,道具获得,3,212,4885.0,593
20250108-20250111-4,非R,道具获得,4,780,9779.0,5698
20250303-20250306-4,非R,4_转盘心愿,铭刻道具自选包,1386,12046.0,12046
20250522-20250525-4,大R,3_转盘心愿,阵石招募令,22,2082.0,694
20250522-20250525-4,小R,3_转盘心愿,武将经验 +100000,135,4070.0,814
20250219-20250222-4,小R,1_转盘心愿,S29佐久间盛政UR,30,107.0,107
20250219-20250222-4,大R,1_转盘心愿,S33前田庆次UR,25,587.0,587
20250117-20250120-4,小R,2_转盘心愿,谋·竹中半兵卫SSR+,47,634.0,634
20250506-20250509-4,非R,3_转盘心愿,火石（神武升星道具）,1330,117710.0,11771
20250207-20250210-4,非R,1_转盘心愿,S35山本勘助UR,690,12262.0,12262
20250303-20250306-4,非R,1_转盘心愿,S35山本勘助UR,638,4818.0,4818
20250108-20250111-4,小R,2_转盘心愿,S23岛津家久UR(碎片),14,810.0,162
20250219-20250222-4,大R,4_转盘心愿,玉钢,34,16398000.0,2733
20250125-20250128-4,微R,2_转盘心愿,织田信长SSR+,84,1455.0,1455
20250412-20250415-4,微R,4_转盘心愿,火石（神武升星道具）,274,16696.0,4174
20250506-20250509-4,非R,1_转盘心愿,S30丹羽长秀SSR+,107,336.0,336
20250522-20250525-4,超R,3_转盘心愿,阵石招募令,9,1551.0,517
20250424-20250427-4,微R,1_转盘心愿,UR神武武器-国光,273,3684.0,3684
20250412-20250415-4,超R,2_转盘心愿,SSR+折扇,17,512.0,512
20250424-20250427-4,小R,3_转盘心愿,研习紫色道具,14,3000.0,30
20250506-20250509-4,微R,4_转盘心愿,计策锦囊(被gameconstantset引用),223,68680.0,3434
20250321-20250324-4,中R,1_转盘心愿,S35山本勘助UR,84,1804.0,1804
20250522-20250525-4,中R,1_转盘心愿,UR采配,146,2952.0,2952
20250219-20250222-4,小R,2_转盘心愿,S33前田庆次UR（碎片）,82,2510.0,502
20241215-20241218-4,中R,2_转盘心愿,S31京极龙子UR（碎片）,135,12320.0,2464
20250321-20250324-4,非R,2_转盘心愿,S31京极龙子UR（碎片）,365,6260.0,1252
20250117-20250120-4,超R,4_转盘心愿,计策锦囊(被gameconstantset引用),17,16860.0,843
20250321-20250324-4,中R,4_转盘心愿,铭刻道具自选包,141,1110.0,1110
20250321-20250324-4,大R,4_转盘心愿,火砂（神武升级道具）,33,56400.0,282
20250219-20250222-4,超R,1_转盘心愿,S29佐久间盛政UR,4,11.0,11
20250401-20250404-4,大R,4_转盘心愿,玉钢,33,5670000.0,945
20241215-20241218-4,微R,3_转盘心愿,研习紫色道具,22,6200.0,62
20241215-20241218-4,非R,4_转盘心愿,玉钢,941,80850000.0,13475
20250424-20250427-4,微R,1_转盘心愿,S33前田庆次UR,114,406.0,406
20250412-20250415-4,大R,3_转盘心愿,阵石招募令,27,4431.0,1477
20250207-20250210-4,中R,3_转盘心愿,家宝箱子道具自选包,21,756.0,756
20250117-20250120-4,非R,3_转盘心愿,研习金色道具,305,11340.0,2268
20250506-20250509-4,未活跃,2_转盘心愿,S31三之丸殿SSR+（碎片）,2,130.0,26
20250117-20250120-4,超R,1_转盘心愿,S34织田冬姬SSR+,13,129.0,129
20250108-20250111-4,中R,1_转盘心愿,S25斋藤义龙UR,68,543.0,543
20250108-20250111-4,中R,1_转盘心愿,S23岛津家久UR,14,130.0,130
20250125-20250128-4,大R,1_转盘心愿,UR采配,34,1483.0,1483
20241227-20241230-4,未活跃,2_转盘心愿,援·丰臣秀吉SSR+,15,93.0,93
20241227-20241230-4,中R,2_转盘心愿,勇·前田利家SSR+,31,571.0,571
20241227-20241230-4,未活跃,1_转盘心愿,S18山中幸盛SSR+,27,122.0,122
20250321-20250324-4,微R,3_转盘心愿,战旗觉醒道具自选包,136,2538.0,846
20250303-20250306-4,大R,直购礼包,赛季UR转盘礼包2,8,6200.716799999999,51
20250117-20250120-4,小R,直购礼包,赛季UR转盘礼包3,2,4574.8036,7
20250125-20250128-4,中R,直购礼包,赛季UR转盘礼包1,6,2167.9889999999996,66
20250303-20250306-4,超R,2_转盘心愿,织田信长SSR+,3,23.0,23
20241227-20241230-4,未活跃,3_转盘心愿,S34招募令,53,1476.0,492
20241227-20241230-4,小R,3_转盘心愿,武将经验 +100000,116,5595.0,1119
20241215-20241218-4,大R,3_转盘心愿,高级招募令,1,9.0,3
20250125-20250128-4,未活跃,3_转盘心愿,研习紫色道具,4,1100.0,11
20250412-20250415-4,大R,道具获得,1,11,3770.0,194
20250303-20250306-4,中R,道具获得,3,58,3900.0,556
20250303-20250306-4,小R,道具获得,4,133,2786.0,1461
20250424-20250427-4,微R,道具获得,3,54,1740.0,204
20250424-20250427-4,小R,道具获得,1,3,158.0,14
20250522-20250525-4,中R,道具获得,3,46,3000.0,418
20250117-20250120-4,小R,道具获得,3,64,3575.0,483
20250219-20250222-4,大R,道具获得,4,33,1581.0,521
20250108-20250111-4,微R,道具获得,3,96,4220.0,544
20250522-20250525-4,小R,3_转盘心愿,火石（神武升星道具）,157,24840.0,2484
20250522-20250525-4,小R,4_转盘心愿,玉钢,157,24576000.0,4096
20250125-20250128-4,非R,2_转盘心愿,SSR+神武武器-禅杖,1444,16553.0,16553
20250125-20250128-4,未活跃,2_转盘心愿,SSR+神武武器-禅杖,85,813.0,813
20250108-20250111-4,中R,3_转盘心愿,武将经验 +100000,115,7750.0,1550
20250108-20250111-4,中R,3_转盘心愿,高级招募令,14,273.0,91
20250108-20250111-4,微R,3_转盘心愿,家宝箱子道具自选包,49,531.0,531
20250506-20250509-4,微R,2_转盘心愿,谋·竹中半兵卫SSR+,71,947.0,947
20250506-20250509-4,小R,2_转盘心愿,SSR+鬼虎之枪,156,2574.0,2574
20250219-20250222-4,微R,1_转盘心愿,S35山本勘助UR,164,1918.0,1918
20250219-20250222-4,大R,1_转盘心愿,UR神武武器-国光,34,1222.0,1222
20250117-20250120-4,微R,2_转盘心愿,S26畠山高政SSR+(碎片),112,3775.0,755
20250506-20250509-4,非R,3_转盘心愿,研习金色道具,341,13125.0,2625
20250207-20250210-4,微R,2_转盘心愿,S14濑名姬SSR+(碎片),83,6320.0,1264
20250303-20250306-4,非R,1_转盘心愿,神武武器-朱枪,1386,12046.0,12046
20250303-20250306-4,中R,1_转盘心愿,神武武器-朱枪,145,3214.0,3214
20250303-20250306-4,大R,1_转盘心愿,S32酒井忠次UR,15,252.0,252
20250108-20250111-4,微R,2_转盘心愿,S28柿崎景家UR（碎片）,102,3780.0,756
20250506-20250509-4,超R,1_转盘心愿,S34织田冬姬SSR+,11,168.0,168
20250412-20250415-4,中R,2_转盘心愿,火精（神武升星突破道具）,146,36910.0,3691
20250424-20250427-4,超R,2_转盘心愿,援·丰臣秀吉SSR+,5,317.0,317
20250321-20250324-4,中R,4_转盘心愿,计策锦囊(被gameconstantset引用),145,63165.0,3276
20250125-20250128-4,中R,3_转盘心愿,研习橙色道具,58,23280.0,1164
20241215-20241218-4,大R,3_转盘心愿,研习金色道具,15,1820.0,364
20250506-20250509-4,中R,3_转盘心愿,高级招募令,11,156.0,52
20250522-20250525-4,小R,1_转盘心愿,UR赤備えの太刀,157,2484.0,2484
20250522-20250525-4,未活跃,1_转盘心愿,UR神武武器-国光,29,270.0,270
20250219-20250222-4,非R,2_转盘心愿,S32酒井忠次UR（碎片）,261,4415.0,883
