start_week,end_week,week,pay_tag,last_mau,wau,is_weeklypay
2025-02-17,2025-02-23,0217-0223,中R,148.0,147,109
2024-11-04,2024-11-10,1104-1110,未活跃,,362,13
2025-03-17,2025-03-23,0317-0323,未活跃,,115,2
2025-02-03,2025-02-09,0203-0209,未活跃,,189,6
2025-05-01,2025-05-04,0501-0504,未活跃,,93,1
2024-12-16,2024-12-22,1216-1222,未活跃,,274,10
2024-12-30,2024-12-31,1230-1231,未活跃,,179,4
2025-05-12,2025-05-18,0512-0518,未活跃,,125,2
2024-11-18,2024-11-24,1118-1124,未活跃,,305,15
2025-05-05,2025-05-11,0505-0511,未活跃,,126,3
2025-04-14,2025-04-20,0414-0420,中R,148.0,148,126
2025-05-01,2025-05-04,0501-0504,中R,148.0,147,104
2025-04-28,2025-04-30,0428-0430,中R,148.0,148,103
2025-01-06,2025-01-12,0106-0112,中R,148.0,146,121
2025-04-01,2025-04-06,0401-0406,中R,148.0,148,127
2024-12-01,2024-12-01,1201-1201,中R,148.0,145,62
2024-12-23,2024-12-29,1223-1229,中R,148.0,145,114
2025-02-10,2025-02-16,0210-0216,中R,148.0,147,123
2025-03-17,2025-03-23,0317-0323,中R,148.0,148,107
2024-11-11,2024-11-17,1111-1117,中R,148.0,145,121
2025-03-03,2025-03-09,0303-0309,中R,148.0,147,119
2024-12-02,2024-12-08,1202-1208,中R,148.0,145,119
2025-01-27,2025-01-31,0127-0131,小R,162.0,160,57
2025-05-26,2025-05-31,0526-0531,中R,148.0,80,17
2025-05-12,2025-05-18,0512-0518,中R,148.0,147,122
2025-01-01,2025-01-05,0101-0105,中R,148.0,146,118
2025-05-05,2025-05-11,0505-0511,中R,148.0,147,121
2025-04-07,2025-04-13,0407-0413,中R,148.0,148,105
2024-12-30,2024-12-31,1230-1231,中R,148.0,145,72
2024-11-04,2024-11-10,1104-1110,中R,148.0,145,118
2025-04-21,2025-04-27,0421-0427,中R,148.0,148,129
2025-03-24,2025-03-30,0324-0330,中R,148.0,148,117
2025-01-13,2025-01-19,0113-0119,中R,148.0,145,117
2025-03-01,2025-03-02,0301-0302,中R,148.0,147,79
2024-12-16,2024-12-22,1216-1222,中R,148.0,145,109
2025-01-27,2025-01-31,0127-0131,中R,148.0,147,98
2024-11-01,2024-11-03,1101-1103,中R,148.0,145,100
2024-11-25,2024-11-30,1125-1130,中R,148.0,145,109
2024-11-25,2024-11-30,1125-1130,微R,289.0,279,71
2025-03-24,2025-03-30,0324-0330,微R,289.0,284,61
2025-04-01,2025-04-06,0401-0406,微R,289.0,286,102
2025-03-10,2025-03-16,0310-0316,中R,148.0,148,120
2025-02-03,2025-02-09,0203-0209,中R,148.0,147,124
2025-03-31,2025-03-31,0331-0331,中R,148.0,147,58
2025-02-24,2025-02-28,0224-0228,中R,148.0,147,96
2025-05-19,2025-05-25,0519-0525,微R,289.0,281,126
2025-03-03,2025-03-09,0303-0309,小R,162.0,160,92
2025-03-03,2025-03-09,0303-0309,非R,2275.0,1817,28
2025-01-13,2025-01-19,0113-0119,小R,162.0,159,97
2025-01-06,2025-01-12,0106-0112,微R,289.0,280,83
2025-02-24,2025-02-28,0224-0228,微R,289.0,280,39
2025-04-21,2025-04-27,0421-0427,微R,289.0,284,134
2025-05-01,2025-05-04,0501-0504,小R,162.0,159,71
2025-05-26,2025-05-31,0526-0531,微R,289.0,106,6
2024-12-09,2024-12-15,1209-1215,中R,148.0,145,110
2025-01-20,2025-01-26,0120-0126,中R,148.0,146,112
2025-02-01,2025-02-02,0201-0202,中R,148.0,147,89
2025-05-19,2025-05-25,0519-0525,中R,148.0,147,124
2024-11-11,2024-11-17,1111-1117,未活跃,,344,15
2024-11-01,2024-11-03,1101-1103,未活跃,,288,9
2024-12-01,2024-12-01,1201-1201,未活跃,,167,1
2024-12-23,2024-12-29,1223-1229,未活跃,,273,10
2024-12-02,2024-12-08,1202-1208,未活跃,,278,14
2025-02-10,2025-02-16,0210-0216,未活跃,,196,7
2024-11-25,2024-11-30,1125-1130,未活跃,,278,14
2025-03-31,2025-03-31,0331-0331,未活跃,,14,0
2025-02-24,2025-02-28,0224-0228,未活跃,,142,1
2025-05-26,2025-05-31,0526-0531,未活跃,,7,0
2025-03-24,2025-03-30,0324-0330,未活跃,,93,1
2025-03-03,2025-03-09,0303-0309,未活跃,,161,4
2025-01-27,2025-01-31,0127-0131,未活跃,,160,2
2025-01-01,2025-01-05,0101-0105,未活跃,,285,13
2025-01-13,2025-01-19,0113-0119,未活跃,,259,4
2025-03-01,2025-03-02,0301-0302,未活跃,,85,1
2025-02-17,2025-02-23,0217-0223,未活跃,,194,6
2024-12-16,2024-12-22,1216-1222,小R,162.0,159,93
2025-02-01,2025-02-02,0201-0202,非R,2275.0,1738,17
2025-02-17,2025-02-23,0217-0223,微R,289.0,282,65
2025-03-24,2025-03-30,0324-0330,非R,2275.0,1825,21
2025-01-13,2025-01-19,0113-0119,非R,2275.0,1826,37
2024-11-01,2024-11-03,1101-1103,微R,289.0,280,71
2024-12-02,2024-12-08,1202-1208,微R,289.0,281,86
2025-01-06,2025-01-12,0106-0112,非R,2275.0,1806,53
2024-12-23,2024-12-29,1223-1229,微R,289.0,280,81
2025-01-27,2025-01-31,0127-0131,微R,289.0,282,51
2025-05-01,2025-05-04,0501-0504,非R,2275.0,1716,13
2025-02-03,2025-02-09,0203-0209,非R,2275.0,1850,25
2025-03-01,2025-03-02,0301-0302,微R,289.0,281,38
2024-11-11,2024-11-17,1111-1117,微R,289.0,279,95
2025-02-17,2025-02-23,0217-0223,非R,2275.0,1818,17
2024-12-23,2024-12-29,1223-1229,非R,2275.0,1786,44
2025-03-10,2025-03-16,0310-0316,微R,289.0,284,70
2025-04-07,2025-04-13,0407-0413,非R,2275.0,1909,0
2024-11-11,2024-11-17,1111-1117,小R,162.0,159,103
2024-11-11,2024-11-17,1111-1117,非R,2275.0,1779,58
2025-01-01,2025-01-05,0101-0105,微R,289.0,280,85
2025-02-10,2025-02-16,0210-0216,小R,162.0,158,92
2025-02-03,2025-02-09,0203-0209,小R,162.0,159,85
2024-12-09,2024-12-15,1209-1215,微R,289.0,278,91
2025-03-24,2025-03-30,0324-0330,小R,162.0,161,74
2025-03-31,2025-03-31,0331-0331,微R,289.0,275,17
2025-02-01,2025-02-02,0201-0202,微R,289.0,280,48
2024-11-25,2024-11-30,1125-1130,小R,162.0,158,74
2025-02-10,2025-02-16,0210-0216,非R,2275.0,1825,31
2025-02-24,2025-02-28,0224-0228,非R,2275.0,1728,15
2024-12-02,2024-12-08,1202-1208,小R,162.0,159,102
2024-12-01,2024-12-01,1201-1201,非R,2275.0,1595,11
2025-01-01,2025-01-05,0101-0105,小R,162.0,159,99
2025-02-03,2025-02-09,0203-0209,微R,289.0,283,74
2024-12-23,2024-12-29,1223-1229,小R,162.0,159,85
2025-03-31,2025-03-31,0331-0331,非R,2275.0,1590,1
2025-04-07,2025-04-13,0407-0413,微R,289.0,288,57
2025-03-01,2025-03-02,0301-0302,小R,162.0,159,42
2024-12-01,2024-12-01,1201-1201,小R,162.0,157,29
2025-05-26,2025-05-31,0526-0531,非R,2275.0,435,1
2025-01-01,2025-01-05,0101-0105,非R,2275.0,1792,36
2025-04-21,2025-04-27,0421-0427,小R,162.0,160,110
2025-01-13,2025-01-19,0113-0119,微R,289.0,279,88
2025-03-10,2025-03-16,0310-0316,小R,162.0,160,86
2025-05-19,2025-05-25,0519-0525,非R,2275.0,1724,38
2025-03-10,2025-03-16,0310-0316,非R,2275.0,1811,22
2024-12-09,2024-12-15,1209-1215,小R,162.0,160,88
2025-01-20,2025-01-26,0120-0126,小R,162.0,159,73
2025-05-19,2025-05-25,0519-0525,小R,162.0,159,102
2025-03-01,2025-03-02,0301-0302,非R,2275.0,1709,12
2025-04-21,2025-04-27,0421-0427,非R,2275.0,1868,0
2025-05-01,2025-05-04,0501-0504,微R,289.0,285,58
2025-02-24,2025-02-28,0224-0228,小R,162.0,158,61
2025-05-05,2025-05-11,0505-0511,小R,162.0,159,83
2024-12-16,2024-12-22,1216-1222,微R,289.0,280,81
2025-04-07,2025-04-13,0407-0413,小R,162.0,162,68
2025-01-20,2025-01-26,0120-0126,非R,2275.0,1812,40
2025-03-17,2025-03-23,0317-0323,小R,162.0,160,75
2025-04-01,2025-04-06,0401-0406,非R,2275.0,1891,0
2025-03-03,2025-03-09,0303-0309,微R,289.0,282,76
2024-11-18,2024-11-24,1118-1124,微R,289.0,282,94
2024-11-04,2024-11-10,1104-1110,微R,289.0,279,86
2025-03-31,2025-03-31,0331-0331,小R,162.0,155,22
2025-01-06,2025-01-12,0106-0112,小R,162.0,159,95
2024-12-16,2024-12-22,1216-1222,非R,2275.0,1790,38
2025-04-28,2025-04-30,0428-0430,小R,162.0,160,75
2025-03-17,2025-03-23,0317-0323,微R,289.0,284,59
2025-04-01,2025-04-06,0401-0406,小R,162.0,161,112
2024-11-04,2024-11-10,1104-1110,小R,162.0,159,99
2024-11-04,2024-11-10,1104-1110,非R,2275.0,1799,46
2025-05-12,2025-05-18,0512-0518,小R,162.0,159,106
2024-11-18,2024-11-24,1118-1124,小R,162.0,158,95
2025-05-05,2025-05-11,0505-0511,非R,2275.0,1770,14
2025-01-27,2025-01-31,0127-0131,非R,2275.0,1755,19
2025-04-14,2025-04-20,0414-0420,非R,2275.0,1882,0
2024-11-01,2024-11-03,1101-1103,非R,2275.0,1770,39
2024-11-18,2024-11-24,1118-1124,非R,2275.0,1799,51
2025-05-12,2025-05-18,0512-0518,非R,2275.0,1741,29
2024-12-30,2024-12-31,1230-1231,非R,2275.0,1687,12
2025-05-05,2025-05-11,0505-0511,微R,289.0,284,86
2025-04-28,2025-04-30,0428-0430,微R,289.0,282,86
2024-11-01,2024-11-03,1101-1103,小R,162.0,158,82
2024-12-30,2024-12-31,1230-1231,小R,162.0,157,51
2025-03-17,2025-03-23,0317-0323,非R,2275.0,1826,19
2025-01-20,2025-01-26,0120-0126,微R,289.0,282,93
2025-02-17,2025-02-23,0217-0223,小R,162.0,158,73
2024-12-02,2024-12-08,1202-1208,非R,2275.0,1810,37
2025-02-10,2025-02-16,0210-0216,微R,289.0,283,89
2024-12-01,2024-12-01,1201-1201,微R,289.0,278,18
2025-04-14,2025-04-20,0414-0420,小R,162.0,160,112
2024-11-25,2024-11-30,1125-1130,非R,2275.0,1793,40
2025-02-01,2025-02-02,0201-0202,小R,162.0,160,63
2025-04-14,2025-04-20,0414-0420,微R,289.0,287,100
2025-04-28,2025-04-30,0428-0430,非R,2275.0,1684,0
2025-02-01,2025-02-02,0201-0202,未活跃,,138,4
2024-12-09,2024-12-15,1209-1215,未活跃,,262,10
2025-05-19,2025-05-25,0519-0525,未活跃,,142,2
2025-05-12,2025-05-18,0512-0518,微R,289.0,282,143
2025-03-01,2025-03-02,0301-0302,大R,34.0,34,25
2025-03-10,2025-03-16,0310-0316,超R,17.0,17,16
2025-03-03,2025-03-09,0303-0309,大R,34.0,34,31
2025-05-26,2025-05-31,0526-0531,超R,17.0,11,4
2025-02-01,2025-02-02,0201-0202,超R,17.0,17,12
2025-05-19,2025-05-25,0519-0525,超R,17.0,17,16
2025-01-13,2025-01-19,0113-0119,大R,34.0,34,32
2025-04-01,2025-04-06,0401-0406,大R,34.0,34,31
2024-11-25,2024-11-30,1125-1130,大R,34.0,34,33
2025-05-05,2025-05-11,0505-0511,大R,34.0,34,30
2025-03-24,2025-03-30,0324-0330,大R,34.0,34,33
2025-02-03,2025-02-09,0203-0209,超R,17.0,17,15
2025-03-31,2025-03-31,0331-0331,超R,17.0,17,10
2025-05-01,2025-05-04,0501-0504,大R,34.0,34,30
2025-04-07,2025-04-13,0407-0413,超R,17.0,17,17
2024-11-18,2024-11-24,1118-1124,超R,17.0,17,16
2024-12-01,2024-12-01,1201-1201,超R,17.0,17,9
2025-01-27,2025-01-31,0127-0131,大R,34.0,34,28
2025-05-01,2025-05-04,0501-0504,超R,17.0,17,16
2024-12-23,2024-12-29,1223-1229,大R,34.0,34,32
2025-02-24,2025-02-28,0224-0228,大R,34.0,34,26
2024-12-02,2024-12-08,1202-1208,大R,34.0,34,34
2025-05-19,2025-05-25,0519-0525,大R,34.0,33,28
2025-02-24,2025-02-28,0224-0228,超R,17.0,17,14
2025-03-17,2025-03-23,0317-0323,大R,34.0,34,31
2024-11-11,2024-11-17,1111-1117,大R,34.0,34,34
2025-05-12,2025-05-18,0512-0518,超R,17.0,17,17
2025-02-17,2025-02-23,0217-0223,大R,34.0,34,31
2024-12-02,2024-12-08,1202-1208,超R,17.0,17,15
2025-04-28,2025-04-30,0428-0430,大R,34.0,34,29
2024-12-01,2024-12-01,1201-1201,大R,34.0,34,18
2025-02-10,2025-02-16,0210-0216,大R,34.0,34,30
2024-11-01,2024-11-03,1101-1103,超R,17.0,17,14
2024-12-30,2024-12-31,1230-1231,超R,17.0,17,14
2024-11-04,2024-11-10,1104-1110,大R,34.0,34,34
2025-03-03,2025-03-09,0303-0309,超R,17.0,17,17
2025-03-24,2025-03-30,0324-0330,超R,17.0,17,17
2024-12-16,2024-12-22,1216-1222,大R,34.0,34,33
2025-04-21,2025-04-27,0421-0427,大R,34.0,34,32
2025-02-10,2025-02-16,0210-0216,超R,17.0,17,14
2025-01-13,2025-01-19,0113-0119,超R,17.0,17,17
2025-01-01,2025-01-05,0101-0105,超R,17.0,17,15
2025-03-31,2025-03-31,0331-0331,大R,34.0,34,24
2025-01-01,2025-01-05,0101-0105,大R,34.0,34,31
2024-12-30,2024-12-31,1230-1231,大R,34.0,33,27
2025-04-01,2025-04-06,0401-0406,超R,17.0,17,16
2025-02-17,2025-02-23,0217-0223,超R,17.0,17,17
2024-11-25,2024-11-30,1125-1130,超R,17.0,17,15
2025-02-01,2025-02-02,0201-0202,大R,34.0,34,20
2025-01-06,2025-01-12,0106-0112,超R,17.0,17,17
2025-01-27,2025-01-31,0127-0131,超R,17.0,17,15
2024-11-04,2024-11-10,1104-1110,超R,17.0,17,16
2024-12-09,2024-12-15,1209-1215,大R,34.0,34,33
2025-05-05,2025-05-11,0505-0511,超R,17.0,17,17
2025-01-06,2025-01-12,0106-0112,大R,34.0,34,32
2025-01-20,2025-01-26,0120-0126,大R,34.0,34,33
2025-04-28,2025-04-30,0428-0430,超R,17.0,17,14
2025-03-10,2025-03-16,0310-0316,大R,34.0,34,32
2025-02-03,2025-02-09,0203-0209,大R,34.0,34,31
2024-11-18,2024-11-24,1118-1124,大R,34.0,34,33
2025-05-12,2025-05-18,0512-0518,大R,34.0,34,30
2025-04-07,2025-04-13,0407-0413,大R,34.0,34,31
2025-03-17,2025-03-23,0317-0323,超R,17.0,17,17
2025-04-14,2025-04-20,0414-0420,大R,34.0,34,33
2025-04-14,2025-04-20,0414-0420,超R,17.0,17,17
2024-11-11,2024-11-17,1111-1117,超R,17.0,17,16
2024-12-23,2024-12-29,1223-1229,超R,17.0,17,17
2024-12-09,2024-12-15,1209-1215,超R,17.0,17,16
2025-05-26,2025-05-31,0526-0531,大R,34.0,20,10
2025-01-20,2025-01-26,0120-0126,超R,17.0,17,16
2025-03-01,2025-03-02,0301-0302,超R,17.0,17,14
2024-12-16,2024-12-22,1216-1222,超R,17.0,17,15
2025-04-21,2025-04-27,0421-0427,超R,17.0,17,16
2025-01-20,2025-01-26,0120-0126,未活跃,,224,10
2025-01-06,2025-01-12,0106-0112,未活跃,,257,9
2025-03-10,2025-03-16,0310-0316,未活跃,,160,3
2024-12-09,2024-12-15,1209-1215,非R,2275.0,1796,43
2024-12-30,2024-12-31,1230-1231,微R,289.0,276,28
2025-05-26,2025-05-31,0526-0531,小R,162.0,69,6
2024-11-01,2024-11-03,1101-1103,大R,34.0,34,30
2024-11-18,2024-11-24,1118-1124,中R,148.0,145,115
