type,period,last1_paytag,dtype1,dtype2,users,money_rmb,paid_add
paymentname_date_group,2025-02-02,小R,金币,4.99-300金币,1,33.866300,320.0
paymentname_date_group,2025-02-25,微R,月卡,19.99-尊贵月卡,1,125.044800,1400.0
paymentname_date_group,2024-11-22,小R,每日一键,一键购买日礼包-2,2,16.672640,80.0
paymentname_date_group,2025-04-23,中R,月次祭礼包,月次祭礼包3,1,614.803600,
paymentname_date_group,2025-02-26,大R,限购礼包,650日元限时礼包=+金币+化境研习橙色道具+玉钢,2,101.598900,960.0
paymentname_date_group,2025-05-15,小R,签到礼包,签到礼包2,3,375.134400,3600.0
paymentname_date_group,2024-10-23,小R,签到礼包,签到礼包2,5,625.224000,6000.0
paymentname_date_group,2025-05-17,中R,一条龙,一条龙礼包1,35,291.771200,3500.0
paymentname_date_group,2024-10-26,中R,每日一键,一键购买,5,125.044800,1200.0
paymentname_date_group,2025-05-25,小R,珍珠,99.99-660珍珠,1,614.803600,
paymentname_date_group,2024-11-02,小R,周期-日礼包,每日礼包-new-金币1,1,8.336320,80.0
paymentname_date_group,2025-05-05,中R,月度周储钱罐,月度周储钱罐,29,483.506560,8700.0
paymentname_date_group,2025-04-30,中R,一条龙,一条龙礼包4,6,375.134400,4800.0
paymentname_date_group,2024-11-10,中R,神武锻造,神武锻造-购买档位1,16,1083.721600,
paymentname_date_group,2025-01-06,中R,月卡,4.99-月卡,2,67.732600,740.0
paymentname_date_group,2024-12-25,非R,6周年礼包,6周年-购买档位1-1,1,33.866300,
paymentname_date_group,2024-10-29,中R,月次祭礼包,月次祭礼包3,3,3688.821600,
paymentname_date_group,2025-04-15,大R,周期-周礼包,周礼包-22,1,33.866300,320.0
paymentname_date_group,2024-10-05,小R,月卡,资源月卡-9.99美元,4,250.089600,2800.0
paymentname_date_group,2025-03-18,大R,周期-周礼包,周礼包-22,1,33.866300,320.0
paymentname_date_group,2025-02-22,中R,月卡,资源月卡-9.99美元,5,312.612000,3500.0
paymentname_date_group,2025-05-05,小R,周期-日礼包,每日礼包-V9-14-4,1,8.336320,100.0
paymentname_date_group,2025-03-20,小R,每日一键,一键购买日礼包-1,2,16.672640,80.0
paymentname_date_group,2025-02-21,中R,行脚商人,行脚商人-自选礼包2,11,1062.880800,10200.0
paymentname_date_group,2024-11-21,小R,行脚商人,行脚商人-自选礼包1,1,33.866300,320.0
paymentname_date_group,2024-11-08,中R,签到礼包,签到礼包1,19,1187.925600,11400.0
paymentname_date_group,2025-05-20,超R,珍珠,99.99-660珍珠,3,2459.214400,
paymentname_date_group,2025-03-23,中R,battlepass,晋级征途,1,166.726400,
paymentname_date_group,2024-12-12,微R,签到礼包,签到礼包2,2,250.089600,2400.0
paymentname_date_group,2025-03-24,大R,珍珠,9.99-60珍珠,2,125.044800,
paymentname_date_group,2025-05-05,超R,珍珠,99.99-660珍珠,1,3074.018000,
paymentname_date_group,2024-11-12,小R,行脚商人,行脚商人-自选礼包2,2,187.567200,1800.0
paymentname_date_group,2025-02-24,中R,团购礼包,团购礼包-650日元,7,372.529300,3520.0
paymentname_date_group,2024-12-09,小R,珍珠,4.99-32珍珠,1,67.732600,
paymentname_date_group,2024-11-09,超R,周期-周礼包,周礼包-10,1,67.732600,640.0
paymentname_date_group,2024-10-19,小R,情人节活动,2024情人节信物礼包3,1,614.803600,
paymentname_date_group,2025-02-04,小R,珍珠,0.99-4珍珠,2,91.699520,
paymentname_date_group,2024-12-17,中R,珍珠,19.99-120珍珠,2,625.224000,
paymentname_date_group,2025-02-18,大R,珍珠,49.99-320珍珠,2,625.224000,
paymentname_date_group,2024-10-30,大R,神武锻造,神武锻造-购买档位1,6,914.390100,
paymentname_date_group,2025-01-07,非R,battlepass-周年庆,四周年通行证,1,125.044800,
paymentname_date_group,2025-02-19,大R,每日一键,一键购买,2,50.017920,480.0
paymentname_date_group,2025-01-21,微R,月卡,19.99-尊贵月卡,2,250.089600,2800.0
paymentname_date_group,2025-02-25,大R,金币,9.99-600金币,1,62.522400,600.0
paymentname_date_group,2024-11-10,小R,签到礼包,签到礼包2,4,500.179200,4800.0
paymentname_date_group,2024-10-26,大R,6周年礼包,6周年-购买档位4-1,3,677.326000,
paymentname_date_group,2025-04-20,超R,珍珠,9.99-60珍珠,1,62.522400,
paymentname_date_group,2024-10-24,中R,周期-周礼包,周礼包-22,2,101.598900,960.0
paymentname_date_group,2024-12-16,大R,行脚商人,行脚商人-自选礼包4,2,937.836000,9600.0
paymentname_date_group,2024-10-08,中R,行脚商人,行脚商人-自选礼包1,10,440.261900,4160.0
paymentname_date_group,2025-04-11,中R,情人节活动,2025情人节稀有礼包4.99-300金币,9,562.701600,5400.0
paymentname_date_group,2025-03-09,小R,6周年礼包,6周年-购买档位1-2,1,125.044800,
paymentname_date_group,2025-05-06,中R,签到礼包,签到礼包1,3,187.567200,1800.0
paymentname_date_group,2025-05-26,中R,月度活动,月度活跃-battlepass高级,2,625.224000,
paymentname_date_group,2025-01-18,非R,网页充值,320网页充值,1,296.981400,
paymentname_date_group,2025-02-19,大R,珍珠,4.99-32珍珠,3,101.598900,
paymentname_date_group,2024-10-07,大R,行脚商人,行脚商人-自选礼包1,11,643.459700,6400.0
paymentname_date_group,2024-12-25,小R,赛季征战活动,赛季整合礼包19.99-1200金币-2,1,125.044800,1200.0
paymentname_date_group,2025-05-18,非R,一条龙,一条龙礼包3,1,33.866300,600.0
paymentname_date_group,2025-03-02,中R,珍珠,4.99-32珍珠,4,135.465200,
paymentname_date_group,2024-10-03,中R,金币,49.99-3200金币,2,625.224000,6400.0
paymentname_date_group,2025-01-07,中R,月度活动,月度活跃-battlepass中级,3,375.134400,3600.0
paymentname_date_group,2025-01-20,中R,珍珠,4.99-32珍珠,5,203.197800,
paymentname_date_group,2025-02-04,中R,月卡,资源月卡-9.99美元,1,62.522400,700.0
paymentname_date_group,2025-05-02,微R,金币,0.99-30金币,1,8.336320,40.0
paymentname_date_group,2024-11-01,中R,周期-日礼包,每日礼包-new-金币3,1,33.866300,480.0
