act_tag,pay_tag,type,dis_type1,dis_type2,users,target_sum,target_count
20250514-20250517-4,小R,pprid_reward_type,160_1,家督印（战旗征集道具）,46,46.0,46
20250104-20250107-4,超R,pprid_reward_type,160_3,2024信物,5,20.0,5
20241127-20241201-5,小R,pprid_reward_type,164_2,2024信物,4,16.0,4
20241219-20241222-4,大R,pprid_reward_type,160_1,阵石随机包（绿）,5,5.0,5
20250325-20250328-4,微R,pprid_reward_type,160_3,2024信物,1,6.0,1
20241127-20241201-5,微R,pprid_reward_type,164_2,暗·织田信长UR(碎片),3,6.0,3
20241127-20241201-5,未活跃,兑换信物金币消耗,未活跃,,47,173000.0,197
20250428-20250501-4,大R,兑换信物金币消耗,大R,,33,380500.0,493
20250104-20250107-4,非R,兑换信物金币消耗,非R,,470,1515500.0,1728
20250328-20250331-4,大R,兑换信物金币消耗,大R,,7,26.0,12
20250328-20250331-4,超R,兑换奖励内容,2025元旦S3-S29赛季UR整卡自选,,1,9.0,3
20250104-20250107-4,非R,兑换奖励内容,2024信物,,470,1515500.0,1728
20250510-20250513-4,大R,兑换奖励内容,联动-柴田胜家UR(召唤卡),,2,8.0,2
20250510-20250513-4,超R,兑换奖励内容,佐竹义重UR(召唤卡),,1,5.0,1
20250214-20250218-5,中R,兑换奖励内容,2025元旦S3-S29赛季UR整卡自选,,3,15.0,5
20250214-20250218-5,微R,兑换奖励内容,红色物理装备自选箱,,5,5.0,5
20241127-20241201-5,微R,兑换奖励内容,2024信物,,134,645500.0,701
20250409-20250411-3,中R,兑换奖励内容,5阶攻击符文自选箱,,1,1.0,1
20250502-20250505-4,未活跃,直购礼包礼包聚合2,未活跃,,1,62.5224,1
20250514-20250517-4,微R,直购礼包礼包聚合2,微R,,1,158.9111,2
20250502-20250505-4,中R,直购礼包礼包聚合1,2025情人节-节日礼包4,,2,180.0,3
20250311-20250314-4,超R,直购礼包礼包聚合1,2025情人节-节日礼包4,,4,602.5224000000001,10
20250416-20250419-4,超R,直购礼包礼包聚合1,2025情人节-节日礼包6,,3,620.1792,5
20250214-20250218-5,中R,直购礼包礼包聚合1,2025情人节-节日礼包7,,2,960.0,3
20241219-20241222-4,小R,直购礼包礼包聚合1,2024情人节稀有礼包4.99-300金币,,7,435.13439999999997,7
20250428-20250501-4,微R,直购礼包礼包聚合1,2024情人节稀有礼包4.99-320金币(新,,2,67.7326,2
20250428-20250501-4,小R,直购礼包礼包聚合1,2024情人节信物礼包2,,5,1000.3584,8
20241219-20241222-4,小R,抽奖每日渠道,购买,2024-12-19,5,126.0,21
20250121-20250124-4,非R,抽奖每日渠道,购买,2025-01-22,1,510.0,15
20241127-20241201-5,超R,抽奖每日渠道,玩家付费,2024-12-01,17,100.0,37
20241127-20241201-5,小R,抽奖每日渠道,引导奖励,2024-12-01,93,1381.0,238
20250223-20250226-4,大R,抽奖每日渠道,玩家付费,2025-02-25,33,151.0,96
20250104-20250107-4,超R,抽奖每日渠道,引导奖励,2025-01-06,9,203.0,36
