start_natualweek,end_natualweek,natual_week,reason_type,reason,reason_cn,last1_paytag,users,core_add,core_cost
2024-11-18,2024-11-24,1118-1124,other,434,购买计策道具,大R,15,,8980.0
2024-12-16,2024-12-22,1216-1222,gold_free,602,荣誉殿堂,非R,1838,2432100.0,
2024-12-16,2024-12-22,1216-1222,gold_free,602,荣誉殿堂,小R,167,219200.0,
2024-12-16,2024-12-22,1216-1222,gold_free,310,排位赛每日任务,微R,247,81580.0,
2024-12-16,2024-12-22,1216-1222,gold_free,387,驿站任务完成,大R,50,215700.0,
2024-12-16,2024-12-22,1216-1222,special,316,兑换,非R,814,10.0,4212150.0
2024-12-16,2024-12-22,1216-1222,other,389,购买驿站刷新次数,中R,139,,155850.0
2024-12-16,2024-12-22,1216-1222,other,926,设置武将化境技能,大R,10,,1600.0
2024-10-07,2024-10-13,1007-1013,other,609,限定募集活动,非R,406,,1651800.0
2024-10-14,2024-10-20,1014-1020,other,388,购买驿站派遣次数,非R,281,,193500.0
2024-10-21,2024-10-27,1021-1027,other,405,s21赛季及以后的赛季UR,非R,76,,167000.0
2024-10-21,2024-10-27,1021-1027,special,15,使用道具,小R,128,135344.0,
2024-11-11,2024-11-17,1111-1117,gold_free,191,副本星星宝箱,非R,50,6550.0,
2024-11-11,2024-11-17,1111-1117,gold_free,387,驿站任务完成,小R,173,641310.0,
2024-11-18,2024-11-24,1118-1124,gold_paid,194,月卡奖励,微R,134,135550.0,
2024-11-18,2024-11-24,1118-1124,gold_free,602,荣誉殿堂,非R,1883,2685000.0,
2024-11-18,2024-11-24,1118-1124,gold_free,310,排位赛每日任务,小R,171,60840.0,
2024-12-30,2025-01-05,1230-0105,other,230,扫荡立即完成,非R,11,,12495.0
2024-11-25,2024-12-01,1125-1201,other,200,重置精英副本,非R,40,,2300.0
2024-10-28,2024-11-03,1028-1103,special,316,兑换,超R,16,,461700.0
2024-11-11,2024-11-17,1111-1117,other,618,城池内政放置奖励,微R,17,,5400.0
2025-01-13,2025-01-19,0113-0119,other,389,购买驿站刷新次数,大R,49,,66150.0
2024-12-16,2024-12-22,1216-1222,other,388,购买驿站派遣次数,非R,250,,182700.0
2025-02-24,2025-03-02,0224-0302,gold_paid,362,充值签到,中R,79,11000.0,
2024-12-23,2024-12-29,1223-1229,special,316,兑换,中R,161,10.0,1754700.0
2024-12-23,2024-12-29,1223-1229,other,375,战鼓升星,微R,19,,244000.0
2025-01-27,2025-02-02,0127-0202,gold_free,387,驿站任务完成,微R,268,921380.0,
2025-01-27,2025-02-02,0127-0202,gold_free,196,每日任务奖励,大R,44,59070.0,
2025-01-06,2025-01-12,0106-0112,gold_paid,4,玩家付费,小R,61,127600.0,
2024-11-18,2024-11-24,1118-1124,other,401,高级招募,非R,11,,13200.0
2025-01-13,2025-01-19,0113-0119,gold_free,372,战斗结算宝箱开启,小R,111,38480.0,2932.0
2025-01-13,2025-01-19,0113-0119,gold_free,196,每日任务奖励,中R,184,240290.0,
2024-12-16,2024-12-22,1216-1222,other,371,购买武将体力,大R,16,800.0,41600.0
2025-02-03,2025-02-09,0203-0209,other,243,战旗挂机立即完成,非R,64,,14523.0
2024-12-23,2024-12-29,1223-1229,other,473,国宝高级招募,未活跃,1,,2000.0
2024-12-23,2024-12-29,1223-1229,other,375,战鼓升星,小R,7,,111000.0
2025-03-17,2025-03-23,0317-0323,gold_free,310,排位赛每日任务,非R,1363,389100.0,
2025-03-17,2025-03-23,0317-0323,gold_free,372,战斗结算宝箱开启,小R,103,49240.0,3883.0
2025-04-28,2025-05-04,0428-0504,other,325,政务活动建设,微R,9,,20800.0
2025-01-13,2025-01-19,0113-0119,gold_free,103,周签到,未活跃,50,9000.0,
2025-02-17,2025-02-23,0217-0223,special,15,使用道具,大R,38,83500.0,
2025-04-07,2025-04-13,0407-0413,gold_free,196,每日任务奖励,小R,123,154450.0,
2025-05-12,2025-05-18,0512-0518,gold_free,196,每日任务奖励,小R,159,200980.0,
2025-01-27,2025-02-02,0127-0202,other,350,俘虏勒索,小R,1,,748.0
2025-02-10,2025-02-16,0210-0216,other,325,政务活动建设,非R,37,,78600.0
2025-04-14,2025-04-20,0414-0420,gold_paid,194,月卡奖励,微R,119,317150.0,
2025-05-12,2025-05-18,0512-0518,other,405,s21赛季及以后的赛季UR,未活跃,9,,12600.0
2025-05-12,2025-05-18,0512-0518,other,405,s21赛季及以后的赛季UR,大R,2,,2200.0
2025-03-31,2025-04-06,0331-0406,other,907,圣诞-通行证,小R,4,2700.0,
2025-05-26,2025-06-01,0526-0601,gold_free,310,排位赛每日任务,非R,509,28640.0,
2025-04-07,2025-04-13,0407-0413,other,618,城池内政放置奖励,中R,13,,15000.0
2025-04-21,2025-04-27,0421-0427,other,434,购买计策道具,非R,250,,122220.0
2025-04-21,2025-04-27,0421-0427,other,389,购买驿站刷新次数,微R,166,,164450.0
2025-05-19,2025-05-25,0519-0525,other,621,活动兑换,中R,45,,36900.0
2025-04-07,2025-04-13,0407-0413,special,15,使用道具,中R,136,400880.0,
2025-05-26,2025-06-01,0526-0601,gold_free,103,周签到,非R,400,60500.0,
2025-03-03,2025-03-09,0303-0309,other,433,购买银币,非R,74,,25600.0
2025-03-31,2025-04-06,0331-0406,other,168,购买通行证2等级,微R,22,,62000.0
2025-05-05,2025-05-11,0505-0511,other,473,国宝高级招募,非R,28,,19000.0
2024-11-18,2024-11-24,1118-1124,other,621,活动兑换,非R,30,,57100.0
2024-10-07,2024-10-13,1007-1013,gold_free,103,周签到,大R,53,10500.0,
2024-11-11,2024-11-17,1111-1117,gold_free,239,家族战积分奖励,中R,36,21900.0,
2024-12-09,2024-12-15,1209-1215,gold_free,310,排位赛每日任务,大R,48,17580.0,
2024-12-30,2025-01-05,1230-0105,special,316,兑换,大R,54,,1052800.0
2025-01-20,2025-01-26,0120-0126,gold_free,387,驿站任务完成,大R,54,222950.0,
2024-10-28,2024-11-03,1028-1103,other,371,购买武将体力,非R,21,,26200.0
2025-01-27,2025-02-02,0127-0202,gold_free,239,家族战积分奖励,小R,74,34100.0,
2025-02-17,2025-02-23,0217-0223,other,200,重置精英副本,中R,3,,50.0
2024-10-21,2024-10-27,1021-1027,other,676,竞技场主动随机消耗,超R,1,,50.0
2025-01-06,2025-01-12,0106-0112,other,431,购买体力,非R,103,,142320.0
2025-02-17,2025-02-23,0217-0223,other,432,购买天赋点,非R,3,,1100.0
2025-02-10,2025-02-16,0210-0216,gold_paid,362,充值签到,中R,75,10800.0,
2025-03-31,2025-04-06,0331-0406,other,431,购买体力,中R,8,,8040.0
2025-02-10,2025-02-16,0210-0216,special,316,兑换,小R,136,10.0,1513570.0
2025-03-24,2025-03-30,0324-0330,gold_free,310,排位赛每日任务,大R,41,15320.0,
2024-12-23,2024-12-29,1223-1229,gold_paid,362,充值签到,大R,38,5600.0,
2025-02-03,2025-02-09,0203-0209,other,471,神威高级招募,非R,29,,26800.0
2025-04-21,2025-04-27,0421-0427,other,654,神魔活动副本购买次数,超R,17,,29200.0
2025-03-10,2025-03-16,0310-0316,gold_free,387,驿站任务完成,未活跃,14,5020.0,
2025-05-12,2025-05-18,0512-0518,gold_paid,362,充值签到,大R,23,5100.0,
2025-04-21,2025-04-27,0421-0427,gold_free,191,副本星星宝箱,小R,1,150.0,
2025-02-10,2025-02-16,0210-0216,gold_paid,19601,月度活跃,非R,17,8500.0,
2024-12-16,2024-12-22,1216-1222,other,945,团购金币购买,非R,50,,47500.0
2024-10-28,2024-11-03,1028-1103,other,471,神威高级招募,中R,5,,6200.0
2024-12-02,2024-12-08,1202-1208,other,405,s21赛季及以后的赛季UR,非R,80,,205600.0
2025-02-10,2025-02-16,0210-0216,other,621,活动兑换,超R,7,,8200.0
2024-11-25,2024-12-01,1125-1201,other,609,限定募集活动,小R,21,,98000.0
2025-02-03,2025-02-09,0203-0209,gold_paid,192,充值赠送,非R,2,80.0,
2024-12-23,2024-12-29,1223-1229,other,358,俘虏劳役,非R,1,,100.0
2025-03-17,2025-03-23,0317-0323,other,168,购买通行证2等级,大R,2,,2000.0
2024-10-14,2024-10-20,1014-1020,other,621,活动兑换,微R,2,,3400.0
2024-11-11,2024-11-17,1111-1117,gold_free,193,八日活动奖励,未活跃,9,3860.0,
2024-10-28,2024-11-03,1028-1103,other,434,购买计策道具,小R,29,,20790.0
2024-10-07,2024-10-13,1007-1013,other,926,设置武将化境技能,超R,5,,1300.0
2024-10-14,2024-10-20,1014-1020,other,375,战鼓升星,微R,3,,88000.0
2025-02-17,2025-02-23,0217-0223,gold_free,387,驿站任务完成,大R,44,173700.0,
2025-01-27,2025-02-02,0127-0202,other,365,兵装生产加速,微R,56,,7548.0
2025-05-19,2025-05-25,0519-0525,other,621,活动兑换,未活跃,4,,4800.0
2025-04-14,2025-04-20,0414-0420,other,609,限定募集活动,大R,3,,12000.0
2025-05-05,2025-05-11,0505-0511,other,657,商店消费,大R,9,,30706.0
2024-10-21,2024-10-27,1021-1027,other,657,商店消费,大R,15,,45050.0
2025-02-03,2025-02-09,0203-0209,other,433,购买银币,微R,8,,2000.0
2025-01-27,2025-02-02,0127-0202,other,657,商店消费,中R,26,,70700.0
2025-02-24,2025-03-02,0224-0302,other,473,国宝高级招募,中R,8,,7200.0
2025-05-12,2025-05-18,0512-0518,other,168,购买通行证2等级,微R,10,,18000.0
2025-03-03,2025-03-09,0303-0309,other,420,购买VIP礼包,非R,6,,2624.0
2025-05-19,2025-05-25,0519-0525,gold_paid,192,充值赠送,大R,4,18800.0,
2025-04-21,2025-04-27,0421-0427,gold_free,191,副本星星宝箱,非R,23,1750.0,
2024-10-21,2024-10-27,1021-1027,special,316,兑换,超R,13,,241600.0
2025-01-27,2025-02-02,0127-0202,other,618,城池内政放置奖励,超R,6,,54900.0
2025-01-20,2025-01-26,0120-0126,gold_free,387,驿站任务完成,未活跃,27,20680.0,
2025-04-07,2025-04-13,0407-0413,gold_paid,19601,月度活跃,非R,10,5000.0,
2025-03-03,2025-03-09,0303-0309,gold_free,101,任务,非R,15,1470.0,
2024-12-09,2024-12-15,1209-1215,other,365,兵装生产加速,小R,38,8.0,3723.0
2024-10-07,2024-10-13,1007-1013,other,471,神威高级招募,中R,3,,1000.0
2024-11-04,2024-11-10,1104-1110,other,944,战旗等级交换活动,微R,9,,3000.0
2025-03-24,2025-03-30,0324-0330,gold_free,191,副本星星宝箱,微R,3,300.0,
2025-05-05,2025-05-11,0505-0511,other,224,主城加速升级,微R,8,,324.0
2025-03-10,2025-03-16,0310-0316,other,383,家族战天赋树,非R,4,,0.0
2024-10-14,2024-10-20,1014-1020,gold_free,372,战斗结算宝箱开启,未活跃,21,3270.0,1439.0
2025-01-13,2025-01-19,0113-0119,gold_free,305,家族红包领取,大R,10,20610.0,
