act_tag,pay_tag,type,dis_type1,dis_type2,users,target_sum,target_count
20241211-20241214-4,超R,兑换情况,神魔UR碎片自选,,1,4.0,1
20241231-20250103-4,微R,直购礼包礼包聚合2,微R,,9,7679.057399999995,34
20250202-20250205-4,中R,直购礼包礼包聚合1,神魔-绘马礼包1,,13,3255.716100000002,99
20241231-20250103-4,超R,直购礼包礼包聚合1,神魔-绘马礼包3,,3,10496.8576,17
20250428-20250501-4,中R,直购礼包礼包聚合1,神魔-绘马礼包4,,1,120.0,2
20241211-20241214-4,非R,道具获得2,1,购买,4,874.0,59
20241231-20250103-4,小R,道具获得2,1,购买,11,416.0,51
20241231-20250103-4,超R,道具获得2,3,引导奖励,8,465.0,60
20241231-20250103-4,超R,道具获得1,购买,,6,1512.0,34
20250514-20250517-4,大R,道具获得1,引导奖励,,13,695.0,86
20250428-20250501-4,超R,道具获得2,3,引导奖励,8,540.0,70
20250514-20250517-4,大R,道具获得2,3,引导奖励,13,695.0,86
20241211-20241214-4,非R,兑换情况,橙色装备宝箱,,2,4.0,4
20250514-20250517-4,大R,直购礼包礼包聚合2,大R,,2,1603.1343999999997,19
20250214-20250217-4,未活跃,直购礼包礼包聚合1,神魔-绘马礼包2,,2,250.0896,2
20241211-20241214-4,微R,直购礼包礼包聚合1,神魔-绘马礼包3,,1,1844.4107999999999,3
20250514-20250517-4,大R,直购礼包礼包聚合1,神魔-绘马礼包3,,1,660.0,1
20241231-20250103-4,未活跃,道具获得1,引导奖励,,35,1350.0,160
20241211-20241214-4,微R,道具获得2,1,购买,2,246.0,4
20241231-20250103-4,大R,道具获得1,购买,,7,382.0,57
20250214-20250217-4,非R,道具获得2,4,玩家付费,1337,25870.0,14822
20250214-20250217-4,中R,道具获得1,玩家付费,,146,5084.0,2873
20250214-20250217-4,微R,道具获得1,引导奖励,,143,5035.0,599
20241211-20241214-4,未活跃,道具获得1,购买,,1,6.0,1
20250202-20250205-4,中R,道具获得2,3,引导奖励,88,4585.0,570
20241231-20250103-4,未活跃,道具获得2,1,购买,1,272.0,5
20241211-20241214-4,超R,兑换情况,银币,,5,500000.0,5
20241211-20241214-4,未活跃,兑换情况,初级升阶道具,,1,20.0,1
20250202-20250205-4,非R,直购礼包礼包聚合1,神魔-绘马礼包1,,3,457.3315000000001,14
20241211-20241214-4,大R,道具获得2,4,玩家付费,34,1655.0,878
20241231-20250103-4,大R,道具获得2,1,购买,7,382.0,57
20250428-20250501-4,大R,道具获得1,引导奖励,,18,780.0,105
20250428-20250501-4,超R,道具获得1,引导奖励,,8,540.0,70
20250214-20250217-4,微R,道具获得2,3,引导奖励,143,5035.0,599
20250514-20250517-4,未活跃,道具获得2,4,玩家付费,18,269.0,148
20241211-20241214-4,小R,兑换情况,神魔UR碎片自选,,2,2.0,2
20250428-20250501-4,大R,直购礼包礼包聚合2,大R,,4,1724.0,26
20241211-20241214-4,中R,直购礼包礼包聚合2,中R,,13,19771.3139,185
20250514-20250517-4,超R,直购礼包礼包聚合1,神魔-绘马礼包1,,3,261.5989,8
20250202-20250205-4,小R,道具获得1,玩家付费,,157,4970.0,2833
20250428-20250501-4,超R,道具获得2,4,玩家付费,15,719.0,328
20250514-20250517-4,小R,直购礼包礼包聚合1,神魔-绘马礼包1,,4,438.3956000000001,13
20250428-20250501-4,非R,道具获得1,购买,,2,60.0,10
