act_tag,pay_tag,type,dis_type1,dis_type2,users,target_sum,target_count
20250104-20250106-3,中R,直购礼包礼包聚合1,团购礼包-320日元,,1,16.67264,1
20250104-20250106-3,超R,直购礼包礼包聚合1,团购礼包-1200日元,,1,1062.8807999999997,17
20250104-20250106-3,大R,直购礼包礼包聚合1,团购礼包-6000日元,,4,5329.180000000001,17
20241207-20241210-4,中R,直购礼包礼包聚合1,团购礼包-6000日元,,4,3475.6720000000005,11
20250514-20250516-3,超R,直购礼包礼包聚合1,团购礼包-6000日元,,3,10210.448,32
20250104-20250106-3,大R,直购礼包礼包聚合1,团购礼包-1200日元,,3,747.7463999999999,12
20250104-20250106-3,小R,直购礼包礼包聚合1,团购礼包-320日元,,1,16.0,1
20250412-20250414-3,中R,直购礼包礼包聚合1,团购礼包-6000日元,,3,952.6120000000001,3
20250328-20250330-3,中R,直购礼包礼包聚合1,团购礼包-2400日元,,6,850.0896,7
20241127-20241130-4,未活跃,直购礼包礼包聚合1,团购礼包-2400日元,,1,125.0448,1
20250412-20250414-3,中R,直购礼包礼包聚合2,中R,,18,4327.3742999999995,46
20250514-20250516-3,中R,直购礼包礼包聚合1,团购礼包-1200日元,,3,750.2687999999998,12
20241227-20241229-3,中R,直购礼包礼包聚合1,团购礼包-1200日元,,6,560.1792,9
20241207-20241210-4,超R,直购礼包礼包聚合1,团购礼包-6000日元,,2,4763.06,15
20250210-20250212-3,大R,直购礼包礼包聚合1,团购礼包-2400日元,,3,4475.3135999999995,37
20241127-20241130-4,小R,直购礼包礼包聚合1,团购礼包-1200日元,,1,312.61199999999997,5
20241220-20241222-3,中R,直购礼包礼包聚合1,团购礼包-1200日元,,6,677.6567999999999,11
20250210-20250212-3,超R,直购礼包礼包聚合1,团购礼包-320日元,,2,66.01792,4
20250210-20250212-3,中R,直购礼包礼包聚合1,团购礼包-6000日元,,3,4152.612,13
20250223-20250225-3,小R,直购礼包礼包聚合1,团购礼包-1200日元,,2,122.5224,2
20250330-20250401-3,微R,直购礼包礼包聚合1,团购礼包-1200日元,,2,125.0448,2
20250514-20250516-3,小R,直购礼包礼包聚合1,团购礼包-1200日元,,3,312.61199999999997,5
20241127-20241130-4,中R,直购礼包礼包聚合1,团购礼包-1200日元,,8,990.2687999999996,16
20250328-20250330-3,超R,直购礼包礼包聚合1,团购礼包-1200日元,,1,60.0,1
20250328-20250330-3,非R,直购礼包礼包聚合2,非R,,1,312.612,1
20250330-20250401-3,大R,直购礼包礼包聚合1,团购礼包-2400日元,,7,6046.478399999998,49
20250412-20250414-3,大R,直购礼包礼包聚合1,团购礼包-11800日元,,1,614.8036,1
20241227-20241229-3,大R,直购礼包礼包聚合1,团购礼包-320日元,,1,16.0,1
20241227-20241229-3,小R,直购礼包礼包聚合1,团购礼包-1200日元,,5,437.6568,7
20250330-20250401-3,超R,直购礼包礼包聚合1,团购礼包-2400日元,,6,6726.119999999999,55
20250328-20250330-3,非R,直购礼包礼包聚合1,团购礼包-6000日元,,1,312.612,1
20250104-20250106-3,大R,直购礼包礼包聚合2,大R,,6,6076.926399999999,29
20250330-20250401-3,超R,直购礼包礼包聚合2,超R,,10,21263.688599999994,113
20241220-20241222-3,超R,直购礼包礼包聚合1,团购礼包-6000日元,,7,17474.404,55
20250412-20250414-3,大R,直购礼包礼包聚合1,团购礼包-6000日元,,5,6281.792000000001,20
20250514-20250516-3,微R,直购礼包礼包聚合2,微R,,2,125.0448,2
20241207-20241210-4,中R,直购礼包礼包聚合1,团购礼包-1200日元,,6,937.8359999999997,15
20241227-20241229-3,超R,直购礼包礼包聚合1,团购礼包-320日元,,2,231.39904,14
20241127-20241130-4,非R,直购礼包礼包聚合1,团购礼包-320日元,,4,64.0,4
20250330-20250401-3,小R,直购礼包礼包聚合2,小R,,1,32.0,1
20241207-20241210-4,超R,直购礼包礼包聚合1,团购礼包-2400日元,,3,2045.0448,17
20250223-20250225-3,中R,直购礼包礼包聚合1,团购礼包-1200日元,,5,812.7911999999998,13
20250210-20250212-3,小R,直购礼包礼包聚合1,团购礼包-1200日元,,1,60.0,1
20250330-20250401-3,大R,直购礼包礼包聚合1,团购礼包-6000日元,,3,2500.896,8
20250330-20250401-3,小R,直购礼包礼包聚合1,团购礼包-650日元,,1,32.0,1
20250412-20250414-3,大R,直购礼包礼包聚合1,团购礼包-2400日元,,5,1345.224,11
20250223-20250225-3,微R,直购礼包礼包聚合1,团购礼包-650日元,,5,203.1978,6
20241207-20241210-4,非R,直购礼包礼包聚合1,团购礼包-320日元,,1,16.0,1
20241220-20241222-3,非R,直购礼包礼包聚合1,团购礼包-320日元,,1,16.0,1
20250330-20250401-3,大R,直购礼包礼包聚合1,团购礼包-650日元,,6,1323.1977999999997,41
20250412-20250414-3,中R,直购礼包礼包聚合1,团购礼包-650日元,,4,513.8663,16
20250330-20250401-3,中R,直购礼包礼包聚合2,中R,,24,7297.899499999995,100
20241227-20241229-3,中R,直购礼包礼包聚合1,团购礼包-6000日元,,5,4137.836,13
20250223-20250225-3,中R,直购礼包礼包聚合1,团购礼包-650日元,,20,2233.855299999999,68
20250223-20250225-3,大R,直购礼包礼包聚合1,团购礼包-2400日元,,3,4350.2688,36
20241127-20241130-4,中R,直购礼包礼包聚合1,团购礼包-6000日元,,1,312.612,1
20241127-20241130-4,微R,直购礼包礼包聚合1,团购礼包-320日元,,1,16.0,1
20250514-20250516-3,中R,直购礼包礼包聚合2,中R,,13,3635.4377000000004,57
20241220-20241222-3,超R,直购礼包礼包聚合1,团购礼包-1200日元,,2,305.0448,5
20250514-20250516-3,大R,直购礼包礼包聚合1,团购礼包-6000日元,,3,2820.896,9
20250514-20250516-3,中R,直购礼包礼包聚合1,团购礼包-650日元,,9,1332.5293000000001,41
20250330-20250401-3,超R,直购礼包礼包聚合1,团购礼包-1200日元,,1,60.0,1
20241220-20241222-3,中R,直购礼包礼包聚合1,团购礼包-6000日元,,4,1897.8360000000002,6
20241227-20241229-3,超R,直购礼包礼包聚合1,团购礼包-2400日元,,2,600.0,5
20250514-20250516-3,中R,直购礼包礼包聚合1,团购礼包-6000日元,,2,937.836,3
