act_tag,pay_tag,type,dis_type1,dis_type2,users,target_sum,target_count
20241220-20241222-3,大R,兑换情况,速度金色装备随机宝箱,,1,2.0,1
20250129-20250131-3,大R,兑换情况,SSR+将魂,,11,107.0,16
20250129-20250131-3,微R,兑换情况,银币,,2,750000.0,2
20241024-20241027-4,非R,兑换情况,S4石川五右卫门SSR(碎片),,3,8.0,3
20241024-20241027-4,超R,兑换情况,银币,,1,1500000.0,1
20250416-20250418-3,超R,兑换情况,玉钢,,1,30000.0,1
20250227-20250301-3,非R,兑换情况,君主体力 +120(被gameconstantset引用),,16,111.0,20
20250416-20250418-3,微R,概率,4,,52,73692.0,157
20250416-20250418-3,超R,概率,10,,18,1548880.0,46
20250227-20250301-3,小R,概率,2,,51,109738.0,274
20241220-20241222-3,非R,概率,4,,191,289096.0,491
20250416-20250418-3,微R,直购礼包礼包聚合1,倍率转盘-游戏币礼包1,,1,96.0,3
20241111-20241114-4,大R,直购礼包礼包聚合2,大R,,11,11695.382599999994,103
20241111-20241114-4,大R,兑换情况,4阶符文随机包,,1,1.0,1
20241220-20241222-3,大R,兑换情况,火精（神武升星突破道具）,,14,700.0,31
20241220-20241222-3,微R,兑换情况,SSR+将魂,,33,828.0,47
20241024-20241027-4,小R,兑换情况,银币,,1,300000.0,1
20241024-20241027-4,大R,兑换情况,S12本愿寺显如SSR+(碎片),,1,2.0,1
20250416-20250418-3,未活跃,概率,9,,1,18.0,1
20241220-20241222-3,微R,概率,4,,44,72676.0,120
20250227-20250301-3,非R,道具获得1,兑换,,317,11708.0,1370
20241220-20241222-3,小R,兑换情况,银币,,2,1200000.0,2
20250129-20250131-3,非R,兑换情况,4阶符文随机包,,1,1.0,1
20250416-20250418-3,大R,兑换情况,君主体力 +120(被gameconstantset引用),,2,12.0,2
20250416-20250418-3,中R,兑换情况,化境研习橙色道具,,12,230.0,12
20250227-20250301-3,中R,概率,5,,71,15851920.0,975
20250227-20250301-3,大R,概率,7,,21,3498810.0,102
20241111-20241114-4,微R,概率,8,,41,1956968.0,102
20241220-20241222-3,未活跃,概率,9,,8,478926.0,12
20241220-20241222-3,未活跃,概率,7,,8,1246952.0,20
20250227-20250301-3,大R,道具获得1,倍率转盘,,8,628.0,47
20241024-20241027-4,小R,道具获得1,倍率转盘,,1,70.0,10
20241220-20241222-3,中R,直购礼包礼包聚合1,倍率转盘-游戏币礼包1,,7,2198.3956,68
20250129-20250131-3,微R,兑换情况,火精（神武升星突破道具）,,11,280.0,13
20241024-20241027-4,未活跃,兑换情况,君主体力 +120(被gameconstantset引用),,1,1.0,1
20241024-20241027-4,非R,兑换情况,S5杂贺孙市SSR(碎片),,2,7.0,2
20250227-20250301-3,大R,兑换情况,君主体力 +120(被gameconstantset引用),,2,45.0,2
20250416-20250418-3,小R,概率,8,,32,1766816.0,85
20241024-20241027-4,微R,概率,4,,90,36544.0,336
20250129-20250131-3,大R,概率,5,,26,8650110.0,483
20241111-20241114-4,微R,概率,2,,54,176002.0,291
20241111-20241114-4,小R,概率,4,,29,41484.0,90
20241024-20241027-4,大R,直购礼包礼包聚合1,倍率转盘-游戏币礼包2,,1,240.0,2
20241024-20241027-4,中R,直购礼包礼包聚合1,倍率转盘-游戏币礼包4,,1,375.13439999999997,6
20250227-20250301-3,中R,直购礼包礼包聚合2,中R,,8,1948.1984999999993,49
20241111-20241114-4,非R,兑换情况,金色阵石,,2,2.0,2
20241220-20241222-3,超R,兑换情况,火精（神武升星突破道具）,,12,570.0,25
20250416-20250418-3,大R,兑换情况,UR将魂,,15,123.0,19
20250227-20250301-3,微R,兑换情况,化境研习橙色道具,,14,290.0,17
20250416-20250418-3,超R,概率,20,,16,3124880.0,40
20241024-20241027-4,非R,概率,10,,344,169490.0,850
20250227-20250301-3,超R,概率,4,,18,56420.0,139
20250129-20250131-3,小R,概率,7,,25,1322846.0,61
20241220-20241222-3,大R,概率,8,,23,1791432.0,91
20250129-20250131-3,未活跃,道具获得1,兑换,,7,236.0,29
20241024-20241027-4,中R,兑换情况,S8大内义兴SSR(碎片),,1,1.0,1
20241111-20241114-4,未活跃,兑换情况,火精（神武升星突破道具）,,5,310.0,13
20241111-20241114-4,微R,兑换情况,UR将魂,,6,76.0,7
20250129-20250131-3,微R,兑换情况,圣诞金币随机包·大,,8,29.0,18
20250129-20250131-3,大R,兑换情况,火精（神武升星突破道具）,,9,310.0,15
20241024-20241027-4,超R,兑换情况,君主体力 +120(被gameconstantset引用),,2,22.0,2
20250129-20250131-3,大R,兑换情况,银币,,1,600000.0,1
20250416-20250418-3,微R,兑换情况,化境研习橙色道具,,2,20.0,2
20241024-20241027-4,大R,兑换情况,S26畠山高政SSR+(碎片),,1,41.0,2
20250227-20250301-3,小R,兑换情况,化境研习金色道具,,2,30.0,2
20250227-20250301-3,微R,兑换情况,君主体力 +120(被gameconstantset引用),,4,49.0,5
20250416-20250418-3,大R,概率,3,,21,35187.0,68
20250227-20250301-3,非R,概率,2,,261,509964.0,1181
20250227-20250301-3,大R,概率,9,,18,1208142.0,28
20250227-20250301-3,超R,概率,20,,15,3270560.0,47
20250129-20250131-3,非R,概率,5,,306,32457370.0,2002
20250129-20250131-3,中R,概率,20,,21,2574480.0,27
20250129-20250131-3,未活跃,概率,20,,2,30080.0,2
20241111-20241114-4,未活跃,概率,9,,5,225117.0,5
20241220-20241222-3,小R,概率,5,,37,6366620.0,353
20241220-20241222-3,大R,概率,20,,12,2569360.0,30
20241220-20241222-3,未活跃,概率,6,,12,638268.0,46
20250227-20250301-3,超R,直购礼包礼包聚合1,倍率转盘-游戏币礼包2,,8,5320.358399999998,44
