act_tag,pay_tag,type,dis_type1,dis_type2,users,target_sum,target_count
20241223-20241226-4,中R,直购礼包礼包聚合1,4.99-32珍珠,,4,169.3315,5
20241116-20241119-4,微R,直购礼包礼包聚合1,0.99-4珍珠,,1,8.33632,1
20241223-20241226-4,超R,直购礼包礼包聚合2,超R,,8,26543.88491999999,43
20250307-20250310-4,微R,直购礼包礼包聚合2,微R,,3,1904.8491199999999,4
20250303-20250306-4,大R,直购礼包礼包聚合1,660网页充值,,4,5256.57078,9
20241102-20241105-4,超R,直购礼包礼包聚合1,49.99-320珍珠,,2,1250.448,4
20241227-20241230-4,大R,直购礼包礼包聚合1,49.99-320珍珠,,2,937.836,3
20241215-20241218-4,大R,直购礼包礼包聚合1,19.99-120珍珠,,1,375.13439999999997,3
20250307-20250310-4,小R,直购礼包礼包聚合1,9.99-60珍珠,,1,125.0448,2
20241128-20241201-4,小R,直购礼包礼包聚合1,4.99-32珍珠,,2,67.7326,2
20241207-20241210-4,大R,直购礼包礼包聚合1,99.99-660珍珠,,5,11066.464799999998,18
20241102-20241105-4,小R,直购礼包礼包聚合1,49.99-320珍珠,,1,312.612,1
20241123-20241126-4,大R,直购礼包礼包聚合1,0.99-4珍珠,,1,16.67264,2
20241128-20241201-4,中R,直购礼包礼包聚合1,60网页充值,,2,118.79256,2
20241128-20241201-4,大R,直购礼包礼包聚合1,1320网页充值,,2,2336.25368,2
20241215-20241218-4,大R,直购礼包礼包聚合1,60网页充值,,1,59.39628,1
20250315-20250318-4,超R,直购礼包礼包聚合1,19.99-120珍珠,,2,375.13439999999997,3
20241116-20241119-4,中R,直购礼包礼包聚合1,19.99-120珍珠,,6,1000.3584,8
20241116-20241119-4,大R,直购礼包礼包聚合1,19.99-120珍珠,,3,750.2687999999999,6
20250307-20250310-4,超R,直购礼包礼包聚合1,99.99-660珍珠,,7,26436.55479999998,43
20241207-20241210-4,中R,直购礼包礼包聚合1,49.99-320珍珠,,5,2188.284,7
20241207-20241210-4,中R,直购礼包礼包聚合1,9.99-60珍珠,,5,437.6568,7
20241128-20241201-4,非R,直购礼包礼包聚合1,4.99-32珍珠,,1,67.7326,2
20241123-20241126-4,小R,直购礼包礼包聚合1,9.99-60珍珠,,3,250.0896,4
20241123-20241126-4,中R,直购礼包礼包聚合1,19.99-120珍珠,,5,1375.4927999999998,11
20250303-20250306-4,超R,直购礼包礼包聚合1,0.99-4珍珠,,1,91.69952,11
20250327-20250330-4,中R,直购礼包礼包聚合1,4.99-32珍珠,,7,880.5238000000004,26
20241123-20241126-4,超R,直购礼包礼包聚合1,49.99-320珍珠,,1,937.836,3
20250223-20250226-4,超R,直购礼包礼包聚合1,19.99-120珍珠,,1,375.13439999999997,3
20250307-20250310-4,超R,直购礼包礼包聚合1,19.99-120珍珠,,2,625.2239999999999,5
20241227-20241230-4,超R,直购礼包礼包聚合1,660网页充值,,1,584.06342,1
20241215-20241218-4,小R,直购礼包礼包聚合1,660网页充值,,1,584.06342,1
20241227-20241230-4,小R,直购礼包礼包聚合1,9.99-60珍珠,,4,375.13439999999997,6
20241223-20241226-4,中R,直购礼包礼包聚合1,9.99-60珍珠,,5,500.1792,8
20241211-20241214-4,超R,直购礼包礼包聚合1,0.99-4珍珠,,1,41.6816,5
20241116-20241119-4,中R,直购礼包礼包聚合1,1320网页充值,,3,4672.50736,4
20250327-20250330-4,超R,直购礼包礼包聚合1,1320网页充值,,1,2336.25368,2
20241227-20241230-4,小R,直购礼包礼包聚合1,120网页充值,,1,118.79256,1
20241102-20241105-4,超R,直购礼包礼包聚合1,0.99-4珍珠,,1,16.67264,2
20241102-20241105-4,超R,直购礼包礼包聚合1,99.99-660珍珠,,3,12296.071999999996,20
20241215-20241218-4,大R,直购礼包礼包聚合1,4.99-32珍珠,,4,338.66300000000007,10
20250303-20250306-4,大R,直购礼包礼包聚合1,49.99-320珍珠,,4,1563.0600000000002,5
20250223-20250226-4,超R,直购礼包礼包聚合1,0.99-4珍珠,,1,16.67264,2
20250315-20250318-4,超R,直购礼包礼包聚合2,超R,,8,45504.84475999998,68
20241116-20241119-4,非R,直购礼包礼包聚合2,非R,,3,786.7402,5
