act_tag,pay_tag,type,dis_type1,dis_type2,users,target_sum,target_count
20250202-20250216-15,微R,直购礼包礼包聚合2,微R,,60,10016.857599999988,73
20250501-20250515-15,小R,直购礼包礼包聚合1,签到礼包2,,42,5241.791999999998,42
20250227-20250313-15,中R,直购礼包礼包聚合1,签到礼包3,,64,20154.927999999993,64
20250501-20250515-15,中R,直购礼包礼包聚合2,中R,,114,71726.0248000001,234
20250101-20250115-15,中R,直购礼包礼包聚合1,签到礼包4,,78,48542.23399999997,78
20250227-20250313-15,大R,直购礼包礼包聚合1,签到礼包3,,29,9169.179999999998,29
20250202-20250216-15,中R,直购礼包礼包聚合1,签到礼包4,,83,52023.019599999956,83
20250101-20250115-15,未活跃,直购礼包礼包聚合1,签到礼包1,,8,497.65680000000003,8
20250501-20250515-15,大R,直购礼包礼包聚合2,大R,,31,27382.4676,92
20250202-20250216-15,超R,直购礼包礼包聚合2,超R,,16,16107.374399999993,55
20250202-20250216-15,未活跃,直购礼包礼包聚合1,签到礼包1,,4,247.5672,4
20250501-20250515-15,微R,直购礼包礼包聚合1,签到礼包1,,12,747.7463999999999,12
20250227-20250313-15,中R,直购礼包礼包聚合1,签到礼包4,,76,47538.60879999997,76
20250227-20250313-15,未活跃,直购礼包礼包聚合1,签到礼包4,,1,614.8036,1
20250501-20250515-15,小R,直购礼包礼包聚合1,签到礼包1,,29,1808.1048000000003,29
20250202-20250216-15,中R,直购礼包礼包聚合1,签到礼包1,,74,4573.687199999995,74
20250227-20250313-15,小R,直购礼包礼包聚合1,签到礼包2,,49,6096.926399999997,49
20250501-20250515-15,非R,直购礼包礼包聚合1,签到礼包1,,1,62.5224,1
20250101-20250115-15,小R,直购礼包礼包聚合1,签到礼包3,,13,4093.5080000000003,13
20250202-20250216-15,超R,直购礼包礼包聚合1,签到礼包2,,13,1585.2239999999997,13
20250227-20250313-15,微R,直购礼包礼包聚合2,微R,,47,6716.113199999996,51
20250227-20250313-15,小R,直购礼包礼包聚合2,小R,,88,21684.466400000016,120
20250101-20250115-15,中R,直购礼包礼包聚合1,签到礼包1,,71,4393.687199999996,71
20250101-20250115-15,超R,直购礼包礼包聚合1,签到礼包3,,14,4435.6720000000005,14
20250501-20250515-15,小R,直购礼包礼包聚合1,签到礼包4,,12,7377.643200000001,12
20250202-20250216-15,非R,直购礼包礼包聚合1,签到礼包3,,8,2537.8360000000002,8
20250501-20250515-15,非R,直购礼包礼包聚合1,签到礼包4,,2,1320.0,2
20250501-20250515-15,中R,直购礼包礼包聚合1,签到礼包2,,52,6426.657599999997,52
20250202-20250216-15,小R,直购礼包礼包聚合1,签到礼包3,,16,5038.732000000001,16
20250101-20250115-15,未活跃,直购礼包礼包聚合1,签到礼包2,,4,500.1792,4
