date,act_tag,role_id,vip_level,level,pay_tag,is_pay,money,web_money,money_rmb,webmoney_rmb,core_add,core_cost,core_end,sincetimes_add,sincetimes_cost,sincetimes_end,act_rmb,bp_rmb,item_cost,item_add,summon_count,summon_21602,summon_21603,item_tag,summon_wau,summon21602_wau,summon21603_wau,actrmb_wau,bprmb_wau,dau,wau
2025-01-21,20250121-20250124-4,13194139618276,0,126,非R,0,,,,,1060.0,1135.0,12623,,,21.0,,,2.0,2.0,1.0,,1.0,"[1,20)",1.0,,1.0,,,1,1.0
2025-01-22,20250121-20250124-4,13194139618276,0,126,非R,0,,,,,1170.0,1505.0,12288,,,21.0,,,,,,,,"[1,20)",,,,,,1,
2025-01-23,20250121-20250124-4,13194139618276,0,126,非R,0,,,,,1570.0,1210.0,12653,,,21.0,,,4.0,4.0,2.0,,2.0,"[1,20)",,,,,,1,
2025-01-24,20250121-20250124-4,13194139618276,0,126,非R,0,,,,,3220.0,1680.0,14188,,,21.0,,,,,,,,"[1,20)",,,,,,1,
2025-02-23,20250223-20250226-4,13202729884359,0,123,非R,0,,,,,765.0,1000.0,412,,,1.0,,,,,,,,"[1,20)",1.0,,1.0,,,1,1.0
2025-02-24,20250223-20250226-4,13202729884359,0,123,非R,0,,,,,1760.0,1050.0,1122,,,1.0,,,,,,,,"[1,20)",,,,,,1,
2025-02-25,20250223-20250226-4,13202729884359,0,123,非R,0,,,,,790.0,1000.0,912,,,1.0,,,,,,,,"[1,20)",,,,,,1,
2025-02-26,20250223-20250226-4,13202729884359,0,123,非R,0,,,,,805.0,1000.0,717,,,1.0,,,4.0,4.0,2.0,,2.0,"[1,20)",,,,,,1,
2025-01-10,20250110-20250113-4,13245679593260,5,119,非R,0,,,,,870.0,75.0,3264,,,0.0,,,2.0,2.0,1.0,1.0,,"[1,20)",1.0,1.0,,,,1,1.0
2025-01-11,20250110-20250113-4,13245679593260,5,119,非R,0,,,,,1695.0,1075.0,3884,,,0.0,,,,,,,,"[1,20)",,,,,,1,
2025-01-12,20250110-20250113-4,13245679593260,5,119,非R,0,,,,,1220.0,3050.0,2054,,,0.0,,,,,,,,"[1,20)",,,,,,1,
2025-01-13,20250110-20250113-4,13245679593260,5,119,非R,0,,,,,1210.0,75.0,3189,,,0.0,,,4.0,4.0,2.0,2.0,,"[1,20)",,,,,,1,
2025-01-10,20250110-20250113-4,13305809120818,15,128,中R,0,,,,,6960.0,4025.0,4040,,,1.0,,,,,,,,"[1,20)",1.0,1.0,,,,1,1.0
2025-01-11,20250110-20250113-4,13305809120818,15,128,中R,0,,,,,1270.0,3100.0,2210,,,1.0,,,2.0,2.0,1.0,1.0,,"[1,20)",,,,,,1,
2025-01-12,20250110-20250113-4,13305809120818,15,128,中R,0,,,,,1470.0,1000.0,2680,,,1.0,,,,,,,,"[1,20)",,,,,,1,
