act_tag,pay_tag,type,dis_type1,dis_type2,users,target_sum,target_count
20250121-20250124-4,超R,直购礼包礼包聚合1,2024福瑞赏稀有礼包4.99-300金币,,6,365.0448,6
20250121-20250124-4,中R,直购礼包礼包聚合1,2024福瑞赏史诗礼包19.99-600金币,,7,860.1792,7
20250223-20250226-4,大R,直购礼包礼包聚合1,福瑞赏-券礼包1,,1,270.9304,8
20250110-20250113-4,微R,直购礼包礼包聚合2,微R,,1,60.0,1
20250121-20250124-4,超R,抽卡道具渠道,购买,,1,860.0,28
20250223-20250226-4,非R,抽卡道具渠道,玩家付费,,877,2970.0,1161
20250110-20250113-4,非R,抽卡道具渠道,玩家付费,,873,3130.0,1189
20250110-20250113-4,超R,直购礼包礼包聚合1,福瑞赏-券礼包1,,1,480.0,15
20250121-20250124-4,大R,直购礼包礼包聚合2,大R,,11,2640.4604,33
20250223-20250226-4,超R,抽卡道具渠道,出生获得,,1,80.0,11
20250121-20250124-4,小R,抽卡道具渠道,玩家付费,,81,374.0,130
20250121-20250124-4,超R,抽卡道具渠道,玩家付费,,5,126.0,19
20250110-20250113-4,小R,抽卡道具渠道,玩家付费,,102,536.0,171
20250223-20250226-4,小R,直购礼包礼包聚合1,2024福瑞赏稀有礼包4.99-300金币,,2,125.0448,2
20250223-20250226-4,小R,直购礼包礼包聚合1,2024福瑞赏史诗礼包19.99-600金币,,1,125.0448,1
20250110-20250113-4,大R,直购礼包礼包聚合2,大R,,10,1470.2687999999998,17
20250223-20250226-4,大R,抽卡道具渠道,玩家付费,,17,242.0,46
20250121-20250124-4,超R,直购礼包礼包聚合1,2024福瑞赏史诗礼包19.99-600金币,,5,605.0448,5
20250110-20250113-4,小R,直购礼包礼包聚合1,2024福瑞赏稀有礼包4.99-300金币,,4,247.5672,4
20250121-20250124-4,超R,直购礼包礼包聚合1,福瑞赏-券礼包3,,1,5280.0,8
20250110-20250113-4,超R,抽卡道具渠道,出生获得,,4,190.0,25
20250110-20250113-4,超R,直购礼包礼包聚合1,2024福瑞赏稀有礼包4.99-300金币,,3,182.5224,3
20250121-20250124-4,超R,直购礼包礼包聚合1,福瑞赏-券礼包2,,1,1200.0,10
20250223-20250226-4,超R,直购礼包礼包聚合2,超R,,2,367.5672,4
20250110-20250113-4,超R,抽卡道具渠道,购买,,1,426.0,28
20250223-20250226-4,小R,抽卡道具渠道,出生获得,,16,555.0,64
20250110-20250113-4,超R,直购礼包礼包聚合1,福瑞赏-券礼包3,,1,1320.0,2
20250223-20250226-4,微R,抽卡道具渠道,玩家付费,,157,686.0,245
20250110-20250113-4,超R,直购礼包礼包聚合1,福瑞赏-券礼包2,,1,1320.0,11
20250121-20250124-4,非R,直购礼包礼包聚合2,非R,,1,125.0448,1
20250223-20250226-4,中R,抽卡道具渠道,购买,,1,16.0,1
20250110-20250113-4,非R,抽卡道具渠道,出生获得,,239,5610.0,623
20250110-20250113-4,中R,直购礼包礼包聚合1,2024福瑞赏稀有礼包4.99-300金币,,14,867.7463999999999,14
20250110-20250113-4,中R,直购礼包礼包聚合1,2024福瑞赏史诗礼包19.99-600金币,,13,1615.4927999999995,13
20250110-20250113-4,大R,抽卡道具渠道,出生获得,,11,460.0,59
20250223-20250226-4,中R,直购礼包礼包聚合1,福瑞赏-券礼包2,,1,125.0448,1
20250110-20250113-4,中R,直购礼包礼包聚合1,福瑞赏-券礼包3,,1,660.0,1
20250110-20250113-4,中R,直购礼包礼包聚合1,福瑞赏-券礼包4,,1,60.0,1
20250223-20250226-4,中R,抽卡道具渠道,出生获得,,16,415.0,48
20250121-20250124-4,微R,抽卡道具渠道,出生获得,,22,505.0,52
20250121-20250124-4,大R,抽卡道具渠道,出生获得,,7,385.0,50
20250223-20250226-4,中R,直购礼包礼包聚合2,中R,,9,1235.3136,14
20250223-20250226-4,超R,直购礼包礼包聚合1,2024福瑞赏稀有礼包4.99-300金币,,2,122.5224,2
20250223-20250226-4,未活跃,抽卡道具渠道,玩家付费,,8,26.0,9
20250110-20250113-4,小R,抽卡道具渠道,出生获得,,35,870.0,96
20250121-20250124-4,大R,直购礼包礼包聚合1,福瑞赏-券礼包3,,1,614.8036,1
20250110-20250113-4,中R,直购礼包礼包聚合1,福瑞赏-券礼包1,,5,1609.3315000000002,50
20250121-20250124-4,非R,直购礼包礼包聚合1,福瑞赏-券礼包2,,1,125.0448,1
20250121-20250124-4,非R,抽卡道具渠道,购买,,1,16.0,1
20250121-20250124-4,小R,抽卡道具渠道,出生获得,,17,380.0,40
20250121-20250124-4,大R,直购礼包礼包聚合1,2024福瑞赏史诗礼包19.99-600金币,,7,850.0896,7
20250110-20250113-4,大R,直购礼包礼包聚合1,2024福瑞赏稀有礼包4.99-300金币,,10,610.0896,10
20250121-20250124-4,大R,直购礼包礼包聚合1,2024福瑞赏稀有礼包4.99-300金币,,10,607.5672,10
20250121-20250124-4,小R,直购礼包礼包聚合2,小R,,1,187.56719999999999,2
20250110-20250113-4,中R,抽卡道具渠道,玩家付费,,122,900.0,240
20250223-20250226-4,小R,抽卡道具渠道,玩家付费,,89,470.0,154
20250121-20250124-4,小R,直购礼包礼包聚合1,2024福瑞赏稀有礼包4.99-300金币,,1,62.5224,1
20250121-20250124-4,非R,抽卡道具渠道,玩家付费,,818,2912.0,1116
20250223-20250226-4,中R,抽卡道具渠道,玩家付费,,87,518.0,158
20250110-20250113-4,微R,直购礼包礼包聚合1,2024福瑞赏稀有礼包4.99-300金币,,1,60.0,1
20250110-20250113-4,微R,抽卡道具渠道,出生获得,,53,1140.0,125
20250121-20250124-4,中R,抽卡道具渠道,玩家付费,,100,540.0,171
20250223-20250226-4,非R,抽卡道具渠道,出生获得,,153,3535.0,398
20250110-20250113-4,大R,抽卡道具渠道,玩家付费,,22,284.0,56
20250121-20250124-4,大R,直购礼包礼包聚合1,福瑞赏-券礼包2,,1,120.0,1
20250121-20250124-4,大R,抽卡道具渠道,玩家付费,,19,276.0,53
20250110-20250113-4,中R,直购礼包礼包聚合1,福瑞赏-券礼包2,,3,725.0448,6
20250121-20250124-4,超R,抽卡道具渠道,出生获得,,3,125.0,17
20250223-20250226-4,大R,直购礼包礼包聚合1,福瑞赏-券礼包2,,1,125.0448,1
20250223-20250226-4,微R,抽卡道具渠道,出生获得,,27,480.0,52
20250223-20250226-4,超R,抽卡道具渠道,玩家付费,,4,68.0,13
20250121-20250124-4,大R,直购礼包礼包聚合1,福瑞赏-券礼包1,,2,448.0,14
20250223-20250226-4,中R,直购礼包礼包聚合1,2024福瑞赏史诗礼包19.99-600金币,,5,615.1344,5
20250110-20250113-4,超R,抽卡道具渠道,玩家付费,,4,58.0,11
20250110-20250113-4,超R,直购礼包礼包聚合2,超R,,4,3667.5672,34
20250121-20250124-4,超R,直购礼包礼包聚合1,福瑞赏-券礼包1,,1,320.0,10
20250110-20250113-4,小R,直购礼包礼包聚合1,2024福瑞赏史诗礼包19.99-600金币,,2,250.0896,2
20250223-20250226-4,大R,直购礼包礼包聚合1,2024福瑞赏史诗礼包19.99-600金币,,7,855.1344,7
20250110-20250113-4,中R,抽卡道具渠道,出生获得,,38,1605.0,196
20250121-20250124-4,中R,直购礼包礼包聚合1,2024福瑞赏稀有礼包4.99-300金币,,12,740.1791999999998,12
20250121-20250124-4,中R,抽卡道具渠道,出生获得,,18,385.0,45
20250223-20250226-4,大R,抽卡道具渠道,出生获得,,8,415.0,56
20250121-20250124-4,中R,直购礼包礼包聚合2,中R,,12,1600.3584,19
20250121-20250124-4,超R,直购礼包礼包聚合2,超R,,6,7770.089599999999,39
20250223-20250226-4,大R,直购礼包礼包聚合2,大R,,8,1736.1543999999994,24
20250110-20250113-4,微R,抽卡道具渠道,玩家付费,,170,752.0,264
20250121-20250124-4,大R,抽卡道具渠道,购买,,3,180.0,16
20250223-20250226-4,超R,直购礼包礼包聚合1,2024福瑞赏史诗礼包19.99-600金币,,2,245.0448,2
20250223-20250226-4,大R,抽卡道具渠道,购买,,1,64.0,9
20250110-20250113-4,大R,直购礼包礼包聚合1,2024福瑞赏史诗礼包19.99-600金币,,7,860.1792,7
20250110-20250113-4,小R,直购礼包礼包聚合2,小R,,4,497.65680000000003,6
20250223-20250226-4,中R,直购礼包礼包聚合1,2024福瑞赏稀有礼包4.99-300金币,,8,495.1344,8
20250110-20250113-4,超R,直购礼包礼包聚合1,2024福瑞赏史诗礼包19.99-600金币,,3,365.0448,3
20250223-20250226-4,小R,直购礼包礼包聚合2,小R,,2,250.0896,3
20250110-20250113-4,中R,直购礼包礼包聚合2,中R,,16,5537.615499999998,85
20250110-20250113-4,中R,抽卡道具渠道,购买,,6,482.0,58
20250121-20250124-4,微R,抽卡道具渠道,玩家付费,,155,670.0,238
20250223-20250226-4,大R,直购礼包礼包聚合1,2024福瑞赏稀有礼包4.99-300金币,,8,485.0448,8
20250121-20250124-4,小R,直购礼包礼包聚合1,2024福瑞赏史诗礼包19.99-600金币,,1,125.0448,1
20250121-20250124-4,非R,抽卡道具渠道,出生获得,,140,3325.0,366
