act_tag,pay_tag,type,dis_type1,dis_type2,users,target_sum,target_count
20250405-20250407-3,中R,直购礼包礼包聚合1,神武锻造-购买档位2,,4,600.0,5
20250327-20250329-3,非R,直购礼包礼包聚合1,神武锻造-购买档位3,,1,614.8036,1
20250327-20250329-3,中R,直购礼包礼包聚合2,中R,,16,3034.0014,57
20250405-20250407-3,微R,抽奖渠道,出生获得,,157,11230.0,677
20250219-20250221-3,非R,抽奖渠道,购买,,5,116.0,8
20250327-20250329-3,大R,抽奖渠道,购买,,15,2800.0,81
20241211-20241213-3,非R,抽奖渠道,出生获得,,530,38370.0,2351
20250311-20250313-3,中R,抽奖渠道,购买,,22,2192.0,119
20250211-20250213-3,超R,抽奖渠道,购买,,10,4796.0,125
20250522-20250524-3,未活跃,抽奖渠道,出生获得,,17,1170.0,72
20250114-20250116-3,微R,抽奖每日渠道,玩家付费,2025-01-16,256,2298.0,1015
20250522-20250524-3,未活跃,抽奖每日渠道,出生获得,2025-05-23,5,240.0,15
20250114-20250116-3,未活跃,抽奖每日渠道,出生获得,2025-01-14,12,680.0,40
20250211-20250213-3,微R,抽奖每日渠道,出生获得,2025-02-13,102,3620.0,242
20250311-20250313-3,大R,抽奖每日渠道,玩家付费,2025-03-13,33,370.0,164
20250522-20250524-3,未活跃,抽奖每日渠道,玩家付费,2025-05-24,24,152.0,64
20250405-20250407-3,非R,抽奖每日渠道,出生获得,2025-04-06,238,8870.0,523
20250311-20250313-3,未活跃,抽奖每日渠道,玩家付费,2025-03-11,14,90.0,31
20241211-20241213-3,大R,直购礼包礼包聚合1,神武锻造-购买档位2,,8,5181.254399999998,42
20241211-20241213-3,小R,直购礼包礼包聚合1,神武锻造-购买档位1,,5,506.12820000000016,15
20250412-20250414-3,超R,直购礼包礼包聚合1,神武锻造-购买档位2,,6,4090.0896000000002,34
20250311-20250313-3,小R,直购礼包礼包聚合1,神武锻造-购买档位2,,2,250.0896,2
20250522-20250524-3,微R,直购礼包礼包聚合2,微R,,1,33.8663,1
20250114-20250116-3,大R,抽奖渠道,购买,,14,3052.0,87
20250319-20250321-3,大R,抽奖渠道,购买,,11,1712.0,74
20250114-20250116-3,超R,抽奖每日渠道,玩家付费,2025-01-16,17,141.0,54
20250211-20250213-3,微R,抽奖每日渠道,购买,2025-02-12,1,12.0,1
20250101-20250103-3,大R,抽奖每日渠道,玩家付费,2025-01-02,31,381.0,166
20250125-20250127-3,未活跃,抽奖每日渠道,玩家付费,2025-01-25,68,484.0,189
20250412-20250414-3,小R,抽奖每日渠道,出生获得,2025-04-14,57,2530.0,166
20250405-20250407-3,微R,抽奖每日渠道,玩家付费,2025-04-05,254,2254.0,965
20250506-20250508-3,微R,抽奖每日渠道,出生获得,2025-05-06,100,6220.0,351
20250506-20250508-3,小R,抽奖每日渠道,玩家付费,2025-05-06,151,1460.0,656
