act_tag,pay_tag,type,dis_type1,dis_type2,users,target_sum,target_count
20250303-20250305-3,中R,直购礼包礼包聚合1,行脚商人-自选礼包2,,22,4360.895999999997,71
20250113-20250115-3,大R,获得道具,君主体力 +120(被gameconstantset引用),,11,216.0,64
20250113-20250115-3,中R,获得道具,研习金色道具,,6,150.0,15
20241215-20241218-4,微R,获得道具,家督印（战旗征集道具）,,1,5.0,1
20241215-20241218-4,大R,获得道具,火砂（神武升级道具）,,3,22000.0,8
20241215-20241218-4,中R,获得道具,铁锭（装备饰品和改造道具）,,3,19500.0,13
20250219-20250222-4,大R,获得道具,蓝经验国宝,,4,1700.0,34
20250219-20250222-4,小R,获得道具,SSR+将魂,,4,720.0,12
20241119-20241122-4,大R,获得道具,SSR+战旗碎片自选 S14-S18,,1,50.0,1
20241119-20241122-4,超R,获得道具,神砂,,1,8000.0,8
20241119-20241122-4,中R,获得道具,研习道具自选包,,2,200.0,10
20241202-20241205-4,大R,获得道具,新金色国宝随机包,,1,4.0,4
20250319-20250322-4,超R,获得道具,SSR+将魂,,1,360.0,6
20250219-20250222-4,大R,获得道具,金色装备8选1,,2,5.0,5
20250121-20250123-3,大R,获得道具,铭刻道具自选包,,1,80.0,4
20250219-20250222-4,中R,获得道具,SSR+战旗碎片自选 S19-S23,,1,50.0,1
20250506-20250508-3,超R,获得道具,金币,,1,6600.0,1
20250506-20250508-3,非R,获得道具,战旗经验书-蓝,,1,20.0,1
20241215-20241218-4,大R,获得道具,UR招募令,,1,20.0,2
20250113-20250115-3,中R,获得道具渠道,购买_gold_329,银币,4,1300000.0,13
20250303-20250305-3,大R,获得道具渠道,购买_gold_329,银币,8,3300000.0,33
20250303-20250305-3,超R,获得道具渠道,购买_gold_331,金色国宝自选包,1,2.0,2
20250303-20250305-3,小R,获得道具渠道,购买_gold_330,SSR+将魂,1,60.0,1
20250121-20250123-3,超R,获得道具渠道,购买_gold_332,赛季UR战旗碎片自选S24-S27,1,180.0,6
20250121-20250123-3,大R,获得道具渠道,购买_gold_329,玉钢,3,130000.0,26
20250219-20250222-4,微R,获得道具渠道,购买_gold_329,金币,1,640.0,2
20250506-20250508-3,超R,获得道具渠道,购买_gold_332,君主体力 +120(被gameconstantset引用),2,120.0,20
20241215-20241218-4,超R,获得道具渠道,购买_gold_332,战旗觉醒道具自选包,1,35.0,7
20241215-20241218-4,中R,获得道具渠道,购买_gold_330,UR将魂,2,60.0,2
20241215-20241218-4,超R,获得道具渠道,购买_gold_331,君主体力 +120(被gameconstantset引用),2,40.0,8
20250419-20250422-4,超R,获得道具渠道,购买_gold_332,家督印（战旗征集道具）,1,40.0,8
20250419-20250422-4,超R,获得道具渠道,购买_gold_330,试金石,2,540.0,9
20250506-20250508-3,大R,获得道具渠道,购买_gold_330,国宝升星道具,1,8.0,1
20241202-20241205-4,大R,获得道具渠道,购买_gold_332,累计充值UR战旗任选包（非赛任选）,3,420.0,14
20250203-20250205-3,中R,获得道具渠道,购买_gold_330,火砂（神武升级道具）,6,46000.0,23
20250203-20250205-3,大R,获得道具渠道,购买_gold_329,蓝经验国宝,3,900.0,18
20250203-20250205-3,大R,获得道具渠道,购买_gold_332,赛季UR战旗碎片自选S19-S23,1,25.0,1
20241202-20241205-4,微R,获得道具渠道,购买_gold_330,试金石,1,60.0,1
20250203-20250205-3,中R,获得道具渠道,购买_gold_331,铭刻道具自选包,2,40.0,2
20250419-20250422-4,中R,获得道具渠道,购买_gold_331,铭刻道具自选包,1,20.0,1
20250113-20250115-3,超R,获得道具渠道,购买_gold_331,铭刻道具自选包,2,60.0,3
20241119-20241122-4,小R,获得道具渠道,购买_gold_333,君主体力 +120(被gameconstantset引用),1,20.0,2
20250506-20250508-3,超R,获得道具渠道,购买_gold_333,火精（神武升星突破道具）,1,60.0,1
20250506-20250508-3,中R,获得道具渠道,购买_gold_332,4周年SSR+战旗碎片任选包（10选1）,1,120.0,2
20250303-20250305-3,大R,直购礼包礼包聚合2,大R,,21,11618.627299999987,129
20250113-20250115-3,大R,直购礼包礼包聚合1,行脚商人-自选礼包2,,11,2077.8360000000002,34
20250203-20250205-3,超R,直购礼包礼包聚合1,行脚商人-自选礼包2,,5,1150.0895999999998,19
20250121-20250123-3,中R,直购礼包礼包聚合1,行脚商人-自选礼包1,,7,797.8608000000003,24
20250319-20250322-4,大R,获得道具,赤玉,,1,10500.0,7
20250303-20250305-3,大R,获得道具,玉钢,,6,880000.0,46
20250303-20250305-3,大R,获得道具,抽奖自选包,,1,40.0,4
20250219-20250222-4,小R,获得道具,银币,,7,1600000.0,12
20250113-20250115-3,未活跃,获得道具,君主体力 +120(被gameconstantset引用),,1,4.0,2
20250113-20250115-3,中R,获得道具,君主体力 +120(被gameconstantset引用),,10,162.0,74
20250121-20250123-3,大R,获得道具,赤玉,,1,6000.0,4
20250121-20250123-3,超R,获得道具,银币,,2,1800000.0,10
20250203-20250205-3,小R,获得道具,君主体力 +120(被gameconstantset引用),,2,12.0,6
20250203-20250205-3,中R,获得道具,赛季UR战旗碎片自选S14-S18,,1,50.0,2
20241215-20241218-4,超R,获得道具,研习金色道具,,2,60.0,6
20241215-20241218-4,大R,获得道具,金色国宝自选包,,1,3.0,3
20250219-20250222-4,中R,获得道具,SSR+战旗碎片自选 S24-S27,,1,50.0,1
20250319-20250322-4,大R,获得道具,国宝升星道具,,2,30.0,5
20250319-20250322-4,大R,获得道具,经验道具自选包,,1,40.0,2
20250319-20250322-4,小R,获得道具,新金色国宝随机包,,1,2.0,2
20250419-20250422-4,超R,获得道具,家督印（战旗征集道具）,,1,40.0,8
20250419-20250422-4,超R,获得道具,铭刻道具自选包,,4,320.0,16
20250506-20250508-3,小R,获得道具,化境UR招募令,,5,25.0,7
20250219-20250222-4,大R,获得道具,UR招募令,,1,20.0,2
20250203-20250205-3,超R,获得道具,经验道具自选包,,1,20.0,1
20250419-20250422-4,大R,获得道具,赤玉,,1,3000.0,2
20250419-20250422-4,小R,获得道具,武将经验 +20000,,1,160.0,4
20250506-20250508-3,微R,获得道具,武将经验 +20000,,1,80.0,2
20241119-20241122-4,大R,获得道具,阵石招募令,,1,30.0,3
20241202-20241205-4,未活跃,获得道具,火砂（神武升级道具）,,1,10000.0,2
20250303-20250305-3,小R,获得道具,家督印（战旗征集道具）,,1,5.0,1
20250113-20250115-3,超R,获得道具渠道,购买_gold_332,赛季UR战旗碎片自选S24-S27,1,180.0,6
20250303-20250305-3,超R,获得道具渠道,购买_gold_329,战旗经验书-蓝,3,140.0,7
20250219-20250222-4,中R,获得道具渠道,购买_gold_333,玉钢,3,240000.0,8
20250506-20250508-3,超R,获得道具渠道,购买_gold_331,新金色国宝随机包,2,24.0,12
20250506-20250508-3,超R,获得道具渠道,购买_gold_333,君主体力 +120(被gameconstantset引用),2,160.0,16
20250121-20250123-3,中R,获得道具渠道,购买_gold_330,试金石,3,540.0,9
20250419-20250422-4,大R,获得道具渠道,购买_gold_329,铁锭（装备饰品和改造道具）,4,9000.0,6
20250506-20250508-3,大R,获得道具渠道,购买_gold_332,周年战旗碎片,1,60.0,2
20241202-20241205-4,大R,获得道具渠道,购买_gold_329,银币,6,2500000.0,25
20250419-20250422-4,中R,获得道具渠道,购买_gold_331,银币,1,300000.0,1
20250404-20250406-3,大R,获得道具渠道,购买_gold_331,金色神威任选箱,1,10.0,10
20250319-20250322-4,超R,获得道具渠道,购买_gold_331,战旗觉醒道具自选包,3,180.0,12
20241202-20241205-4,超R,获得道具渠道,购买_gold_330,2阶符文随机包,1,30.0,2
20250203-20250205-3,超R,获得道具渠道,购买_gold_330,试金石,3,360.0,6
20250203-20250205-3,超R,获得道具渠道,购买_gold_333,阵石招募令,3,110.0,11
20250203-20250205-3,中R,获得道具渠道,购买_gold_332,周年战旗碎片,1,25.0,1
20250113-20250115-3,超R,获得道具渠道,购买_gold_332,赛季UR战旗碎片自选S28-S31,1,30.0,1
20250121-20250123-3,中R,获得道具渠道,购买_gold_330,UR将魂,1,30.0,1
20250506-20250508-3,小R,获得道具渠道,购买_gold_329,朱砂,1,12000.0,2
20250419-20250422-4,小R,直购礼包礼包聚合2,小R,,2,221.4335,4
20250113-20250115-3,大R,直购礼包礼包聚合1,行脚商人-自选礼包1,,9,997.3260000000004,30
20250113-20250115-3,超R,直购礼包礼包聚合1,行脚商人-自选礼包1,,7,848.7967000000001,26
20250419-20250422-4,中R,直购礼包礼包聚合1,行脚商人-自选礼包5,,4,3074.018,5
20241119-20241122-4,中R,直购礼包礼包聚合1,行脚商人-自选礼包3,,6,2325.4031999999997,19
