act_tag,pay_tag,type,dis_type1,dis_type2,users,target_sum,target_count
20250317-20250320-4,未活跃,pprid_reward_type,16_1,阵符（旗阵升级道具）,1,1000.0,1
20250317-20250320-4,微R,pprid_reward_type,16_1,阵符（旗阵升级道具）,1,1000.0,1
20250129-20250201-4,超R,pprid_reward_type,16_3,阵石随机包（橙）,1,3.0,1
20250112-20250115-4,大R,pprid_reward_type,12_1,阵石招募令,33,33.0,33
20250112-20250115-4,非R,pprid_reward_type,12_3,彩珠（游园会抽卡道具）,1,4.0,1
20241202-20241206-5,中R,pprid_reward_type,16_2,本多忠胜SSR+(碎片),1,10.0,1
20250227-20250302-4,非R,pprid_reward_type,12_2,彩珠（游园会抽卡道具）,1,2.0,1
20250518-20250521-4,中R,pprid_reward_type,12_2,铁锭（装备饰品和改造道具）,3,6000.0,3
20250211-20250213-3,中R,pprid_reward_type,16_2,彩珠（游园会抽卡道具）,6,48.0,6
20250227-20250302-4,微R,商店兑换,阵法卷轴,,4,3000.0,6
20250227-20250302-4,未活跃,商店兑换,研习橙色道具,,4,3500.0,7
20250129-20250201-4,小R,商店兑换,君主体力 +120(被gameconstantset引用),,32,27000.0,90
20250129-20250201-4,非R,商店兑换,玉钢,,86,52140.0,158
20250129-20250201-4,小R,商店兑换,金色国宝自选包,,10,39000.0,13
20250112-20250115-4,中R,商店兑换,祈愿之花UR碎片任选包（耀·德川家康、望月千代女、宮本武蔵、光·本多忠勝、柔·細川ガラシャ、光･細川ガラシャ、光·立花訚千代、柴田勝家、風魔小太郎）,,32,246000.0,82
20250112-20250115-4,非R,商店兑换,橙色装备宝箱,,40,51000.0,51
20250405-20250408-4,微R,商店兑换,国宝升星道具,,55,53000.0,106
20250405-20250408-4,小R,商店兑换,银币,,24,11400.0,57
20241202-20241206-5,大R,商店兑换,阵法卷轴,,3,2000.0,4
20250420-20250423-4,超R,商店兑换,铭刻道具,,2,2000.0,2
20250518-20250521-4,微R,商店兑换,初级升阶道具,,23,23000.0,23
20250405-20250408-4,大R,商店兑换,橙色国宝自选包,,1,1000.0,1
20250112-20250115-4,非R,御守彩珠消耗,御守（元旦祈福捐赠道具）,,1649,353858.0,18859
20250405-20250408-4,超R,直购礼包礼包聚合1,月次祭礼包1,,2,406.3956000000001,12
20250317-20250320-4,大R,直购礼包礼包聚合1,游园会史诗礼包19.99-600金币,,7,855.1344,7
20250112-20250115-4,超R,直购礼包礼包聚合1,月次祭礼包1,,4,1829.3259999999993,56
20241202-20241206-5,未活跃,直购礼包礼包聚合1,月次祭礼包1,,1,169.3315,5
20250405-20250408-4,大R,抽奖次数,彩珠（游园会抽卡道具）,,32,2620.0,892
20250227-20250302-4,中R,御守彩珠消耗,彩珠（游园会抽卡道具）,,143,10360.0,2669
20250518-20250521-4,超R,抽奖渠道,玩家付费,,17,438.0,202
20250420-20250423-4,大R,抽奖渠道,引导奖励,,25,2376.0,315
20250227-20250302-4,中R,抽奖渠道,玩家付费,,146,2309.0,1257
20250317-20250320-4,超R,御守每日消耗,2025-03-19,,15,1296.0,76
20250518-20250521-4,中R,御守每日消耗,2025-05-20,,137,11238.0,652
20241202-20241206-5,未活跃,御守每日消耗,2024-12-02,,95,5253.0,185
20250317-20250320-4,小R,御守每日消耗,2025-03-17,,143,9944.0,570
20250518-20250521-4,中R,御守每日消耗,2025-05-18,,134,13655.0,693
20250129-20250201-4,大R,御守每日消耗,2025-01-31,,34,2789.0,172
20250129-20250201-4,超R,御守每日消耗,2025-01-29,,14,1305.0,83
20250317-20250320-4,非R,御守每日消耗,2025-03-18,,1368,80520.0,3988
20250112-20250115-4,小R,御守每日消耗,2025-01-13,,150,11165.0,714
20241202-20241206-5,大R,御守每日消耗,2024-12-05,,33,3002.0,171
20250317-20250320-4,微R,pprid_reward_type,16_1,S30冠军鸡,5,25.0,5
20250129-20250201-4,中R,pprid_reward_type,12_2,本多忠胜SSR+(碎片),1,5.0,1
20250518-20250521-4,小R,pprid_reward_type,12_1,家督印（战旗征集道具）,43,43.0,43
20250518-20250521-4,大R,pprid_reward_type,12_2,彩珠（游园会抽卡道具）,3,12.0,3
20250518-20250521-4,大R,pprid_reward_type,12_3,火精（神武升星突破道具）,3,30.0,3
20250211-20250213-3,小R,pprid_reward_type,12_1,阵石招募令,107,107.0,107
20241202-20241206-5,中R,pprid_reward_type,16_2,彩珠（游园会抽卡道具）,24,192.0,24
20250420-20250423-4,中R,pprid_reward_type,12_2,彩珠（游园会抽卡道具）,11,44.0,11
20250420-20250423-4,中R,pprid_reward_type,16_3,千本抽特供UR碎片自选-2,9,45.0,9
20250227-20250302-4,非R,pprid_reward_type,16_1,本多忠胜SSR+(碎片),17,34.0,17
20250227-20250302-4,小R,pprid_reward_type,12_3,彩珠（游园会抽卡道具）,2,8.0,2
20250227-20250302-4,微R,商店兑换,研习橙色道具,,25,23500.0,47
20241202-20241206-5,非R,商店兑换,初级升阶道具,,58,78000.0,78
20250129-20250201-4,非R,商店兑换,研习金色道具,,36,48000.0,48
20250112-20250115-4,未活跃,商店兑换,银币,,18,7400.0,37
20250317-20250320-4,非R,商店兑换,玉钢,,94,49830.0,151
20250420-20250423-4,超R,商店兑换,初级升阶道具,,4,4000.0,4
20250112-20250115-4,中R,商店兑换,阵法卷轴,,6,6500.0,13
