act_tag,pay_tag,type,dis_type1,dis_type2,users,target_sum,target_count
20241020-20241023-4,中R,兑换奖励内容,金色装备随机箱（全）,,11,14.0,11
20241001-20241004-4,超R,兑换奖励内容,光·井伊直虎UR(碎片),,2,10.0,5
20241001-20241004-4,小R,兑换奖励内容,SSR+将魂,,9,15.0,13
20250104-20250107-4,大R,兑换奖励内容,S14爱姬-UR战旗碎片,,1,9.0,1
20241001-20241004-4,未活跃,兑换奖励内容,UR将魂,,1,1.0,1
20241020-20241023-4,中R,兑换奖励内容,S23岛津岁久SSR+(碎片),,1,3.0,2
20241207-20241210-4,大R,兑换奖励内容,柔·浓姬UR(碎片),,1,2.0,1
20241207-20241210-4,大R,兑换奖励内容,柔·阿松UR(召唤卡),,2,20.0,2
20250104-20250107-4,微R,兑换奖励内容,S16安芸国虎SSR+战旗碎片,,1,1.0,1
20250327-20250330-4,微R,兑换奖励内容,S3织田信长UR(碎片),,1,2.0,1
20241001-20241004-4,大R,档位奖励领取,1,,42,,42
20241001-20241004-4,中R,直购礼包礼包聚合2,中R,,3,1327.4735,5
20241020-20241023-4,超R,直购礼包礼包聚合2,超R,,1,120.0,1
20241207-20241210-4,微R,直购礼包礼包聚合1,每日特惠活动档位1,,1,33.8663,1
20250219-20250222-4,非R,档位奖励领取,4,,1423,,17146
20241020-20241023-4,非R,兑换奖励内容,光·井伊直虎UR(碎片),,10,20.0,10
20250104-20250107-4,超R,兑换奖励内容,S18大内义隆UR战旗碎片,,1,9.0,1
20250327-20250330-4,非R,兑换奖励内容,S6阿江SSR+(碎片),,13,15.0,14
20241001-20241004-4,微R,兑换奖励内容,研习金色道具,,1,1.0,1
20241207-20241210-4,微R,兑换奖励内容,织田信长SSR+(碎片),,2,2.0,2
20250303-20250306-4,大R,档位奖励领取,2,,42,,42
20241207-20241210-4,小R,档位奖励领取,4,,118,,2192
20250202-20250205-4,大R,直购礼包礼包聚合1,每日特惠活动档位2,,2,250.0896,2
20250327-20250330-4,非R,兑换奖励内容,S3织田信长UR(碎片),,6,14.0,6
20250104-20250107-4,非R,兑换奖励内容,S18吉川元春UR战旗碎片,,2,2.0,2
20250104-20250107-4,小R,兑换奖励内容,S3柴田胜家SSR+(碎片),,1,1.0,1
20241001-20241004-4,微R,兑换奖励内容,S18山中幸盛SSR+(碎片),,8,9.0,8
20250327-20250330-4,未活跃,直购礼包礼包聚合2,未活跃,,1,33.8663,1
20241001-20241004-4,中R,兑换奖励内容,S18山中幸盛SSR+(碎片),,6,18.0,13
20250104-20250107-4,非R,兑换奖励内容,S17细川藤孝UR战旗碎片,,2,2.0,2
20241207-20241210-4,超R,兑换奖励内容,柔·浓姬UR(召唤卡),,2,20.0,2
20250327-20250330-4,大R,档位奖励领取,4,,41,,1626
20250327-20250330-4,非R,档位奖励领取,1,,1729,,1729
20241020-20241023-4,微R,档位奖励领取,4,,219,,4194
20241020-20241023-4,超R,兑换奖励内容,SSR+将魂,,1,2.0,1
20241020-20241023-4,非R,兑换奖励内容,阵灵（旗阵突破道具）,,5,5.0,5
20250327-20250330-4,微R,兑换奖励内容,S3德川家康SSR+(碎片),,1,2.0,1
20241020-20241023-4,非R,兑换奖励内容,研习金色道具,,2,4.0,3
20241020-20241023-4,中R,兑换奖励内容,UR将魂,,3,4.0,3
20250104-20250107-4,大R,兑换奖励内容,S3柴田胜家SSR+(碎片),,1,2.0,2
20250104-20250107-4,非R,兑换奖励内容,S14三条夫人-UR战旗碎片,,2,2.0,2
20250104-20250107-4,中R,兑换奖励内容,S17结城秀康UR战旗碎片,,1,5.0,1
20241020-20241023-4,大R,兑换奖励内容,觉醒道具金,,1,8.0,1
20241020-20241023-4,大R,兑换奖励内容,国宝升星道具,,3,4.0,3
20250104-20250107-4,大R,兑换奖励内容,S5绫姬UR(碎片),,1,2.0,1
20241020-20241023-4,非R,档位奖励领取,4,,1382,,17723
20250219-20250222-4,微R,档位奖励领取,2,,235,,235
20241020-20241023-4,中R,档位奖励领取,2,,157,,157
20250303-20250306-4,大R,直购礼包礼包聚合2,大R,,1,33.8663,1
20241001-20241004-4,大R,直购礼包礼包聚合2,大R,,1,158.9111,2
20250202-20250205-4,中R,抽奖渠道,购买,,2,70.0,5
20250202-20250205-4,大R,抽奖渠道,购买,,3,70.0,5
20250327-20250330-4,非R,兑换奖励内容,S18山中鹿介SSR+战旗碎片,,11,13.0,13
20250327-20250330-4,小R,兑换奖励内容,S18山中鹿介SSR+战旗碎片,,5,7.0,5
20241020-20241023-4,中R,兑换奖励内容,雷精,,8,14.0,9
20241020-20241023-4,小R,兑换奖励内容,S18山中幸盛SSR+(碎片),,1,2.0,2
20241207-20241210-4,中R,兑换奖励内容,上杉谦信SSR+(召唤卡),,1,4.0,1
20241020-20241023-4,微R,兑换奖励内容,金色阵石,,1,1.0,1
20250104-20250107-4,未活跃,档位奖励领取,4,,35,,326
20250104-20250107-4,中R,档位奖励领取,1,,157,,157
20241001-20241004-4,未活跃,档位奖励领取,2,,124,,124
20241207-20241210-4,微R,抽奖渠道,购买,,1,6.0,1
20250327-20250330-4,中R,兑换奖励内容,S14筑山殿-SSR+战旗碎片,,1,2.0,2
20241001-20241004-4,未活跃,兑换奖励内容,雷精,,3,4.0,4
20241001-20241004-4,超R,兑换奖励内容,圣诞金币随机包·大,,1,2.0,1
20250327-20250330-4,超R,兑换奖励内容,S3丰臣秀吉UR(碎片),,1,8.0,4
