act_tag,pay_tag,type,dis_type1,dis_type2,users,target_sum,target_count
20250101-20250103-3,小R,直购礼包礼包聚合1,2400日元限时礼包=+6周年金色国宝自选包（全）+国宝升星道具+紫经验国宝,,1,250.0896,2
20250225-20250228-4,大R,直购礼包礼包聚合1,650日元限时礼包=+金币+铁锭（装备饰品和改造道具）+玉钢,,9,813.0641,25
20250325-20250327-3,小R,直购礼包礼包聚合1,320日元限时礼包=+金币+I阶符文随机包+玉钢,,2,81.34528,5
20250325-20250327-3,超R,直购礼包礼包聚合1,6000日元限时礼包=+金币+UR将魂+雷精,,1,625.224,2
20241123-20241125-3,中R,直购礼包礼包聚合1,2400日元限时礼包=+UR将魂+SSR+将魂+,,2,365.0448,3
20250314-20250316-3,超R,直购礼包礼包聚合1,2400日元限时礼包=+金币+金色装备8选1+铁锭（装备饰品和改造道具）,,2,375.13439999999997,3
20250423-20250424-2,中R,直购礼包礼包聚合1,6000日元限时礼包=+金币+火石（神武升星道具）+火精（神武升星突破道具）,,6,2843.0600000000004,9
20250510-20250513-4,微R,直购礼包礼包聚合1,160日元限时礼包=+金币+铭刻道具+玉钢,,2,12.33632,2
20250225-20250228-4,中R,直购礼包礼包聚合2,中R,,28,6761.361919999997,124
20250314-20250316-3,微R,直购礼包礼包聚合1,320日元限时礼包=+金币+I阶符文随机包+玉钢,,1,50.017920000000004,3
20250325-20250327-3,中R,直购礼包礼包聚合1,6000日元限时礼包=+金币+火石（神武升星道具）+火精（神武升星突破道具）,,9,4406.120000000001,14
20250503-20250505-3,大R,直购礼包礼包聚合1,11800日元限时礼包=+金币+刻印石+鸣灵石,,1,1229.6072,2
20250314-20250316-3,小R,直购礼包礼包聚合1,320日元限时礼包=+金币+I阶符文随机包+玉钢,,2,64.67264,4
20250423-20250424-2,中R,直购礼包礼包聚合2,中R,,25,6712.355699999997,78
20250510-20250513-4,大R,直购礼包礼包聚合1,160日元限时礼包=+金币+铭刻道具+玉钢,,7,80.33632,19
20250503-20250505-3,超R,直购礼包礼包聚合1,320日元限时礼包=+金币+银币+,,1,32.0,2
20250503-20250505-3,大R,直购礼包礼包聚合1,650日元限时礼包=+金币+铁锭（装备饰品和改造道具）+玉钢,,8,677.5989,21
20250503-20250505-3,中R,直购礼包礼包聚合1,650日元限时礼包=+金币+铁锭（装备饰品和改造道具）+玉钢,,8,564.5293000000001,17
20250314-20250316-3,非R,直购礼包礼包聚合1,320日元限时礼包=+金币+I阶符文随机包+玉钢,,3,48.67264,3
20250503-20250505-3,中R,直购礼包礼包聚合1,6000日元限时礼包=+金币+火石（神武升星道具）+火精（神武升星突破道具）,,5,2225.224,7
20250423-20250424-2,超R,直购礼包礼包聚合2,超R,,7,7692.077200000001,44
20250510-20250513-4,大R,直购礼包礼包聚合2,大R,,18,4523.774020000001,89
