act_tag,pay_tag,type,dis_type1,dis_type2,users,target_sum,target_count
20250118-20250120-3,大R,直购礼包礼包聚合1,每日特惠活动档位3,,5,7558.428800000001,12
20250223-20250225-3,大R,直购礼包礼包聚合1,每日特惠活动档位3,,1,1320.0,2
20250118-20250120-3,中R,直购礼包礼包聚合2,中R,,5,2823.9559,18
20241228-20241230-3,超R,直购礼包礼包聚合2,超R,,4,3903.0628,28
20250118-20250120-3,中R,魂玉获得,引导奖励,,74,156454.0,278
20250518-20250520-3,小R,魂玉获得,引导奖励,,53,76847.0,173
20250206-20250208-3,小R,魂玉获得,购买,,1,1400.0,1
20250420-20250422-3,超R,大奖掉落,炎龙玉0星,,2,2.0,2
20241217-20241219-3,大R,大奖掉落,鬼武胴0星,,9,11.0,11
20250307-20250309-3,超R,道具兑换魂玉,2025春日卡池精华,,7,71.0,16
20250307-20250309-3,未活跃,道具兑换魂玉,月度活跃商店币,,13,39480.0,41
20250307-20250309-3,小R,道具兑换魂玉,铭刻道具,,22,55260.0,25
20250315-20250317-3,中R,道具兑换魂玉,朱砂,,5,113000.0,12
20250118-20250120-3,小R,道具兑换魂玉,铁锭（装备饰品和改造道具）,,8,74500.0,12
20250223-20250225-3,小R,道具兑换魂玉,铁锭（装备饰品和改造道具）,,3,11500.0,3
20250331-20250402-3,微R,道具兑换魂玉,成就点（征途兑换币）,,47,22970.0,54
20250321-20250324-4,微R,道具兑换魂玉,计策锦囊(被gameconstantset引用),,7,4820.0,7
20250321-20250324-4,大R,道具兑换魂玉,朱砂,,3,130000.0,5
20250206-20250208-3,非R,道具兑换魂玉,成就点（征途兑换币）,,137,12330.0,193
20250206-20250208-3,小R,道具兑换魂玉,成就点（征途兑换币）,,10,660.0,14
20250510-20250512-3,非R,道具兑换魂玉,阵符（旗阵升级道具）,,30,342500.0,37
20250510-20250512-3,中R,道具兑换魂玉,新货币-珍珠币,,1,120.0,2
20250420-20250422-3,小R,道具兑换魂玉,铭刻道具,,18,38040.0,18
20250502-20250504-3,非R,道具兑换魂玉,阵符（旗阵升级道具）,,17,171500.0,23
20250118-20250120-3,超R,道具兑换魂玉,高级招募令,,5,418.0,5
20250315-20250317-3,大R,道具兑换魂玉,朱砂,,4,118000.0,5
20250315-20250317-3,未活跃,道具兑换魂玉,铭刻道具,,1,3000.0,1
20241228-20241230-3,非R,道具兑换魂玉,赤玉,,71,964000.0,86
20241228-20241230-3,超R,道具兑换魂玉,金币,,10,64800.0,66
20250108-20250110-3,微R,道具兑换魂玉,家督印（战旗征集道具）,,5,20.0,6
20250409-20250411-3,非R,道具兑换魂玉,玉钢,,185,166690000.0,202
20241217-20241219-3,小R,道具兑换魂玉,I阶符文随机包,,21,4390.0,26
20250409-20250411-3,大R,道具兑换魂玉,朱砂,,4,112000.0,5
20241202-20241204-3,小R,道具兑换魂玉,兑换券（游园会商店兑换道具）,,52,153400.0,120
20250428-20250430-3,小R,道具兑换魂玉,计策锦囊(被gameconstantset引用),,11,8020.0,18
20250510-20250512-3,大R,道具兑换魂玉,成就点（征途兑换币）,,1,1000.0,1
20250108-20250110-3,未活跃,道具兑换魂玉,成就点（征途兑换币）,,13,2610.0,14
20250502-20250504-3,超R,道具兑换魂玉,阵符（旗阵升级道具）,,3,30500.0,4
20250315-20250317-3,超R,直购礼包礼包聚合1,每日特惠活动档位1,,1,32.0,1
20250206-20250208-3,大R,直购礼包礼包聚合1,每日特惠活动档位3,,3,4394.018,7
20250223-20250225-3,中R,直购礼包礼包聚合1,每日特惠活动档位2,,4,735.1344,6
20250428-20250430-3,超R,魂玉获得,引导奖励,,8,53827.0,39
20241228-20241230-3,非R,大奖掉落,不知火铠0星,,11,11.0,11
20241228-20241230-3,超R,大奖掉落,不知火铠0星,,4,4.0,4
20250420-20250422-3,中R,大奖掉落,焔驹0星,,2,2.0,2
