act_tag,pay_tag,type,dis_type1,dis_type2,users,target_sum,target_count
20250509-20250513-5,微R,直购礼包礼包聚合2,微R,,2,67.7326,2
20250323-20250327-5,微R,直购礼包礼包聚合2,微R,,1,33.8663,1
20250307-20250311-5,小R,抽卡商品,UR将魂,,4,48.0,4
20241223-20241227-5,大R,抽卡商品,6周年非赛季UR战旗碎片自选,,8,124.0,13
20241223-20241227-5,中R,抽卡商品,6周年非化境赛季UR碎片任选包（到S3-S29赛季）,,10,117.0,50
20250307-20250311-5,小R,抽卡商品,6周年化境非赛SSR+碎片任选包（全）,,2,5.0,2
20250509-20250513-5,小R,抽卡商品,6周年橙色国宝自选包（全）,,5,12.0,6
20250323-20250327-5,中R,抽卡商品,S30冠军鸡,,1,15.0,2
20241223-20241227-5,大R,抽卡商品,铭刻道具,,1,100.0,1
20241223-20241227-5,超R,抽卡商品,2025元旦化境非赛UR碎片自选,,1,3.0,2
20250509-20250513-5,非R,道具获得1,出生获得,,483,15104.0,1847
20250323-20250327-5,未活跃,道具获得1,玩家付费,,9,70.0,35
20241223-20241227-5,非R,道具获得1,出生获得,,534,15308.0,1874
20241223-20241227-5,非R,抽卡掉落,S30丹羽长秀SSR+（碎片）,,5,30.0,6
20241223-20241227-5,微R,抽卡掉落,UR招募令,,1,3.0,1
20250509-20250513-5,大R,抽卡掉落,研习金色道具,,13,115.0,23
20250323-20250327-5,非R,抽卡掉落,鉴宝令,,155,516.0,170
20250323-20250327-5,微R,抽卡掉落,阵法卷轴,,25,13000.0,26
20250323-20250327-5,中R,抽卡掉落,联动-望月千代女UR,,1,1.0,1
20250331-20250404-5,大R,抽卡掉落,武将经验 +100000,,18,520.0,99
20250331-20250404-5,小R,抽卡掉落,S28柿崎景家UR（碎片）,,5,60.0,5
20250315-20250319-5,大R,抽卡掉落,UR招募令,,5,18.0,5
20250315-20250319-5,非R,抽卡掉落,铁锭（装备饰品和改造道具）,,253,160700.0,447
20250315-20250319-5,微R,抽卡掉落,铭刻道具自选包,,60,112.0,101
20241223-20241227-5,未活跃,抽卡掉落,神武武器-朱枪,,2,2.0,2
20250331-20250404-5,中R,抽卡掉落,S30明智光秀UR（碎片）,,2,10.0,2
20250307-20250311-5,小R,抽卡掉落,TW玉子UR(碎片),,6,7.0,7
20250307-20250311-5,未活跃,抽卡掉落,铁锭（装备饰品和改造道具）,,2,1300.0,4
20250307-20250311-5,小R,抽卡掉落,试金石,,34,490.0,48
20250307-20250311-5,中R,抽卡掉落,研习金色道具,,9,50.0,10
