act_tag,pay_tag,type,dis_type1,dis_type2,users,target_sum,target_count
20250323-20250326-4,超R,直购礼包礼包聚合1,4周年庆典自选礼包1,,4,1465.2239999999997,12
20250307-20250310-4,大R,直购礼包礼包聚合1,4周年庆典自选礼包3,,3,3734.018,6
20250307-20250310-4,非R,直购礼包礼包聚合1,4周年庆典自选礼包3,,1,1229.6072,2
20250307-20250310-4,中R,直购礼包礼包聚合1,4周年庆典自选礼包2,,1,312.612,1
20250323-20250326-4,中R,直购礼包礼包聚合1,4周年庆典自选礼包2,,1,640.0,2
20241223-20241226-4,小R,直购礼包礼包聚合1,4周年庆典自选礼包3,,2,1229.6072,2
20250323-20250326-4,中R,直购礼包礼包聚合2,中R,,19,7776.237199999993,47
20250509-20250512-4,微R,直购礼包礼包聚合1,4周年庆典自选礼包1,,1,125.0448,1
20250509-20250512-4,中R,直购礼包礼包聚合1,4周年庆典自选礼包3,,3,2504.4107999999997,4
20250331-20250403-4,大R,直购礼包礼包聚合2,大R,,7,8134.6108,29
20250323-20250326-4,大R,直购礼包礼包聚合2,大R,,7,8754.459199999998,30
20241223-20241226-4,超R,直购礼包礼包聚合1,4周年庆典自选礼包1,,8,2545.2239999999997,21
20250307-20250310-4,大R,直购礼包礼包聚合2,大R,,9,9595.272399999996,40
20241223-20241226-4,未活跃,直购礼包礼包聚合1,4周年庆典自选礼包1,,2,495.1344,4
20250509-20250512-4,微R,直购礼包礼包聚合2,微R,,1,125.0448,1
20250509-20250512-4,超R,直购礼包礼包聚合1,4周年庆典自选礼包3,,2,1274.8036,2
20250307-20250310-4,大R,直购礼包礼包聚合1,4周年庆典自选礼包1,,8,3040.3584,25
20250331-20250403-4,中R,直购礼包礼包聚合1,4周年庆典自选礼包3,,1,614.8036,1
20250509-20250512-4,大R,直购礼包礼包聚合1,4周年庆典自选礼包3,,1,2459.2144,4
20250323-20250326-4,大R,直购礼包礼包聚合1,4周年庆典自选礼包3,,4,4918.428800000001,8
20241223-20241226-4,中R,直购礼包礼包聚合1,4周年庆典自选礼包3,,5,6238.428800000001,10
20250307-20250310-4,小R,直购礼包礼包聚合2,小R,,3,495.1344,4
20250307-20250310-4,超R,直购礼包礼包聚合1,4周年庆典自选礼包1,,6,2185.2239999999997,18
20241223-20241226-4,大R,直购礼包礼包聚合2,大R,,13,14012.86039999999,55
20250315-20250318-4,超R,直购礼包礼包聚合2,超R,,9,11529.055999999999,29
20250509-20250512-4,非R,直购礼包礼包聚合2,非R,,1,250.0896,2
20250307-20250310-4,微R,直购礼包礼包聚合2,微R,,1,250.0896,2
20241223-20241226-4,超R,直购礼包礼包聚合2,超R,,10,13283.680399999996,41
20250307-20250310-4,中R,直购礼包礼包聚合1,4周年庆典自选礼包3,,5,3119.2144,5
20250323-20250326-4,微R,直购礼包礼包聚合2,微R,,2,750.2688,3
20250307-20250310-4,中R,直购礼包礼包聚合1,4周年庆典自选礼包1,,16,5476.747199999998,44
20241223-20241226-4,小R,直购礼包礼包聚合2,小R,,12,3450.1448000000005,20
20250323-20250326-4,小R,直购礼包礼包聚合2,小R,,1,614.8036,1
20241223-20241226-4,大R,直购礼包礼包聚合1,4周年庆典自选礼包3,,4,6193.232400000001,10
20250315-20250318-4,大R,直购礼包礼包聚合1,4周年庆典自选礼包3,,5,6988.8216,11
20250323-20250326-4,中R,直购礼包礼包聚合1,4周年庆典自选礼包3,,3,1934.8036,3
20250323-20250326-4,超R,直购礼包礼包聚合1,4周年庆典自选礼包2,,3,2195.672,7
20250509-20250512-4,中R,直购礼包礼包聚合1,4周年庆典自选礼包2,,1,312.612,1
20241223-20241226-4,微R,直购礼包礼包聚合2,微R,,4,625.2239999999999,5
20250331-20250403-4,超R,直购礼包礼包聚合1,4周年庆典自选礼包1,,2,620.1792,5
20250307-20250310-4,超R,直购礼包礼包聚合2,超R,,9,9084.493600000002,32
20241223-20241226-4,超R,直购礼包礼包聚合1,4周年庆典自选礼包2,,3,1905.2240000000002,6
20250315-20250318-4,中R,直购礼包礼包聚合1,4周年庆典自选礼包1,,14,4841.433599999999,39
20250315-20250318-4,超R,直购礼包礼包聚合1,4周年庆典自选礼包2,,2,2210.4480000000003,7
20250307-20250310-4,超R,直购礼包礼包聚合1,4周年庆典自选礼包2,,2,1890.4480000000003,6
20250331-20250403-4,小R,直购礼包礼包聚合2,小R,,2,375.13439999999997,3
20250315-20250318-4,微R,直购礼包礼包聚合2,微R,,1,375.13439999999997,3
20250509-20250512-4,非R,直购礼包礼包聚合1,4周年庆典自选礼包1,,1,250.0896,2
20250509-20250512-4,大R,直购礼包礼包聚合1,4周年庆典自选礼包1,,6,1825.2239999999997,15
20250331-20250403-4,小R,直购礼包礼包聚合1,4周年庆典自选礼包1,,2,375.13439999999997,3
20250509-20250512-4,大R,直购礼包礼包聚合2,大R,,8,7097.946400000001,28
20241223-20241226-4,中R,直购礼包礼包聚合1,4周年庆典自选礼包2,,5,2500.896,8
20241223-20241226-4,中R,直购礼包礼包聚合1,4周年庆典自选礼包1,,23,6957.105599999994,56
20250509-20250512-4,超R,直购礼包礼包聚合1,4周年庆典自选礼包2,,2,2210.4480000000003,7
20250509-20250512-4,超R,直购礼包礼包聚合2,超R,,4,3985.4308,13
20250509-20250512-4,中R,直购礼包礼包聚合2,中R,,17,7888.366799999997,46
20250509-20250512-4,小R,直购礼包礼包聚合1,4周年庆典自选礼包1,,1,125.0448,1
20250323-20250326-4,超R,直购礼包礼包聚合2,超R,,7,7394.914,25
20250307-20250310-4,非R,直购礼包礼包聚合2,非R,,1,1229.6072,2
20250331-20250403-4,大R,直购礼包礼包聚合1,4周年庆典自选礼包2,,3,1875.6720000000003,6
20250315-20250318-4,超R,直购礼包礼包聚合1,4周年庆典自选礼包1,,3,1100.1792,9
