date,pay_tag,is_pay,is_9,is_10,is_80002,dau
2024-04-25,非R,22,65.0,81.0,4.0,1530
2024-03-29,大R,20,31.0,29.0,,33
2023-12-16,小R,35,43.0,60.0,,148
2024-06-02,非R,28,57.0,68.0,53.0,1559
2023-12-19,大R,20,17.0,20.0,,33
2024-06-11,超R,10,10.0,10.0,12.0,16
2024-03-08,微R,31,79.0,122.0,,263
2024-11-30,微R,22,77.0,68.0,40.0,278
2025-05-25,非R,7,9.0,8.0,3.0,1532
2023-12-08,未活跃,29,23.0,46.0,,869
2024-11-14,中R,52,88.0,78.0,96.0,144
2025-01-03,微R,22,74.0,60.0,39.0,273
2024-12-30,微R,14,74.0,57.0,39.0,273
2024-10-18,小R,23,86.0,90.0,77.0,155
2024-01-19,非R,15,78.0,126.0,,1594
2024-01-19,微R,20,76.0,138.0,,268
2025-03-15,微R,14,59.0,47.0,33.0,280
2023-11-09,小R,43,,,,148
2024-01-10,大R,22,27.0,32.0,,33
2024-10-11,未活跃,13,15.0,15.0,14.0,218
2024-11-29,未活跃,4,7.0,8.0,8.0,151
2025-05-24,中R,54,89.0,87.0,71.0,147
2024-05-10,大R,21,32.0,29.0,31.0,33
2024-10-15,微R,17,79.0,67.0,56.0,273
2024-09-18,大R,24,31.0,25.0,32.0,34
2024-07-23,大R,18,28.0,25.0,32.0,33
2025-02-20,小R,16,77.0,72.0,68.0,155
2025-05-15,超R,10,13.0,13.0,15.0,17
2025-04-25,超R,14,11.0,11.0,14.0,17
2024-01-07,中R,76,90.0,109.0,,142
2024-08-16,小R,15,79.0,92.0,88.0,151
2024-11-04,微R,17,84.0,66.0,51.0,275
2024-06-25,小R,40,79.0,97.0,95.0,150
2024-12-15,非R,9,34.0,22.0,17.0,1599
2024-03-22,中R,43,87.0,99.0,,138
2024-08-28,小R,25,78.0,91.0,80.0,151
2024-11-17,未活跃,4,9.0,10.0,10.0,180
2024-01-27,微R,25,78.0,133.0,,271
2024-01-08,微R,41,77.0,140.0,,268
2024-01-04,小R,28,84.0,120.0,,148
2024-04-10,非R,18,70.0,86.0,,1539
2024-06-09,小R,29,76.0,103.0,92.0,149
2024-09-07,非R,11,44.0,41.0,38.0,1610
2024-07-02,微R,26,75.0,82.0,88.0,266
2024-06-18,非R,9,52.0,67.0,54.0,1562
2024-08-03,大R,18,30.0,28.0,30.0,33
2024-11-02,未活跃,2,12.0,11.0,11.0,219
2024-12-02,中R,59,83.0,76.0,85.0,145
2024-06-06,微R,31,78.0,87.0,81.0,266
2023-11-25,超R,13,,,,16
2023-12-11,大R,20,6.0,9.0,,32
2025-03-29,未活跃,0,1.0,1.0,1.0,15
2024-01-30,小R,27,87.0,113.0,,147
2024-05-18,微R,25,77.0,106.0,83.0,270
2024-02-06,未活跃,27,68.0,99.0,,723
2024-12-11,非R,9,33.0,24.0,21.0,1574
2024-12-22,非R,9,32.0,23.0,17.0,1570
2025-02-19,中R,39,87.0,69.0,85.0,147
2024-07-21,微R,19,73.0,80.0,82.0,268
2024-11-13,中R,50,90.0,79.0,97.0,145
2025-01-16,未活跃,1,5.0,5.0,4.0,117
2025-02-23,大R,21,24.0,20.0,24.0,34
2024-05-29,未活跃,11,37.0,37.0,30.0,433
2024-05-09,中R,49,94.0,102.0,103.0,140
2024-09-30,未活跃,8,15.0,15.0,15.0,230
2024-10-09,超R,10,9.0,10.0,13.0,16
2024-02-07,非R,32,80.0,116.0,,1564
2024-09-11,小R,23,79.0,94.0,77.0,152
2024-09-11,未活跃,5,16.0,16.0,17.0,239
2024-03-15,微R,23,77.0,112.0,,263
2025-02-28,微R,7,55.0,46.0,32.0,272
2024-04-21,中R,37,93.0,104.0,,140
2024-07-27,中R,58,93.0,93.0,100.0,142
2024-08-24,微R,24,75.0,76.0,67.0,275
2025-01-06,小R,23,77.0,81.0,67.0,157
2023-12-21,未活跃,16,53.0,89.0,,846
2023-12-06,未活跃,39,22.0,37.0,,927
2023-12-06,大R,19,1.0,5.0,,32
2024-02-22,大R,17,30.0,31.0,,33
2024-03-27,大R,23,31.0,29.0,,33
2024-02-17,超R,8,10.0,11.0,,15
2024-10-20,大R,14,28.0,25.0,31.0,34
2024-08-06,未活跃,4,21.0,19.0,26.0,336
2023-11-13,中R,67,,,,142
2023-11-11,微R,25,,,,271
2023-11-21,中R,44,,,,144
2024-09-21,小R,33,76.0,90.0,78.0,152
2024-07-08,微R,44,75.0,78.0,78.0,265
2024-03-10,微R,32,80.0,123.0,,264
2023-12-24,大R,20,23.0,24.0,,33
2024-07-09,超R,6,9.0,10.0,12.0,15
2024-09-18,超R,9,10.0,11.0,11.0,16
2024-06-06,未活跃,10,36.0,37.0,24.0,416
2024-06-11,非R,15,53.0,73.0,55.0,1554
2024-03-08,大R,25,30.0,29.0,,33
2024-06-27,非R,16,52.0,65.0,49.0,1564
2024-06-30,小R,27,75.0,98.0,91.0,149
2025-03-08,大R,22,26.0,19.0,27.0,34
2025-03-23,大R,21,25.0,19.0,26.0,34
2024-09-13,中R,74,88.0,89.0,97.0,144
2024-10-29,小R,31,85.0,91.0,76.0,157
2024-10-29,非R,10,45.0,36.0,25.0,1600
2025-03-17,超R,12,10.0,10.0,11.0,17
2024-11-27,中R,41,81.0,77.0,86.0,143
2023-12-18,微R,38,48.0,86.0,,269
2024-11-08,大R,24,27.0,24.0,27.0,34
2025-01-01,超R,11,8.0,10.0,12.0,17
2024-03-15,超R,5,11.0,11.0,,16
2024-04-19,中R,51,90.0,102.0,,138
2024-02-20,小R,27,87.0,116.0,,149
2024-11-01,微R,31,84.0,63.0,51.0,276
2024-10-09,未活跃,10,14.0,13.0,13.0,225
2024-11-24,非R,11,36.0,28.0,25.0,1618
2025-01-26,未活跃,3,3.0,4.0,3.0,94
2023-12-07,非R,23,32.0,36.0,,1622
2024-01-27,中R,47,94.0,108.0,,141
2024-03-09,中R,55,89.0,101.0,,141
2024-05-31,未活跃,10,35.0,33.0,27.0,412
2025-02-21,未活跃,0,4.0,4.0,4.0,65
2025-05-20,超R,8,12.0,12.0,14.0,17
2024-02-28,超R,8,11.0,12.0,,16
2024-10-18,非R,11,48.0,38.0,30.0,1601
2023-11-14,小R,36,,,,146
2024-06-22,大R,22,31.0,29.0,31.0,33
2025-01-24,超R,12,10.0,10.0,11.0,17
2024-09-01,大R,28,30.0,27.0,31.0,34
2024-05-05,超R,10,10.0,11.0,13.0,15
2025-03-02,非R,5,18.0,12.0,9.0,1595
2025-01-22,未活跃,1,4.0,4.0,4.0,113
2025-01-05,超R,11,9.0,9.0,12.0,17
2024-01-05,中R,62,86.0,106.0,,139
2024-11-20,微R,20,85.0,64.0,49.0,276
2024-05-01,微R,33,81.0,112.0,55.0,268
2024-01-11,超R,7,11.0,12.0,,16
2024-06-20,超R,11,9.0,10.0,12.0,16
2024-01-16,未活跃,32,73.0,114.0,,771
2024-07-10,大R,22,31.0,28.0,30.0,33
2024-06-29,未活跃,11,24.0,33.0,22.0,423
2024-06-29,大R,26,32.0,29.0,29.0,33
2024-01-01,未活跃,39,72.0,115.0,,922
2024-06-03,未活跃,14,35.0,36.0,24.0,437
2025-01-07,大R,16,25.0,21.0,30.0,33
2025-04-08,超R,7,10.0,10.0,13.0,17
2024-02-04,中R,55,92.0,105.0,,141
2025-04-18,中R,63,95.0,85.0,82.0,147
2024-04-11,大R,17,31.0,30.0,,32
2024-01-23,大R,18,26.0,29.0,,33
2024-01-24,中R,49,92.0,106.0,,141
2023-12-11,微R,32,22.0,54.0,,272
2024-02-16,非R,28,82.0,114.0,,1569
2024-06-04,未活跃,14,35.0,36.0,25.0,427
2024-07-14,微R,33,71.0,78.0,78.0,266
2024-06-17,非R,11,52.0,68.0,55.0,1547
