type,period,last1_paytag,dtype1,dtype2,users,money_rmb,sincetime_money
paymentact_week_group,0203-0209,微R,签到礼包,,20,3240.744400,60.0
paymentact_week_group,0428-0504,非R,神魔之乱,,2,101.598900,224.0
paymentact_week_group,0210-0216,中R,签到礼包,,63,16109.938400,12340.0
paymentact_week_group,0113-0119,小R,月度周储钱罐,,21,300.107520,48.0
paymentact_week_group,0210-0216,小R,神武锻造,,9,836.237100,128.0
paymentact_week_group,0407-0413,中R,月卡,,26,1419.779500,788.0
paymentact_week_group,0127-0202,大R,月度周储钱罐,,25,200.071680,208.0
paymentact_week_group,0324-0330,超R,限购礼包,,9,2850.500420,4616.0
paymentact_week_group,0428-0504,大R,珍珠,,11,26289.106140,0.0
paymentact_week_group,0421-0427,小R,千本抽,,6,118.271540,368.0
paymentact_week_group,0210-0216,微R,情人节活动,,9,4829.855400,32.0
paymentact_week_group,0428-0504,大R,月度活动,,8,1563.060000,1640.0
paymentact_week_group,1230-0105,中R,限购礼包,,16,1258.784320,1352.0
paymentact_week_group,0127-0202,大R,团购礼包,,5,687.746400,1952.0
paymentact_week_group,0317-0323,大R,周期-周礼包,,7,424.631300,1240.0
paymentact_week_group,0127-0202,中R,运营活动直购礼包,,5,1365.072400,424.0
paymentact_week_group,0407-0413,非R,情人节活动,,2,62.522400,660.0
paymentact_week_group,0505-0511,微R,金币,,9,235.501040,44.0
paymentact_week_group,0113-0119,小R,行脚商人,,6,567.911800,0.0
paymentact_week_group,0317-0323,微R,battlepass,,4,536.650600,195.0
paymentact_week_group,0224-0302,非R,金币,,4,133.381120,8.0
paymentact_week_group,1230-0105,微R,月度活动,,1,437.656800,0.0
paymentact_week_group,0317-0323,非R,战鼓解锁,,2,500.179200,0.0
paymentact_week_group,1230-0105,微R,团购礼包,,1,16.672640,0.0
paymentact_week_group,0414-0420,小R,情人节活动,,5,419.421100,0.0
paymentact_week_group,0317-0323,未活跃,成长计划,,1,62.522400,0.0
paymentact_week_group,0512-0518,小R,battlepass,,1,166.726400,0.0
paymentact_week_group,0421-0427,小R,游园会通行证,,4,375.134400,0.0
paymentact_week_group,0113-0119,超R,幸运屋,,3,125.044800,60.0
paymentact_week_group,0519-0525,非R,赛季征战活动,,1,0.000000,3920.0
paymentact_week_group,0505-0511,非R,限购礼包,,1,0.000000,12.0
paymentact_week_group,1230-0105,微R,珍珠,,2,375.134400,0.0
paymentact_week_group,0421-0427,小R,一条龙,,78,7021.265520,1280.0
paymentact_week_group,0519-0525,中R,幸运屋,,4,281.350800,0.0
paymentact_week_group,0512-0518,大R,月度周储钱罐,,25,183.399040,224.0
paymentact_week_group,1230-0105,中R,月度周储钱罐,,21,233.416960,112.0
paymentact_week_group,0421-0427,超R,一条龙,,22,6403.856820,9880.0
paymentact_week_group,0428-0504,中R,月度活动,,15,4126.478400,880.0
paymentact_week_group,0512-0518,微R,周期-日礼包,,12,83.363200,16.0
paymentact_week_group,0224-0302,超R,周期-周礼包,,1,312.612000,0.0
paymentact_week_group,0407-0413,中R,神武锻造,,19,2498.290900,1480.0
paymentact_week_group,0414-0420,小R,幸运屋,,1,62.522400,0.0
paymentact_week_group,0113-0119,中R,月次祭礼包,,30,10535.024400,1592.0
paymentact_week_group,0421-0427,超R,battlepass,,11,1219.186800,975.0
paymentact_week_group,0120-0126,超R,超级转盘,,8,4918.428800,5880.0
paymentact_week_group,0217-0223,大R,行脚商人,,23,10378.718400,2816.0
paymentact_week_group,0505-0511,大R,周期-日礼包,,16,608.551360,900.0
paymentact_week_group,1230-0105,大R,月度周储钱罐,,7,33.345280,80.0
paymentact_week_group,0217-0223,小R,情人节活动,,17,4473.998740,1460.0
paymentact_week_group,0303-0309,超R,行脚商人,,9,6721.158000,5904.0
paymentact_week_group,0120-0126,小R,battlepass,,1,0.000000,195.0
paymentact_week_group,0113-0119,非R,幸运屋,,3,187.567200,60.0
paymentact_week_group,0203-0209,大R,月度活动,,13,2438.373600,2000.0
paymentact_week_group,0106-0112,非R,情人节活动,,4,1878.277100,844.0
paymentact_week_group,0303-0309,小R,珍珠,,15,1421.342560,0.0
paymentact_week_group,0324-0330,大R,神武锻造,,21,9865.513700,2592.0
paymentact_week_group,1230-0105,小R,神魔之乱,,12,4238.497700,312.0
paymentact_week_group,0113-0119,小R,神武锻造,,3,203.197800,0.0
paymentact_week_group,0120-0126,超R,团购礼包,,8,2705.135840,11080.0
paymentact_week_group,1230-0105,中R,荣耀特典,,1,125.044800,0.0
paymentact_week_group,0428-0504,大R,battlepass,,3,369.924200,195.0
paymentact_week_group,0505-0511,非R,签到礼包,,3,62.522400,780.0
paymentact_week_group,0210-0216,大R,月度活动,,5,1438.015200,320.0
paymentact_week_group,0127-0202,小R,周期-日礼包,,1,58.354240,0.0
paymentact_week_group,0127-0202,微R,游园会通行证,,2,187.567200,60.0
paymentact_week_group,0127-0202,微R,周期-周礼包,,1,0.000000,32.0
paymentact_week_group,1230-0105,中R,战鼓解锁,,2,125.044800,120.0
paymentact_week_group,0512-0518,超R,运营活动直购礼包,,2,1456.250900,3960.0
paymentact_week_group,0407-0413,未活跃,签到礼包,,2,187.567200,0.0
paymentact_week_group,0113-0119,大R,赛季征战活动,,2,0.000000,240.0
paymentact_week_group,0120-0126,非R,周期-周礼包,,1,0.000000,960.0
paymentact_week_group,0414-0420,微R,月卡,,77,8964.149100,336.0
paymentact_week_group,0120-0126,超R,行脚商人,,15,10086.947200,14104.0
paymentact_week_group,0217-0223,非R,月度周储钱罐,,6,0.000000,96.0
paymentact_week_group,0414-0420,大R,游园会通行证,,5,500.179200,60.0
paymentact_week_group,0519-0525,非R,一条龙,,88,891.986240,1412.0
paymentact_week_group,0210-0216,中R,月度周储钱罐,,66,633.560320,448.0
paymentact_week_group,0414-0420,中R,行脚商人,,15,4129.083500,484.0
paymentact_week_group,0113-0119,微R,签到礼包,,14,1990.296400,660.0
paymentact_week_group,0505-0511,大R,幸运屋,,8,250.089600,540.0
paymentact_week_group,0331-0406,小R,月卡,,28,3384.024900,216.0
paymentact_week_group,0217-0223,超R,珍珠,,7,59323.858220,0.0
paymentact_week_group,0428-0504,中R,battlepass,,7,1276.499000,355.0
paymentact_week_group,0317-0323,小R,月度周储钱罐,,21,333.452800,16.0
paymentact_week_group,0127-0202,小R,倍率转盘,,2,237.064100,0.0
paymentact_week_group,0505-0511,小R,行脚商人,,7,851.867700,120.0
paymentact_week_group,1230-0105,中R,月度活动,,7,2188.284000,560.0
paymentact_week_group,0303-0309,大R,月度活动,,16,3001.075200,2440.0
paymentact_week_group,0113-0119,微R,battlepass-周年庆,,16,2000.716800,0.0
paymentact_week_group,0324-0330,未活跃,情人节活动,,1,0.000000,1980.0
paymentact_week_group,0505-0511,超R,签到礼包,,5,989.938000,1400.0
paymentact_week_group,0310-0316,小R,限购礼包,,7,684.099260,0.0
paymentact_week_group,0113-0119,大R,battlepass,,14,1776.678200,800.0
paymentact_week_group,0310-0316,非R,签到礼包,,3,187.567200,660.0
paymentact_week_group,0512-0518,中R,神魔之乱,,12,4905.403300,1672.0
paymentact_week_group,0407-0413,微R,战鼓解锁,,1,125.044800,0.0
paymentact_week_group,0113-0119,非R,4周年庆典自选礼包,,1,0.000000,1100.0
paymentact_week_group,0224-0302,超R,游园会通行证,,6,750.268800,360.0
paymentact_week_group,0310-0316,超R,情人节活动,,10,15073.108600,16280.0
paymentact_week_group,0512-0518,超R,赛季UR养成通行证,,2,312.612000,320.0
paymentact_week_group,0210-0216,大R,神魔之乱,,3,169.331500,440.0
paymentact_week_group,1230-0105,非R,战鼓解锁,,2,250.089600,0.0
paymentact_week_group,0127-0202,非R,月卡,,2,283.955900,0.0
paymentact_week_group,0113-0119,微R,战鼓解锁,,1,125.044800,0.0
paymentact_week_group,0331-0406,中R,情人节活动,,17,2045.003500,1708.0
paymentact_week_group,0303-0309,非R,战鼓解锁,,2,250.089600,0.0
paymentact_week_group,1230-0105,大R,限购礼包,,12,897.196440,1456.0
paymentact_week_group,0407-0413,非R,金币,,4,104.725020,660.0
paymentact_week_group,0303-0309,非R,金币,,5,138.070300,156.0
paymentact_week_group,0113-0119,小R,福瑞赏,,2,187.567200,60.0
paymentact_week_group,0210-0216,非R,战鼓解锁,,1,0.000000,120.0
paymentact_week_group,0519-0525,大R,月次祭礼包,,6,1352.046900,1128.0
paymentact_week_group,0519-0525,中R,神武锻造,,14,781.530000,1488.0
paymentact_week_group,0224-0302,中R,签到礼包,,83,34522.785200,9520.0
paymentact_week_group,0310-0316,中R,月卡,,46,3816.471500,972.0
paymentact_week_group,0106-0112,大R,金币,,12,899.280520,3020.0
paymentact_week_group,0505-0511,中R,battlepass-周年庆,,25,2500.896000,600.0
paymentact_week_group,0106-0112,超R,月度周储钱罐,,13,100.035840,112.0
paymentact_week_group,0428-0504,大R,神魔之乱,,4,0.000000,1724.0
paymentact_week_group,0203-0209,大R,签到礼包,,26,8117.491600,9060.0
paymentact_week_group,0505-0511,超R,超级转盘,,10,11259.242200,29684.0
paymentact_week_group,0519-0525,超R,月卡,,1,62.522400,0.0
paymentact_week_group,0414-0420,非R,月度周储钱罐,,6,33.345280,64.0
paymentact_week_group,0324-0330,小R,珍珠,,6,1831.385300,0.0
paymentact_week_group,0113-0119,中R,battlepass-周年庆,,21,1875.672000,720.0
paymentact_week_group,1230-0105,非R,月度周储钱罐,,4,16.672640,48.0
paymentact_week_group,1230-0105,小R,珍珠,,9,1445.830500,0.0
paymentact_week_group,0512-0518,非R,团购礼包,,3,62.522400,8164.0
paymentact_week_group,0127-0202,超R,游园会通行证,,3,375.134400,180.0
paymentact_week_group,0120-0126,大R,月度活动,,6,687.746400,1080.0
paymentact_week_group,0512-0518,超R,千本抽,,3,614.803600,380.0
paymentact_week_group,0407-0413,超R,幸运屋,,1,0.000000,60.0
paymentact_week_group,0217-0223,小R,金币,,5,1478.133740,0.0
paymentact_week_group,0317-0323,大R,游园会通行证,,9,750.268800,540.0
paymentact_week_group,0317-0323,大R,神魔之乱,,5,1229.607200,1492.0
paymentact_week_group,0428-0504,小R,神魔之乱,,4,599.173000,0.0
paymentact_week_group,0317-0323,微R,月次祭礼包,,1,0.000000,760.0
paymentact_week_group,0428-0504,微R,周期-周礼包,,7,162.558240,0.0
paymentact_week_group,0120-0126,大R,battlepass,,2,203.197800,195.0
paymentact_week_group,0519-0525,小R,千本抽,,2,0.000000,20.0
paymentact_week_group,0512-0518,超R,battlepass,,2,203.197800,195.0
paymentact_week_group,0210-0216,非R,神武锻造,,1,169.331500,0.0
paymentact_week_group,0414-0420,超R,月次祭礼包,,5,6442.412300,64.0
paymentact_week_group,0203-0209,大R,赛季征战活动,,1,375.134400,0.0
paymentact_week_group,0303-0309,大R,运营活动直购礼包,,1,33.866300,0.0
paymentact_week_group,0421-0427,超R,月卡,,2,0.000000,392.0
paymentact_week_group,0519-0525,微R,battlepass,,1,166.726400,0.0
paymentact_week_group,0113-0119,中R,金币,,21,2642.613440,892.0
paymentact_week_group,0428-0504,大R,月度周储钱罐,,27,216.744320,224.0
paymentact_week_group,0324-0330,非R,超级转盘,,2,0.000000,2060.0
paymentact_week_group,0505-0511,中R,周期-周礼包,,18,871.666460,228.0
paymentact_week_group,0310-0316,小R,月度周储钱罐,,23,333.452800,48.0
paymentact_week_group,1230-0105,超R,签到礼包,,18,7679.834800,7220.0
paymentact_week_group,0317-0323,中R,每日一键,,25,516.851840,1084.0
paymentact_week_group,0324-0330,中R,神武锻造,,13,294.376300,2468.0
paymentact_week_group,0224-0302,超R,运营活动直购礼包,,3,2709.304000,3460.0
paymentact_week_group,0203-0209,微R,月卡,,23,1594.321200,64.0
paymentact_week_group,0113-0119,超R,行脚商人,,13,10798.139500,8752.0
paymentact_week_group,0310-0316,小R,情人节活动,,11,2258.621700,3884.0
paymentact_week_group,0324-0330,大R,运营活动直购礼包,,5,3686.216500,184.0
paymentact_week_group,0519-0525,非R,每日一键,,5,41.681600,22.0
paymentact_week_group,0127-0202,小R,月度活动,,11,1438.015200,440.0
paymentact_week_group,0407-0413,小R,情人节活动,,5,312.612000,212.0
paymentact_week_group,0421-0427,小R,月次祭礼包,,3,1896.512800,0.0
paymentact_week_group,0106-0112,非R,运营活动直购礼包,,2,0.000000,64.0
paymentact_week_group,0217-0223,小R,月卡,,32,3008.890500,272.0
paymentact_week_group,0414-0420,大R,倍率转盘,,8,648.669900,1592.0
paymentact_week_group,0224-0302,微R,限购礼包,,6,237.064100,32.0
paymentact_week_group,0224-0302,大R,周期-周礼包,,12,1346.836700,2052.0
paymentact_week_group,0519-0525,微R,battlepass-周年庆,,4,500.179200,0.0
paymentact_week_group,0505-0511,小R,限购礼包,,2,203.197800,0.0
paymentact_week_group,0120-0126,大R,每日一键,,11,258.425920,368.0
paymentact_week_group,0224-0302,非R,月卡,,11,515.809800,180.0
paymentact_week_group,0203-0209,微R,每日一键,,12,166.726400,48.0
paymentact_week_group,0331-0406,超R,月度周储钱罐,,15,116.708480,128.0
paymentact_week_group,0210-0216,超R,每日一键,,3,275.098560,62.0
paymentact_week_group,0317-0323,大R,每日一键,,10,425.152320,388.0
paymentact_week_group,0303-0309,超R,赛季征战活动,,1,125.044800,0.0
paymentact_week_group,0106-0112,中R,福瑞赏,,11,1482.301900,496.0
paymentact_week_group,0428-0504,非R,签到礼包,,2,437.656800,660.0
paymentact_week_group,0407-0413,未活跃,金币,,1,614.803600,0.0
paymentact_week_group,0120-0126,中R,赛季UR养成通行证,,2,0.000000,980.0
paymentact_week_group,0414-0420,中R,月卡,,92,10399.559200,4192.0
paymentact_week_group,0317-0323,大R,4周年庆典自选礼包,,8,3772.184800,3180.0
paymentact_week_group,0303-0309,中R,月卡,,42,2985.444600,1520.0
paymentact_week_group,0224-0302,微R,签到礼包,,20,2302.908400,180.0
paymentact_week_group,0512-0518,中R,情人节活动,,48,14142.566880,11060.0
paymentact_week_group,0203-0209,大R,月度周储钱罐,,24,150.053760,240.0
paymentact_week_group,0317-0323,微R,battlepass-周年庆,,7,875.313600,0.0
paymentact_week_group,0519-0525,大R,超级转盘,,12,1422.384600,7808.0
paymentact_week_group,0324-0330,中R,荣耀特典,,1,312.612000,0.0
paymentact_week_group,0106-0112,超R,团购礼包,,6,1663.095840,3200.0
paymentact_week_group,0120-0126,大R,battlepass-周年庆,,5,375.134400,240.0
paymentact_week_group,0203-0209,非R,战鼓解锁,,2,250.089600,0.0
paymentact_week_group,0324-0330,非R,每日一键,,3,75.026880,8.0
paymentact_week_group,0120-0126,超R,神武锻造,,15,13405.844600,12980.0
paymentact_week_group,1230-0105,小R,月度周储钱罐,,11,166.726400,16.0
paymentact_week_group,0224-0302,超R,情人节活动,,10,2803.087600,9864.0
paymentact_week_group,0519-0525,微R,幸运屋,,2,187.567200,0.0
paymentact_week_group,0324-0330,非R,月度周储钱罐,,1,0.000000,16.0
paymentact_week_group,0310-0316,超R,周期-日礼包,,1,0.000000,640.0
paymentact_week_group,0127-0202,微R,幸运屋,,2,125.044800,0.0
paymentact_week_group,0519-0525,非R,超级转盘,,2,33.866300,5280.0
paymentact_week_group,0210-0216,小R,永久特惠礼包,,1,125.044800,0.0
paymentact_week_group,0324-0330,非R,开运礼包,,1,0.000000,16.0
paymentact_week_group,0421-0427,超R,金币,,1,8.336320,0.0
