date,act_tag,role_id,vip_level,level,pay_tag,is_pay,money,web_money,money_rmb,webmoney_rmb,core_add,core_cost,core_end,sincetimes_add,sincetimes_cost,sincetimes_end,act_rmb,act_paycount,actrmb_wau,pay_wau,dau,is_actrmb,wau
2025-04-25,20250425-20250430-6,13198434655077,7,125,非R,0,,,,,1420.0,2025.0,1639,,,0.0,,,,,1,,1.0
2025-04-26,20250425-20250430-6,13198434655077,7,125,非R,0,,,,,1650.0,200.0,3089,,,0.0,,,,,1,,
2025-04-27,20250425-20250430-6,13198434655077,7,125,非R,0,,,,,1760.0,500.0,4349,,,0.0,,,,,1,,
2025-04-28,20250425-20250430-6,13198434655077,7,125,非R,0,,,,,1110.0,350.0,5109,,,0.0,,,,,1,,
2025-04-29,20250425-20250430-6,13198434655077,7,125,非R,0,,,,,910.0,5850.0,169,,,0.0,,,,,1,,
2025-04-30,20250425-20250430-6,13198434655077,7,125,非R,0,,,,,910.0,600.0,479,,,0.0,,,,,1,,
2025-04-25,20250425-20250430-6,13383118377118,0,122,非R,0,,,,,560.0,1050.0,38093,,,,,,,,1,,1.0
2025-04-26,20250425-20250430-6,13383118377118,0,122,非R,0,,,,,945.0,1500.0,37538,,,,,,,,1,,
2025-04-27,20250425-20250430-6,13383118377118,0,122,非R,0,,,,,2180.0,1200.0,38518,,,,,,,,1,,
2025-04-28,20250425-20250430-6,13383118377118,0,122,非R,0,,,,,1350.0,1100.0,38768,,,,,,,,1,,
2025-04-29,20250425-20250430-6,13383118377118,0,122,非R,0,,,,,1160.0,1075.0,38853,,,,,,,,1,,
2025-04-30,20250425-20250430-6,13383118377118,0,122,非R,0,,,,,1230.0,1175.0,38908,,,,,,,,1,,
2025-04-26,20250425-20250430-6,13709535875959,0,82,非R,0,,,,,320.0,,33229,,,,,,,,1,,1.0
2025-04-28,20250425-20250430-6,13709535875959,0,82,非R,0,,,,,770.0,,33999,,,,,,,,1,,
2025-04-30,20250425-20250430-6,13709535875959,0,82,非R,0,,,,,260.0,,34259,,,,,,,,1,,
2025-04-25,20250425-20250430-6,14203457221230,0,129,非R,0,,,,,1370.0,360.0,14831,,,12.0,,,,,1,,1.0
2025-04-26,20250425-20250430-6,14203457221230,0,129,非R,0,,,,,495.0,385.0,14941,,,12.0,,,,,1,,
2025-04-27,20250425-20250430-6,14203457221230,0,129,非R,0,,,,,360.0,360.0,14941,,,12.0,,,,,1,,
2025-04-28,20250425-20250430-6,14203457221230,0,129,非R,0,,,,,1480.0,4385.0,12036,,,12.0,,,,,1,,
2025-04-29,20250425-20250430-6,14203457221230,0,129,非R,0,,,,,720.0,385.0,12371,,,12.0,,,,,1,,
2025-04-30,20250425-20250430-6,14203457221230,0,129,非R,0,,,,,620.0,360.0,12631,,,12.0,,,,,1,,
2025-04-25,20250425-20250430-6,14293651311220,0,127,非R,0,,,,,1020.0,1000.0,12120,,,1.0,,,,,1,,1.0
2025-04-26,20250425-20250430-6,14293651311220,0,127,非R,0,,,,,720.0,1000.0,11840,,,1.0,,,,,1,,
2025-04-27,20250425-20250430-6,14293651311220,0,127,非R,0,,,,,655.0,1000.0,11495,,,1.0,,,,,1,,
2025-04-28,20250425-20250430-6,14293651311220,0,127,非R,0,,,,,1355.0,1000.0,11850,,,1.0,,,,,1,,
2025-04-29,20250425-20250430-6,14293651311220,0,127,非R,0,,,,,520.0,1000.0,11370,,,1.0,,,,,1,,
2025-04-30,20250425-20250430-6,14293651311220,0,127,非R,0,,,,,620.0,1000.0,10990,,,1.0,,,,,1,,
