act_tag,pay_tag,type,dis_type1,dis_type2,users,target_sum,target_count
20250425-20250430-6,微R,直购礼包礼包聚合1,一条龙礼包2,,76,1259.04896,76
20250425-20250430-6,微R,直购礼包礼包聚合2,微R,,137,9482.459200000005,296
20250425-20250430-6,超R,直购礼包礼包聚合1,一条龙礼包2,,23,376.07168,23
20250425-20250430-6,大R,直购礼包礼包聚合1,一条龙礼包5,,26,3180.5376000000006,26
20250425-20250430-6,小R,直购礼包礼包聚合2,小R,,90,15094.729479999995,282
20250425-20250430-6,大R,直购礼包礼包聚合1,一条龙礼包2,,32,519.39904,32
20250425-20250430-6,大R,直购礼包礼包聚合1,一条龙礼包6,,25,7918.732000000001,25
20250425-20250430-6,非R,直购礼包礼包聚合1,一条龙礼包5,,6,740.1792,6
20250425-20250430-6,小R,直购礼包礼包聚合1,一条龙礼包1,,90,563.80704,90
20250425-20250430-6,中R,直购礼包礼包聚合1,一条龙礼包6,,45,14178.359999999991,45
20250425-20250430-6,微R,直购礼包礼包聚合1,一条龙礼包5,,11,1370.4479999999999,11
20250425-20250430-6,非R,直购礼包礼包聚合1,一条龙礼包1,,434,2022.1971199999962,434
20250425-20250430-6,小R,直购礼包礼包聚合1,一条龙礼包5,,20,2485.7616,20
20250425-20250430-6,超R,直购礼包礼包聚合1,一条龙礼包4,,22,1347.7464,22
20250425-20250430-6,大R,直购礼包礼包聚合1,一条龙礼包1,,36,187.3632,36
20250425-20250430-6,大R,直购礼包礼包聚合1,一条龙礼包7,,19,12133.232399999999,19
20250425-20250430-6,超R,直购礼包礼包聚合2,超R,,23,22634.492319999998,148
20250425-20250430-6,中R,直购礼包礼包聚合1,一条龙礼包2,,110,1809.10272,110
20250425-20250430-6,中R,直购礼包礼包聚合1,一条龙礼包3,,103,3432.2399000000023,103
20250425-20250430-6,小R,直购礼包礼包聚合1,一条龙礼包2,,71,1170.30464,71
20250425-20250430-6,非R,直购礼包礼包聚合1,一条龙礼包4,,8,492.612,8
20250425-20250430-6,微R,直购礼包礼包聚合1,一条龙礼包7,,3,1889.6072,3
20250425-20250430-6,微R,直购礼包礼包聚合1,一条龙礼包1,,137,881.89664,137
20250425-20250430-6,非R,直购礼包礼包聚合1,一条龙礼包6,,4,1265.2240000000002,4
20250425-20250430-6,中R,直购礼包礼包聚合1,一条龙礼包5,,64,7896.926399999995,64
20250425-20250430-6,未活跃,直购礼包礼包聚合2,未活跃,,3,41.6816,4
20250425-20250430-6,超R,直购礼包礼包聚合1,一条龙礼包1,,23,122.35424,23
20250425-20250430-6,小R,直购礼包礼包聚合1,一条龙礼包6,,15,4703.956,15
20250425-20250430-6,未活跃,直购礼包礼包聚合1,一条龙礼包2,,1,16.67264,1
20250425-20250430-6,非R,直购礼包礼包聚合2,非R,,434,7804.849160000001,628
20250425-20250430-6,中R,直购礼包礼包聚合1,一条龙礼包4,,82,5058.731999999995,82
20250425-20250430-6,微R,直购礼包礼包聚合1,一条龙礼包3,,43,1450.6519999999994,43
20250425-20250430-6,小R,直购礼包礼包聚合1,一条龙礼包3,,50,1678.384599999999,50
20250425-20250430-6,未活跃,直购礼包礼包聚合1,一条龙礼包1,,3,25.008960000000002,3
20250425-20250430-6,大R,直购礼包礼包聚合1,一条龙礼包4,,28,1710.2688000000005,28
20250425-20250430-6,微R,直购礼包礼包聚合1,一条龙礼包6,,4,1257.8360000000002,4
20250425-20250430-6,超R,直购礼包礼包聚合1,一条龙礼包7,,18,11563.625199999999,18
20250425-20250430-6,非R,直购礼包礼包聚合1,一条龙礼包3,,25,841.0586000000003,25
20250425-20250430-6,大R,直购礼包礼包聚合1,一条龙礼包3,,28,918.3956000000003,28
20250425-20250430-6,微R,直购礼包礼包聚合1,一条龙礼包4,,22,1372.9704,22
20250425-20250430-6,大R,直购礼包礼包聚合2,大R,,36,26567.928640000016,194
20250425-20250430-6,小R,直购礼包礼包聚合1,一条龙礼包7,,4,2504.4107999999997,4
20250425-20250430-6,中R,直购礼包礼包聚合2,中R,,132,47646.41574000012,559
20250425-20250430-6,中R,直购礼包礼包聚合1,一条龙礼包7,,23,14456.857599999994,23
20250425-20250430-6,超R,直购礼包礼包聚合1,一条龙礼包3,,23,758.3956000000002,23
20250425-20250430-6,非R,直购礼包礼包聚合1,一条龙礼包2,,151,2443.578239999999,151
20250425-20250430-6,超R,直购礼包礼包聚合1,一条龙礼包6,,19,6020.896000000001,19
20250425-20250430-6,中R,直购礼包礼包聚合1,一条龙礼包1,,132,814.19712,132
20250425-20250430-6,小R,直购礼包礼包聚合1,一条龙礼包4,,32,1988.1048000000005,32
20250425-20250430-6,超R,直购礼包礼包聚合1,一条龙礼包5,,20,2445.4031999999997,20
