游戏ID,运营商,游戏名,年度,月,回款流水,回款分成
316,360,华清自研--战舰帝国,2024,,,
494,360,华清自研--坦克帝国,2024,,,
564,360,华清自研--龙之牧场WL,2024,,,
755,360,华清自研--舰指太平洋,2024,,,
991,360,华清自研--现代海战,2024,,,
320,当乐,华清自研--战舰帝国,2024,,,
512,当乐,华清自研--坦克帝国,2024,,,
569,当乐,华清自研--龙之牧场WL,2024,,,
772,当乐,华清自研--舰指太平洋,2024,,,
1018,当乐,华清自研--现代海战,2024,,,
876,当乐,华清自研--战舰帝国IOS,2024,,,
396,VIVO,华清自研--战舰帝国,2024,,,
521,VIVO,华清自研--坦克帝国,2024,,,
583,VIVO,华清自研--龙之牧场WL,2024,,,
747,VIVO,华清自研--舰指太平洋,2024,,,
996,VIVO,华清自研--现代海战,2024,,,
324,OPPO,华清自研--战舰帝国,2024,,,
503,OPPO,华清自研--坦克帝国,2024,,,
573,OPPO,华清自研--龙之牧场WL,2024,,,
748,OPPO,华清自研--舰指太平洋,2024,,,
997,OPPO,华清自研--现代海战,2024,,,
1200,OPPO,华清自研--战舰帝国-广告,2024,,,
336,IOS越狱_同步推,华清自研--战舰帝国,2024,,,
330,HTC,华清自研--战舰帝国,2024,,,
507,HTC,华清自研--坦克帝国,2024,,,
793,android_TT语音,华清自研--舰指太平洋,2024,,,
585,4399安卓,华清自研--龙之牧场WL,2024,,,
1027,4399安卓,华清自研--现代海战,2024,,,
1368,华为荣耀-安卓,华清自研--战舰帝国,2024,,,
1365,腾讯平台,红色警戒-空间,2024,,,
1366,腾讯平台,红色警戒-大厅,2024,,,
12,腾讯平台,华清自研--守卫农场,2024,,,
318,百度,华清自研--战舰帝国,2024,,,
496,百度,华清自研--坦克帝国,2024,,,
568,百度,华清自研--龙之牧场WL,2024,,,
754,百度,华清自研--舰指太平洋,2024,,,
993,百度,华清自研--现代海战,2024,,,
56,应用宝,华清自研--战舰帝国,2024,,,
485,应用宝,华清自研--坦克帝国-应用宝1,2024,,,
757,应用宝,华清自研--舰指太平洋,2024,,,
903,应用宝,华清自研--现代海战,2024,,,
802,小七手游,华清自研--舰指太平洋,2024,,,
1039,小七手游,华清自研--现代海战,2024,,,
321,华为,华清自研--战舰帝国,2024,,,
501,华为,华清自研--坦克帝国,2024,,,
570,华为,华清自研--龙之牧场WL,2024,,,
749,华为,华清自研--舰指太平洋,2024,,,
989,华为,华清自研--现代海战,2024,,,
774,PPTV,华清自研--舰指太平洋,2024,,,
317,小米,华清自研--战舰帝国,2024,,,
495,小米,华清自研--坦克帝国,2024,,,
567,小米,华清自研--龙之牧场WL,2024,,,
756,小米,华清自研--舰指太平洋,2024,,,
992,小米,华清自研--现代海战,2024,,,
498,UC,华清自研--坦克帝国,2024,,,
566,UC,华清自研--龙之牧场WL,2024,,,
746,UC,华清自研--舰指太平洋,2024,,,
994,UC,华清自研--现代海战,2024,,,
1121,UC,华清自研--战舰帝国_豌豆荚,2024,,,
329,魅族,华清自研--战舰帝国,2024,,,
506,魅族,华清自研--坦克帝国,2024,,,
576,魅族,华清自研--龙之牧场WL,2024,,,
753,魅族,华清自研--舰指太平洋,2024,,,
995,魅族,华清自研--现代海战,2024,,,
1078,广州悦玩,华清自研--战舰帝国-安卓,2024,,,
322,联想,华清自研--战舰帝国,2024,,,
502,联想,华清自研--坦克帝国,2024,,,
713,IOS越狱_果盘叉叉,华清自研--坦克帝国,2024,,,
1116,IOS越狱_果盘叉叉,华清自研--现代海战,2024,,,
854,android_果盘叉叉,华清自研--坦克帝国,2024,,,
1036,android_果盘叉叉,华清自研--现代海战,2024,,,
