属性名,属性显示名,属性类型,更新方式,触发事件,属性说明,计算属性,计算逻辑,内容更新时间
first_login_time,首次登录时间,date,user_setOnce,role_login,首次登录时上报,#time,每个#account_id首次触发login事件的时间,20220927
first_pay_time,首次付费时间,date,user_setOnce,Payment,首次付费时上报,#time,每个#account_id首次触发payment事件的时间,20220927
last_login_time,最后登录时间,date,user_set,role_login,每次登录时设置,#time,每个#account_id最后一次触发login事件的时间,20220927
pay_amount_user,累计充值金额,double,user_add,Payment,每次付费时设置,money,每个#account_id最新的累计充值金额,20220927
pay_currency,充值金额币种,string,user_set,Payment,每次付费时设置,currency,,20220928
vip_level,最新VIP等级,int,user_set,role_logout,每次登出时设置,vip_level,每个#account_id最新vip_level,20221128
sid,最新VIP等级,int,user_set,role_logout,每次登出时设置,sid,每个#account_id最新sid,20230413
rank,最新VIP等级,int,user_set,role_logout,每次登出时设置,rank,每个#account_id最新rank,20230413
openid,最新VIP等级,int,user_set,role_logout,每次登出时设置,openid,每个#account_id最新openid,20230413
ispay,最新VIP等级,int,user_set,role_logout,每次登出时设置,ispay,每个#account_id最新ispay,20230413
diamond_remain,最新VIP等级,int,user_set,role_logout,每次登出时设置,diamond_remain,每个#account_id最新diamond_remain,20230413
guild_id,最新VIP等级,int,user_set,role_logout,每次登出时设置,guild_id,每个#account_id最新guild_id,20230413
channel,最新VIP等级,int,user_set,role_logout,每次登出时设置,channel,每个#account_id最新channel,20230413
register_date,注册时间,date,user_setOnce,role_create,首次注册时设置,#time,每个#account_id首次触发register事件的时间,20221128
server_time_user,-,auto,user_set,role_logout,-,server_time,-,20230525
client_time_user,-,auto,user_set,role_logout,-,client_time,-,20230526
timeszone_user,-,auto,user_set,role_logout,-,timeszone,-,20230527
client_version_user,-,auto,user_set,role_logout,-,client_version,-,20230528
server_version_user,-,auto,user_set,role_logout,-,server_version,-,20230529
sdk_version_user,-,auto,user_set,role_logout,-,sdk_version,-,20230530
device_modelid_user,-,auto,user_set,role_logout,-,device_modelid,-,20230531
device_osversion_user,-,auto,user_set,role_logout,-,device_osversion,-,20230532
os_name_user,-,auto,user_set,role_logout,-,os_name,-,20230533
channel_name_user,-,auto,user_set,role_logout,-,channel_name,-,20230534
openid_user,-,auto,user_set,role_logout,-,openid,-,20230535
sid_user,-,auto,user_set,role_logout,-,sid,-,20230536
role_name_user,-,auto,user_set,role_logout,-,role_name,-,20230537
level_user,-,auto,user_set,role_logout,-,level,-,20230538
vip_level_user,-,auto,user_set,role_logout,-,vip_level,-,20230539
rank_level_user,-,auto,user_set,role_logout,-,rank_level,-,20230540
alliance_id_user,-,auto,user_set,role_logout,-,alliance_id,-,20230541
power_user,-,auto,user_set,role_logout,-,power,-,20230542
idfa_user,-,auto,user_set,role_logout,-,idfa,-,20230543
idfv_user,-,auto,user_set,role_logout,-,idfv,-,20230544
android_id_user,-,auto,user_set,role_logout,-,android_id,-,20230545
gps_adid_user,-,auto,user_set,role_logout,-,gps_adid,-,20230546
country_user,-,auto,user_set,role_logout,-,country,-,20230547
app_id_user,-,auto,user_set,role_logout,-,app_id,-,20230548
client_language_user,-,auto,user_set,role_logout,-,client_language,-,20230549
base_params_user,-,auto,user_set,role_logout,-,base_params,-,20230550
