属性名,属性显示名,属性类型,更新方式,触发事件,属性说明,计算属性,计算逻辑,内容更新时间
first_login_time,首次登录时间,date,user_setOnce,Login,首次登录时上报,#time,每个#account_id首次触发login事件的时间,20220927
first_pay_time,首次付费时间,date,user_setOnce,Payment,首次付费时上报,#time,每个#account_id首次触发payment事件的时间,20220927
last_login_time,最后登录时间,date,user_set,Login,每次登录时设置,#time,每个#account_id最后一次触发login事件的时间,20220927
level_user,用户等级,int,user_set,Logout,每次登出时设置,level,每个#account_id最新level,20220927
pay_amount_user,累计充值金额,double,user_add,Payment,每次付费时设置,rawmoney,每个#account_id最新的累计充值金额,20220927
pay_currency,充值金额币种,string,user_set,Payment,每次付费时设置,currency,,20220928
vip_level,最新VIP等级,int,user_set,Logout,每次登出时设置,vip_level,每个#account_id最新vip_level,20221128
sid,最新VIP等级,int,user_set,Logout,每次登出时设置,sid,每个#account_id最新sid,20230413
rank,最新VIP等级,int,user_set,Logout,每次登出时设置,rank,每个#account_id最新rank,20230413
openid,最新VIP等级,int,user_set,Logout,每次登出时设置,openid,每个#account_id最新openid,20230413
ispay,最新VIP等级,int,user_set,Logout,每次登出时设置,ispay,每个#account_id最新ispay,20230413
diamond_remain,最新VIP等级,int,user_set,Logout,每次登出时设置,diamond_remain,每个#account_id最新diamond_remain,20230413
guild_id,最新VIP等级,int,user_set,Logout,每次登出时设置,guild_id,每个#account_id最新guild_id,20230413
channel,最新VIP等级,int,user_set,Logout,每次登出时设置,channel,每个#account_id最新channel,20230413
register_date,注册时间,date,user_setOnce,Register,首次注册时设置,#time,每个#account_id首次触发register事件的时间,20221128
