month,channel,item_id,item_name,item_add,core_cost,item_cost,item_price
2024-01-01,800301,1-1577,夺命飞弹,11,978.6899999999999,11,3000.0
2024-01-01,800301,1-2557,风系自选红装备（智力）,1,85.72,1,25000.0
2024-01-01,800301,1-1148,星霜结晶,7607566,0.0,3834450,0.0
2024-01-01,800301,1-1571,海洋之泪,477,148.34,303,30.0
2024-01-01,800301,1-1401,1小时潜力水晶,50811,7829.68,9609,30.0
2024-01-01,800301,1-12021,地龙,35,1442.5700000000002,34,10000.0
2024-01-01,800301,1-2002,光暗SSR猎人自选包,2,685.83,2,20000.0
2024-01-01,800301,1-9169,王者决胜战礼包IV,8,1264.15,8,5000.0
2024-01-01,800301,1-11064,岚之种,40,191.0,,200.0
2024-01-01,800301,1-1576,不灭魂器,1,17.81,1,1500.0
2024-01-01,800301,1-9168,王者决胜战礼包III,3,220.2,3,3000.0
2024-01-01,800301,1-12031,地岩龙,5,2709.57,5,80000.0
2024-01-01,800301,1-1118,星芒结晶,140,1836.31,123,2000.0
2024-01-01,800301,1-1302,2小时历练值,2559,1017.4700000000001,4037,40.0
2024-01-01,800301,1-9138,守护活力包||,6,29.25,6,350.0
2024-01-01,800301,1-1553,洛阳铲,3185,3583.45,3516,180.0
2024-01-01,800301,1-9137,守护活力包|,68,0.0,68,0.0
2024-01-01,800301,1-1138,私人信件,445715,43658.85999999999,308643,10.0
2024-01-01,800301,1-1561,闪亮之星祈愿券,1267,3728.9099999999994,1189,300.0
2024-01-01,800301,1-2570,调和圣殿养成自选包,1267,9908.559999999998,930,500.0
2024-01-01,800301,1-1136,精星沙,1160,1936.2200000000003,963,150.0
2024-01-01,800301,1-1510,使魔零食,6129653,17573.649999999998,4429635,0.3
2024-01-01,800301,1-1599,静心之书,4090,620.4399999999999,2541,20.0
2024-01-01,800301,1-11071,育成心得,4372263,30415.190000000002,3805960,1.0
2024-01-01,800301,1-1131,暗元素宝石,51,81.09999999999997,105,100.0
2024-01-01,800301,1-1137,初级才能符文,35001,14523.429999999998,13451,20.0
2024-01-01,800301,1-9118,射箭补给包I,14,49.010000000000005,14,500.0
2024-01-01,800301,1-1600,无念之书,1978,1016.4899999999998,1436,50.0
2024-01-01,800301,1-1575,还魂人偶,18,48.370000000000005,2,300.0
2024-01-01,800301,1-2541,相遇招募自选包,72,818.2299999999999,69,1000.0
2024-01-01,800301,1-1572,大地之核,245,74.69999999999999,156,30.0
2024-01-01,800301,1-1557,圣露,162,432.83,198,300.0
2024-01-01,800301,1-2542,初级手册自选包,3,198.27,6,10000.0
2024-01-01,800301,1-1613,跳跳大闯关入场券,447,4423.110000000001,456,800.0
2024-01-01,800301,1-1204,24小时塔拉币,4065,5884.09,3247,120.0
2024-01-01,800301,1-8005,随机巨龙宝箱I,19,1242.34,17,10000.0
2024-01-01,800301,1-12014,双足飞龙-风,12,223.71000000000004,12,2000.0
2024-01-01,800301,1-1584,王者之锤,1720,2902.46,1540,150.0
2024-01-01,800301,1-9130,连连看补给包I,9,69.3,9,500.0
2024-01-01,800301,1-12022,水龙,23,1234.83,23,10000.0
2024-01-01,800301,1-1511,龙眼石,1068991,10730.7,775000,1.0
2024-01-01,800301,1-2534,招募道具自选包2,343,1268.8899999999999,279,500.0
2024-01-01,800301,1-1556,美味便当,149,1108.43,105,560.0
2024-01-01,800301,1-2576,振金装备自选包,36,3345.84,24,7500.0
2024-01-01,800301,1-1552,银钥匙,94,814.56,89,800.0
2024-01-01,800301,1-1535,万能骰子,133,125.39999999999999,135,115.19
2024-01-01,800301,1-1116,高级精钢,11056,14372.11,10272,150.0
2024-01-01,800301,1-2502,猎人养成自选包,183,267.37999999999994,162,200.0
2024-01-01,800301,1-1115,普通精钢,297034,9016.599999999999,234325,3.0
2024-01-01,800301,1-12032,冰霜龙,1,0.0,,80000.0
2024-01-01,800301,1-1128,火元素宝石,843,742.0699999999999,645,100.0
2024-01-01,800301,1-2103,红色饰品自选包,2,1460.27,1,25000.0
2024-01-01,800301,1-9120,射箭补给包III,1,14.15,1,1780.0
2024-01-01,800301,1-1610,魔力碎片,16184,2244.16,11000,10.0
2024-01-01,800301,1-1603,极意竞技入场卷,696,655.6400000000001,206,100.0
2024-01-01,800301,1-11065,圣之种,40,312.47,,400.0
2024-01-01,800301,1-1129,风元素宝石,15298,32156.579999999994,15240,100.0
2024-01-01,800301,1-2545,相遇养成自选包,62,254.2199999999999,62,450.0
2024-01-01,800301,1-2510,专属装备养成自选包,69,181.56,48,500.0
2024-01-01,800301,1-1501,光暗特邀券,535,4014.0199999999995,279,500.0
2024-01-01,800301,1-1130,光元素宝石,869,1434.82,935,100.0
2024-01-01,800301,1-2543,初级笔记自选包,272,1378.1900000000003,292,300.0
2024-01-01,800301,1-1403,6小时潜力水晶,2355,4647.46,1427,180.0
2024-01-01,800301,1-1203,6小时塔拉币,1659,608.8500000000001,1093,30.0
2024-01-01,800301,1-2101,红色武器自选包,3,15.21,,25000.0
2024-01-01,800301,1-2304,自选装备（紫+）,3,81.98,1,750.0
2024-01-01,800301,1-1538,练习用箭矢,2430,1591.29,2366,70.0
2024-01-01,800301,1-2578,风三角碎片自选,230,545.73,210,200.0
2024-01-01,800301,1-1133,高级挑战券,111,138.63,63,100.0
2024-01-01,800301,1-1404,24小时潜力水晶,556,4340.36,342,720.0
2024-01-01,800301,1-12024,风龙,20,1190.73,20,10000.0
2024-01-01,800301,1-1533,娃娃机游戏币,997,1797.5600000000002,1005,140.201
2024-01-01,800301,1-12011,双足飞龙-地,16,353.97,14,2000.0
2024-01-01,800301,1-2533,六元素巨龙自选包,2,6038.459999999999,2,160000.0
2024-01-01,800301,1-530305,兔女郎的圣诞礼物,4,797.3299999999999,4,12800.0
2024-01-01,800301,1-1558,圣石,231,483.13,214,300.0
2024-01-01,800301,1-2530,资源自选包6,671,3876.9899999999993,583,500.0
2024-01-01,800301,1-2536,资源自选包7,546,4153.169999999999,86,500.0
2024-01-01,800301,1-2302,自选装备（橙+）,3,364.86,2,1950.0
2024-01-01,800301,1-12012,双足飞龙-水,6,111.86,6,2000.0
2024-01-01,800301,1-9159,自选礼包,10,52.92999999999999,10,1020.0
2024-01-01,800301,1-1592,气球,1,43.24,,800.0
2024-01-01,800301,1-2504,资源自选包2,297,1390.06,202,500.0
2024-01-01,800301,1-9166,王者决胜战礼包I,1,17.81,1,1500.0
2024-01-01,800301,1-1544,英雄之证,3567,15271.58,1457,500.0
2024-01-01,800301,1-1560,心愿祈愿券,812,4142.15,854,300.0
2024-01-01,800301,1-1559,龙的心脏,258,2308.84,85,1000.0
2024-01-01,800301,1-2505,资源自选包3,889,2938.08,638,500.0
2024-01-01,800301,1-1119,概率UP招募券,6948,44367.82000000001,8088,300.0
2024-01-01,800301,1-1121,中级才能符文,16857,6914.860000000001,15251,40.0
2024-01-01,800301,1-12033,红炎龙,5,1538.54,5,80000.0
2024-01-01,800301,1-2301,红装备自选,51,39583.34,36,25000.0
2024-01-01,800301,1-12023,火龙,27,875.93,26,10000.0
2024-01-01,800301,1-1123,猎龙精魂,221731,6257.089999999999,209692,2.8
2024-01-01,800301,1-1114,元素招募券,830,4858.7699999999995,1079,540.0
2024-01-01,800301,1-1545,绯红精铁,103812,37411.21,39400,50.0
2024-01-01,800301,1-1122,猎龙精魄,175444,4220.33,174070,2.4
2024-01-01,800301,1-12013,双足飞龙-火,10,136.82,11,2000.0
2024-01-01,800301,1-1528,战宠卡池券,1746,6818.419999999997,1754,300.0
2024-01-01,800301,1-2501,元素宝石自选包,25209,32355.83,23733,100.0
2024-01-01,800301,1-1132,初级挑战券,845,850.5099999999999,307,100.0
2024-01-01,800301,1-9123,航海补给包II,1,49.99,1,1460.0
2024-01-01,800301,1-1135,星沙,138671,4291.549999999999,35697,3.0
2024-01-01,800301,1-1117,扭蛋币,8713,31839.899999999994,7793,300.0
2024-01-01,800301,1-1539,红绳,5301,2667.9599999999996,5387,39.25376489
2024-01-01,800301,1-2503,资源自选包1,346,1814.6799999999998,261,500.0
2024-01-01,800301,1-1125,高级强化石,21647,17515.82,21174,60.0
2024-01-01,800301,1-1551,金钥匙,3,76.66,5,3000.0
2024-01-01,800301,1-11081,金色朝露,897671,33491.07,790990,5.0
2024-01-01,800301,1-11051,龙颈之玉,3348,2529.72,2857,100.0
2024-01-01,800301,1-1134,龙之雫,407,1294.99,392,300.0
2024-01-01,800301,1-2507,资源自选包,1081,4441.29,1289,550.0
2024-01-01,800301,1-12035,光耀龙,1,3124.66,1,160000.0
2024-01-01,800301,1-11063,炎之种,120,150.42000000000002,80,200.0
2024-01-01,800301,1-1609,魔力晶石,211490,2208.18,143500,1.0
2024-01-01,800301,1-1124,普通强化石,43510,14178.200000000004,33995,20.0
2024-01-01,800301,1-9140,守护活力包|V,7,252.98,7,2000.0
2024-01-01,800301,1-12034,凤羽龙,3,2475.16,3,80000.0
2024-01-01,800301,1-2563,巨龙养成自选包,225,812.1800000000001,555,500.0
2024-01-01,800301,1-2566,月光自选包2,132,615.71,86,500.0
2024-01-01,800301,1-9122,航海补给包I,12,72.94000000000001,12,500.0
2024-01-01,800301,1-9127,娃娃机补给包II,1,15.72,1,1460.0
2024-01-01,800301,1-1548,英雄挑战券,4,33.43,16,520.8333333
2024-01-01,800301,1-1512,锦标赛挑战券,36,14.360000000000001,38,86.0
2024-01-01,800301,1-1604,3周年游戏币,1,20.01,,800.0
2024-01-01,800301,1-1202,2小时塔拉币,18324,1855.7300000000002,10251,10.0
2024-01-01,800301,1-1534,骰子,1312,1475.52,1321,115.19
2024-01-01,800301,1-1570,天空之羽,500,62.730000000000004,406,30.0
2024-01-01,800301,1-8006,随机巨龙宝箱II,1,287.67,1,80000.0
2024-01-01,800301,1-2201,红色徽章自选包,1,31.07,,25000.0
2024-01-01,800301,1-11061,岩之种,120,268.15,120,200.0
